date,groom suit
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,18.73521784232365
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,19.538210900473935
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,21.685683139534884
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,13.847769709543568
2007-02-01,23.878947368421052
2007-03-01,0.0
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,0.0
2007-07-01,0.0
2007-08-01,0.0
2007-09-01,23.632694938440494
2007-10-01,13.69622093023256
2007-11-01,0.0
2007-12-01,15.863636363636363
2008-01-01,13.033195020746888
2008-02-01,13.776315789473683
2008-03-01,16.51226635514019
2008-04-01,14.417074663402694
2008-05-01,17.493193069306933
2008-06-01,13.955864928909952
2008-07-01,16.3215935334873
2008-08-01,12.921835443037976
2008-09-01,13.964774281805747
2008-10-01,14.837572674418606
2008-11-01,18.022131147540986
2008-12-01,14.541666666666668
2009-01-01,22.808091286307054
2009-02-01,14.694736842105263
2009-03-01,17.42961448598131
2009-04-01,0.0
2009-05-01,13.60581683168317
2009-06-01,13.02547393364929
2009-07-01,9.97430715935335
2009-08-01,10.933860759493673
2009-09-01,17.187414500683996
2009-10-01,14.837572674418606
2009-11-01,19.3094262295082
2009-12-01,15.863636363636363
2010-01-01,18.73521784232365
2010-02-01,19.28684210526316
2010-03-01,18.346962616822434
2010-04-01,19.22276621787026
2010-05-01,19.436881188118814
2010-06-01,14.886255924170616
2010-07-01,15.414838337182449
2010-08-01,16.897784810126584
2010-09-01,13.964774281805747
2010-10-01,14.837572674418606
2010-11-01,14.160245901639346
2010-12-01,7.931818181818182
2011-01-01,20.364367219917014
2011-02-01,19.28684210526316
2011-03-01,17.42961448598131
2011-04-01,28.834149326805388
2011-05-01,21.380569306930695
2011-06-01,18.60781990521327
2011-07-01,19.9486143187067
2011-08-01,15.903797468354432
2011-09-01,13.964774281805747
2011-10-01,15.978924418604652
2011-11-01,20.596721311475413
2011-12-01,19.829545454545457
2012-01-01,24.437240663900415
2012-02-01,25.71578947368421
2012-03-01,23.851051401869164
2012-04-01,26.911872705018364
2012-05-01,26.239789603960396
2012-06-01,26.05094786729858
2012-07-01,28.109411085450347
2012-08-01,22.861708860759496
2012-09-01,25.781121751025992
2012-10-01,22.82703488372093
2012-11-01,24.458606557377053
2012-12-01,23.795454545454547
2013-01-01,24.437240663900415
2013-02-01,26.634210526315787
2013-03-01,28.43779205607477
2013-04-01,32.67870257037944
2013-05-01,33.04269801980198
2013-06-01,33.49407582938389
2013-07-01,28.109411085450347
2013-08-01,30.813607594936713
2013-09-01,35.44904240766074
2013-10-01,27.39244186046512
2013-11-01,32.18237704918033
2013-12-01,33.04924242424242
2014-01-01,32.58298755186722
2014-02-01,30.307894736842105
2014-03-01,33.02453271028038
2014-04-01,37.48439412484701
2014-05-01,32.07085396039604
2014-06-01,33.49407582938389
2014-07-01,39.8972286374134
2014-08-01,35.78354430379747
2014-09-01,30.077975376196992
2014-10-01,26.25109011627907
2014-11-01,27.03319672131148
2014-12-01,29.083333333333336
2015-01-01,30.95383817427386
2015-02-01,37.65526315789474
2015-03-01,38.52862149532711
2015-04-01,44.2123623011016
2015-05-01,37.90191831683168
2015-06-01,38.146030805687204
2015-07-01,39.8972286374134
2015-08-01,43.73544303797469
2015-09-01,34.37482900136799
2015-10-01,34.2405523255814
2015-11-01,32.18237704918033
2015-12-01,33.04924242424242
2016-01-01,35.84128630705394
2016-02-01,42.24736842105263
2016-03-01,43.115362149532714
2016-04-01,46.13463892288863
2016-05-01,49.56404702970298
2016-06-01,41.86759478672986
2016-07-01,44.43100461893764
2016-08-01,43.73544303797469
2016-09-01,37.59746922024624
2016-10-01,41.088662790697676
2016-11-01,45.055327868852466
2016-12-01,43.625
2017-01-01,48.05990663900415
2017-02-01,47.757894736842104
2017-03-01,44.95005841121496
2017-04-01,45.17350061199511
2017-05-01,51.507735148514854
2017-06-01,45.58915876777251
2017-07-01,45.33775981524249
2017-08-01,43.73544303797469
2017-09-01,47.26538987688099
2017-10-01,46.79542151162791
2017-11-01,50.20450819672132
2017-12-01,43.625
2018-01-01,48.05990663900415
2018-02-01,47.757894736842104
2018-03-01,51.371495327102814
2018-04-01,54.78488372093024
2018-05-01,51.507735148514854
2018-06-01,47.449940758293835
2018-07-01,50.77829099307159
2018-08-01,45.72341772151899
2018-09-01,46.19117647058824
2018-10-01,47.936773255813954
2018-11-01,50.20450819672132
2018-12-01,48.91287878787879
2019-01-01,48.87448132780083
2019-02-01,45.002631578947366
2019-03-01,52.28884345794393
2019-04-01,50.94033047735619
2019-05-01,51.507735148514854
2019-06-01,45.58915876777251
2019-07-01,54.405311778290994
2019-08-01,49.6993670886076
2019-09-01,47.26538987688099
2019-10-01,46.79542151162791
2019-11-01,51.491803278688536
2019-12-01,51.55681818181819
2020-01-01,50.50363070539419
2020-02-01,47.757894736842104
2020-03-01,33.02453271028038
2020-04-01,23.067319461444313
2020-05-01,31.0990099009901
2020-06-01,41.86759478672986
2020-07-01,38.99047344110855
2020-08-01,44.72943037974684
2020-09-01,47.26538987688099
2020-10-01,43.37136627906977
2020-11-01,37.33155737704919
2020-12-01,40.98106060606061
2021-01-01,48.87448132780083
2021-02-01,46.839473684210525
2021-03-01,58.710280373831786
2021-04-01,56.707160342717266
2021-05-01,58.31064356435644
2021-06-01,59.54502369668246
2021-07-01,59.845842956120094
2021-08-01,59.639240506329116
2021-09-01,65.52701778385773
2021-10-01,61.63299418604652
2021-11-01,61.79016393442624
2021-12-01,60.81060606060606
2022-01-01,66.7951244813278
2022-02-01,74.39210526315789
2022-03-01,70.63580607476636
2022-04-01,71.12423500611996
2022-05-01,65.11355198019803
2022-06-01,61.40580568720379
2022-07-01,73.44717090069284
2022-08-01,76.5370253164557
2022-09-01,61.23016415868673
2022-10-01,70.76380813953489
2022-11-01,64.36475409836066
2022-12-01,63.45454545454545
2023-01-01,66.7951244813278
2023-02-01,67.96315789473684
2023-03-01,72.4705023364486
2023-04-01,67.2796817625459
2023-05-01,68.02908415841584
2023-06-01,69.77932464454976
2023-07-01,66.19312933025404
2023-08-01,66.59715189873418
2023-09-01,70.89808481532148
2023-10-01,70.76380813953489
2023-11-01,69.51393442622953
2023-12-01,79.31818181818183
2024-01-01,70.05342323651452
2024-02-01,76.22894736842105
2024-03-01,77.97459112149534
2024-04-01,77.85220318237455
2024-05-01,70.94461633663367
2024-06-01,75.36167061611374
2024-07-01,68.9133949191686
2024-08-01,73.55506329113925
2024-09-01,64.45280437756499
2024-10-01,71.90515988372093
2024-11-01,78.525
2024-12-01,74.03030303030303
2025-01-01,81.45746887966806
2025-02-01,78.0657894736842
2025-03-01,87.14807242990656
2025-04-01,88.4247246022032
2025-05-01,86.49412128712872
2025-06-01,85.59597156398104
2025-07-01,85.2349884526559
2025-08-01,91.44683544303798
2025-09-01,89.15971272229822
2025-10-01,77.61191860465117
2025-11-01,88.82336065573772
2025-12-01,85.92803030303031
