date,high-end furniture
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,67.91666666666667
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,60.70052083333334
2007-07-01,0.0
2007-08-01,0.0
2007-09-01,0.0
2007-10-01,0.0
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,0.0
2008-02-01,0.0
2008-03-01,0.0
2008-04-01,0.0
2008-05-01,46.6619170984456
2008-06-01,0.0
2008-07-01,0.0
2008-08-01,0.0
2008-09-01,0.0
2008-10-01,0.0
2008-11-01,0.0
2008-12-01,0.0
2009-01-01,0.0
2009-02-01,0.0
2009-03-01,0.0
2009-04-01,0.0
2009-05-01,0.0
2009-06-01,0.0
2009-07-01,0.0
2009-08-01,0.0
2009-09-01,0.0
2009-10-01,0.0
2009-11-01,0.0
2009-12-01,0.0
2010-01-01,0.0
2010-02-01,0.0
2010-03-01,0.0
2010-04-01,0.0
2010-05-01,0.0
2010-06-01,0.0
2010-07-01,0.0
2010-08-01,0.0
2010-09-01,34.09282178217822
2010-10-01,0.0
2010-11-01,0.0
2010-12-01,0.0
2011-01-01,0.0
2011-02-01,0.0
2011-03-01,0.0
2011-04-01,0.0
2011-05-01,0.0
2011-06-01,0.0
2011-07-01,0.0
2011-08-01,0.0
2011-09-01,0.0
2011-10-01,0.0
2011-11-01,0.0
2011-12-01,0.0
2012-01-01,0.0
2012-02-01,0.0
2012-03-01,0.0
2012-04-01,0.0
2012-05-01,0.0
2012-06-01,0.0
2012-07-01,0.0
2012-08-01,0.0
2012-09-01,11.364273927392741
2012-10-01,0.0
2012-11-01,0.0
2012-12-01,0.0
2013-01-01,0.0
2013-02-01,0.0
2013-03-01,0.0
2013-04-01,0.0
2013-05-01,0.0
2013-06-01,0.0
2013-07-01,0.0
2013-08-01,0.0
2013-09-01,0.0
2013-10-01,0.0
2013-11-01,0.0
2013-12-01,0.0
2014-01-01,0.0
2014-02-01,0.0
2014-03-01,0.0
2014-04-01,0.0
2014-05-01,0.0
2014-06-01,0.0
2014-07-01,0.0
2014-08-01,0.0
2014-09-01,0.0
2014-10-01,0.0
2014-11-01,0.0
2014-12-01,0.0
2015-01-01,0.0
2015-02-01,0.0
2015-03-01,0.0
2015-04-01,0.0
2015-05-01,0.0
2015-06-01,0.0
2015-07-01,0.0
2015-08-01,0.0
2015-09-01,0.0
2015-10-01,0.0
2015-11-01,0.0
2015-12-01,0.0
2016-01-01,0.0
2016-02-01,0.0
2016-03-01,9.871118012422361
2016-04-01,0.0
2016-05-01,0.0
2016-06-01,0.0
2016-07-01,0.0
2016-08-01,0.0
2016-09-01,0.0
2016-10-01,0.0
2016-11-01,0.0
2016-12-01,0.0
2017-01-01,13.134297520661159
2017-02-01,0.0
2017-03-01,12.064699792960663
2017-04-01,19.620370370370374
2017-05-01,10.979274611398964
2017-06-01,0.0
2017-07-01,0.0
2017-08-01,0.0
2017-09-01,0.0
2017-10-01,8.978813559322035
2017-11-01,7.419467787114846
2017-12-01,0.0
2018-01-01,0.0
2018-02-01,0.0
2018-03-01,12.064699792960663
2018-04-01,0.0
2018-05-01,0.0
2018-06-01,0.0
2018-07-01,6.791666666666667
2018-08-01,9.750000000000002
2018-09-01,0.0
2018-10-01,11.97175141242938
2018-11-01,14.096988795518207
2018-12-01,0.0
2019-01-01,17.51239669421488
2019-02-01,0.0
2019-03-01,10.967908902691512
2019-04-01,0.0
2019-05-01,9.149395509499136
2019-06-01,8.277343750000002
2019-07-01,0.0
2019-08-01,0.0
2019-09-01,0.0
2019-10-01,0.0
2019-11-01,8.16141456582633
2019-12-01,0.0
2020-01-01,0.0
2020-02-01,0.0
2020-03-01,0.0
2020-04-01,0.0
2020-05-01,11.894214162348877
2020-06-01,6.437934027777779
2020-07-01,8.829166666666667
2020-08-01,7.583333333333334
2020-09-01,11.364273927392741
2020-10-01,10.974105461393599
2020-11-01,7.419467787114846
2020-12-01,7.8919925512104285
2021-01-01,14.59366391184573
2021-02-01,18.36466666666667
2021-03-01,10.967908902691512
2021-04-01,0.0
2021-05-01,9.149395509499136
2021-06-01,8.277343750000002
2021-07-01,9.508333333333333
2021-08-01,21.66666666666667
2021-09-01,7.867574257425743
2021-10-01,17.95762711864407
2021-11-01,14.838935574229692
2021-12-01,9.864990689013036
2022-01-01,33.56542699724518
2022-02-01,42.38
2022-03-01,29.613354037267083
2022-04-01,35.970679012345684
2022-05-01,22.87348877374784
2022-06-01,22.07291666666667
2022-07-01,17.658333333333335
2022-08-01,22.750000000000004
2022-09-01,17.483498349834985
2022-10-01,23.94350282485876
2022-11-01,14.096988795518207
2022-12-01,15.783985102420857
2023-01-01,35.02479338842976
2023-02-01,26.840666666666667
2023-03-01,24.129399585921327
2023-04-01,27.79552469135803
2023-05-01,13.724093264248705
2023-06-01,12.875868055555557
2023-07-01,12.225000000000001
2023-08-01,17.333333333333336
2023-09-01,13.112623762376238
2023-10-01,17.95762711864407
2023-11-01,17.80672268907563
2023-12-01,13.81098696461825
2024-01-01,32.10606060606061
2024-02-01,31.078666666666667
2024-03-01,28.51656314699793
2024-04-01,39.24074074074075
2024-05-01,10.06433506044905
2024-06-01,18.394097222222225
2024-07-01,14.941666666666666
2024-08-01,26.000000000000004
2024-09-01,23.60272277227723
2024-10-01,24.941148775894543
2024-11-01,34.129551820728295
2024-12-01,60.17644320297952
2025-01-01,30.646694214876035
2025-02-01,57.919333333333334
2025-03-01,38.387681159420296
2025-04-01,53.956018518518526
2025-05-01,42.08721934369603
2025-06-01,39.547309027777786
2025-07-01,38.7125
2025-08-01,71.50000000000001
2025-09-01,57.69554455445545
2025-10-01,59.8587570621469
2025-11-01,58.61379551820728
2025-12-01,69.05493482309124
