date,designer handbag
2004-01-01,90.77578475336323
2004-02-01,68.81557846506301
2004-03-01,79.9798449612403
2004-04-01,91.49037721324095
2004-05-01,80.69107551487416
2004-06-01,69.10052910052912
2004-07-01,60.36349392871132
2004-08-01,71.09585798816569
2004-09-01,79.96938384998087
2004-10-01,71.45622895622897
2004-11-01,68.68592592592593
2004-12-01,74.50480928689885
2005-01-01,56.61285500747384
2005-02-01,81.78083237877054
2005-03-01,83.01705426356588
2005-04-01,69.37182448036951
2005-05-01,78.69870327993898
2005-06-01,63.78510378510379
2005-07-01,65.47904426165296
2005-08-01,68.00473372781066
2005-09-01,82.96823574435516
2005-10-01,95.64141414141416
2005-11-01,65.78370370370371
2005-12-01,75.37114427860698
2006-01-01,67.34977578475336
2006-02-01,73.80221458571975
2006-03-01,66.81860465116279
2006-04-01,63.33949191685912
2006-05-01,73.71777269260107
2006-06-01,73.35286935286936
2006-07-01,82.87191539365453
2006-08-01,90.67297830374756
2006-09-01,80.96900114810563
2006-10-01,70.35690235690237
2006-11-01,81.26222222222223
2006-12-01,74.50480928689885
2007-01-01,81.01494768310911
2007-02-01,80.78350515463919
2007-03-01,69.85581395348837
2007-04-01,72.3879907621247
2007-05-01,72.7215865751335
2007-06-01,78.66829466829468
2007-07-01,78.77947512730121
2007-08-01,82.42998027613413
2007-09-01,86.9667049368542
2007-10-01,75.85353535353536
2007-11-01,81.26222222222223
2007-12-01,86.63349917081261
2008-01-01,73.20627802690582
2008-02-01,70.8102329133257
2008-03-01,71.88062015503876
2008-04-01,70.37721324095457
2008-05-01,72.7215865751335
2008-06-01,86.10989010989012
2008-07-01,73.66392479435957
2008-08-01,74.18698224852072
2008-09-01,62.975889781859934
2008-10-01,58.26430976430977
2008-11-01,56.10962962962964
2008-12-01,57.17810945273632
2009-01-01,48.804185351270554
2009-02-01,52.858342878961444
2009-03-01,50.620155038759684
2009-04-01,50.269438029253266
2009-05-01,46.82074752097636
2009-06-01,51.02808302808303
2009-07-01,50.132393262828046
2009-08-01,39.15424063116372
2009-09-01,44.98277841561424
2009-10-01,56.065656565656575
2009-11-01,40.63111111111112
2009-12-01,46.78208955223881
2010-01-01,42.94768310911809
2010-02-01,31.914471172203136
2010-03-01,42.520930232558136
2010-04-01,39.21016166281755
2010-05-01,41.839816933638446
2010-06-01,38.27106227106228
2010-07-01,34.78574226400313
2010-08-01,34.00236686390533
2010-09-01,31.987753539992347
2010-10-01,35.17845117845118
2010-11-01,30.95703703703704
2010-12-01,32.92072968490879
2011-01-01,35.139013452914796
2011-02-01,40.89041618938527
2011-03-01,34.42170542635659
2011-04-01,35.18860662047729
2011-05-01,33.87032799389779
2011-06-01,35.081807081807085
2011-07-01,34.78574226400313
2011-08-01,31.941617357001977
2011-09-01,31.987753539992347
2011-10-01,32.979797979797986
2011-11-01,34.82666666666667
2011-12-01,33.78706467661692
2012-01-01,33.186846038863976
2012-02-01,31.914471172203136
2012-03-01,33.40930232558139
2012-04-01,30.16166281755196
2012-05-01,26.89702517162472
2012-06-01,31.892551892551896
2012-07-01,31.716412064238153
2012-08-01,34.00236686390533
2012-09-01,33.98698813624187
2012-10-01,27.483164983164986
2012-11-01,41.598518518518524
2012-12-01,30.321724709784412
2013-01-01,32.210762331838566
2013-02-01,28.922489499809092
2013-03-01,29.359689922480616
2013-04-01,32.17244033872209
2013-05-01,29.885583524027464
2013-06-01,25.514041514041516
2013-07-01,28.64708186447317
2013-08-01,28.85049309664695
2013-09-01,30.988136241867586
2013-10-01,28.582491582491585
2013-11-01,28.05481481481482
2013-12-01,31.18805970149254
2014-01-01,28.30642750373692
2014-02-01,25.93050782741505
2014-03-01,27.33488372093023
2014-04-01,28.15088529638183
2014-05-01,26.89702517162472
2014-06-01,25.514041514041516
2014-07-01,26.600861731296515
2014-08-01,26.789743589743594
2014-09-01,22.9911978568695
2014-10-01,25.28451178451179
2014-11-01,26.12
2014-12-01,25.990049751243784
2015-01-01,26.354260089686097
2015-02-01,23.935853379152352
2015-03-01,24.29767441860465
2015-04-01,21.113163972286372
2015-05-01,22.91228070175439
2015-06-01,25.514041514041516
2015-07-01,24.554641598119858
2015-08-01,23.698619329388563
2015-09-01,19.992345962495218
2015-10-01,21.98653198653199
2015-11-01,25.152592592592594
2015-12-01,25.990049751243784
2016-01-01,22.449925261584454
2016-02-01,26.927835051546396
2016-03-01,25.310077519379842
2016-04-01,27.145496535796763
2016-05-01,26.89702517162472
2016-06-01,26.57712657712658
2016-07-01,27.623971797884842
2016-08-01,23.698619329388563
2016-09-01,24.99043245311902
2016-10-01,26.383838383838388
2016-11-01,28.05481481481482
2016-12-01,25.12371475953566
2017-01-01,23.426008968609864
2017-02-01,23.935853379152352
2017-03-01,22.27286821705426
2017-04-01,29.156274056966893
2017-05-01,23.90846681922197
2017-06-01,24.450956450956454
2017-07-01,26.600861731296515
2017-08-01,22.66824457593689
2017-09-01,25.99004975124378
2017-10-01,28.582491582491585
2017-11-01,25.152592592592594
2017-12-01,25.990049751243784
2018-01-01,23.426008968609864
2018-02-01,22.938526155021005
2018-03-01,24.29767441860465
2018-04-01,22.118552732871436
2018-05-01,23.90846681922197
2018-06-01,30.829466829466835
2018-07-01,24.554641598119858
2018-08-01,25.75936883629192
2018-09-01,22.9911978568695
2018-10-01,27.483164983164986
2018-11-01,29.989629629629633
2018-12-01,25.12371475953566
2019-01-01,25.378176382660687
2019-02-01,23.935853379152352
2019-03-01,22.27286821705426
2019-04-01,23.123941493456503
2019-05-01,22.91228070175439
2019-06-01,23.387871387871392
2019-07-01,23.53153153153153
2019-08-01,22.66824457593689
2019-09-01,22.9911978568695
2019-10-01,20.88720538720539
2019-11-01,23.21777777777778
2019-12-01,25.12371475953566
2020-01-01,23.426008968609864
2020-02-01,21.941198930889655
2020-03-01,14.173643410852712
2020-04-01,18.096997690531175
2020-05-01,19.923722349351642
2020-06-01,20.1986161986162
2020-07-01,24.554641598119858
2020-08-01,22.66824457593689
2020-09-01,22.9911978568695
2020-10-01,23.08585858585859
2020-11-01,24.185185185185187
2020-12-01,24.25737976782753
2021-01-01,21.473841554559044
2021-02-01,21.941198930889655
2021-03-01,26.322480620155037
2021-04-01,26.1401077752117
2021-05-01,28.88939740655988
2021-06-01,25.514041514041516
2021-07-01,25.577751664708188
