date,rare wine
2004-01-01,0.0
2004-02-01,69.60337022132796
2004-03-01,0.0
2004-04-01,80.12124582869855
2004-05-01,0.0
2004-06-01,58.047048997772826
2004-07-01,69.99794841735051
2004-08-01,81.23571428571428
2004-09-01,0.0
2004-10-01,72.19983905579399
2004-11-01,84.47910863509749
2004-12-01,64.03716216216216
2005-01-01,45.371010638297875
2005-02-01,67.69642857142857
2005-03-01,68.84903518728717
2005-04-01,53.765572858731915
2005-05-01,69.40306122448978
2005-06-01,59.10244988864142
2005-07-01,54.4428487690504
2005-08-01,68.73791208791208
2005-09-01,56.864999999999995
2005-10-01,36.608369098712444
2005-11-01,47.51949860724234
2005-12-01,46.51120199146514
2006-01-01,59.48643617021277
2006-02-01,53.394366197183096
2006-03-01,53.7883087400681
2006-04-01,49.54866518353726
2006-05-01,46.64795918367346
2006-06-01,47.493040089086854
2006-07-01,0.0
2006-08-01,51.0326923076923
2006-09-01,39.17366666666666
2006-10-01,67.11534334763948
2006-11-01,44.879526462395546
2006-12-01,51.229729729729726
2007-01-01,76.62659574468086
2007-02-01,40.99924547283702
2007-03-01,63.47020431328036
2007-04-01,66.4162958843159
2007-05-01,53.47448979591836
2007-06-01,58.047048997772826
2007-07-01,47.7763774912075
2007-08-01,36.45192307692307
2007-09-01,27.800666666666665
2007-10-01,56.94635193133047
2007-11-01,45.75951717734448
2007-12-01,37.07414651493599
2008-01-01,52.42872340425532
2008-02-01,42.90618712273642
2008-03-01,51.63677639046538
2008-04-01,37.95216907675194
2008-05-01,53.47448979591836
2008-06-01,64.3794543429844
2008-07-01,44.44314185228605
2008-08-01,49.991208791208784
2008-09-01,48.01933333333333
2008-10-01,33.55767167381974
2008-11-01,28.15970287836583
2008-12-01,35.725995732574674
2009-01-01,29.239095744680853
2009-02-01,29.557595573440643
2009-03-01,47.33371169125993
2009-04-01,44.27753058954393
2009-05-01,37.54591836734693
2009-06-01,36.93903118040089
2009-07-01,42.220984759671744
2009-08-01,30.203021978021972
2009-09-01,30.327999999999996
2009-10-01,38.64216738197425
2009-11-01,35.199628597957286
2009-12-01,41.11859886201991
2010-01-01,35.288563829787236
2010-02-01,27.650653923541245
2010-03-01,41.95488081725312
2010-04-01,28.464126807563957
2010-05-01,39.82142857142856
2010-06-01,36.93903118040089
2010-07-01,36.66559202813598
2010-08-01,36.45192307692307
2010-09-01,36.64633333333333
2010-10-01,27.456276824034333
2010-11-01,36.959610027855156
2010-12-01,35.725995732574674
2011-01-01,38.31329787234043
2011-02-01,39.09230382293762
2011-03-01,31.197219069239498
2011-04-01,29.51835372636262
2011-05-01,44.37244897959183
2011-06-01,34.828229398663694
2011-07-01,36.66559202813598
2011-08-01,38.53489010989011
2011-09-01,46.75566666666666
2011-10-01,35.59146995708154
2011-11-01,35.199628597957286
2011-12-01,28.985241820768135
2012-01-01,36.2968085106383
2012-02-01,36.23189134808853
2012-03-01,36.57604994324631
2012-04-01,35.84371523915461
2012-05-01,34.13265306122448
2012-06-01,36.93903118040089
2012-07-01,39.99882766705744
2012-08-01,36.45192307692307
2012-09-01,40.43733333333333
2012-10-01,32.54077253218884
2012-11-01,30.79967502321263
2012-12-01,30.333392603129443
2013-01-01,37.305053191489364
2013-02-01,38.138832997987926
2013-03-01,38.727582292849036
2013-04-01,32.68103448275862
2013-05-01,40.95918367346938
2013-06-01,27.440423162583517
2013-07-01,36.66559202813598
2013-08-01,30.203021978021972
2013-09-01,36.64633333333333
2013-10-01,36.608369098712444
2013-11-01,36.07961931290622
2013-12-01,34.37784495021337
2014-01-01,43.35452127659575
2014-02-01,36.23189134808853
2014-03-01,43.030646992054486
2014-04-01,36.897942157953274
2014-05-01,38.68367346938775
2014-06-01,37.994432071269486
2014-07-01,37.77667057444314
2014-08-01,32.285989010989006
2014-09-01,35.382666666666665
2014-10-01,31.523873390557938
2014-11-01,41.35956360259981
2014-12-01,35.725995732574674
2015-01-01,32.263829787234044
2015-02-01,32.418008048289735
2015-03-01,35.500283768444945
2015-04-01,34.78948832035594
2015-05-01,35.2704081632653
2015-06-01,31.662026726057903
2015-07-01,42.220984759671744
2015-08-01,36.45192307692307
2015-09-01,36.64633333333333
2015-10-01,38.64216738197425
2015-11-01,34.319637883008355
2015-12-01,37.07414651493599
2016-01-01,33.27207446808511
2016-02-01,28.604124748490946
2016-03-01,34.424517593643586
2016-04-01,31.62680756395995
2016-05-01,34.13265306122448
2016-06-01,29.55122494432071
2016-07-01,32.221277842907384
2016-08-01,29.161538461538456
2016-09-01,42.96466666666666
2016-10-01,29.490075107296136
2016-11-01,29.919684308263694
