date,seafood restaurant
2004-01-01,37.915625
2004-02-01,34.53041144901609
2004-03-01,31.798198198198197
2004-04-01,32.045923149015934
2004-05-01,32.1976647206005
2004-06-01,29.24621212121212
2004-07-01,27.80672268907563
2004-08-01,27.85793212312549
2004-09-01,29.72473532242541
2004-10-01,30.50851063829787
2004-11-01,34.87236533957845
2004-12-01,34.24732334047109
2005-01-01,32.170833333333334
2005-02-01,33.543828264758496
2005-03-01,31.798198198198197
2005-04-01,34.113402061855666
2005-05-01,30.357798165137613
2005-06-01,30.917424242424243
2005-07-01,32.44117647058824
2005-08-01,30.469613259668506
2005-09-01,33.971126082771896
2005-10-01,32.85531914893617
2005-11-01,38.747072599531606
2005-12-01,34.24732334047109
2006-01-01,36.766666666666666
2006-02-01,31.570661896243287
2006-03-01,36.766666666666666
2006-04-01,32.045923149015934
2006-05-01,34.03753127606338
2006-06-01,29.24621212121212
2006-07-01,32.44117647058824
2006-08-01,34.82241515390686
2006-09-01,32.909528392685274
2006-10-01,38.72234042553191
2006-11-01,40.038641686182665
2006-12-01,38.971092077087796
2007-01-01,36.766666666666666
2007-02-01,37.490161001788906
2007-03-01,38.75405405405405
2007-04-01,38.248359887535145
2007-05-01,36.79733110925771
2007-06-01,36.766666666666666
2007-07-01,37.075630252100844
2007-08-01,38.30465666929755
2007-09-01,39.279114533205004
2007-10-01,39.89574468085106
2007-11-01,40.038641686182665
2007-12-01,38.971092077087796
2008-01-01,39.06458333333333
2008-02-01,38.4767441860465
2008-03-01,36.766666666666666
2008-04-01,36.180880974695405
2008-05-01,36.79733110925771
2008-06-01,35.095454545454544
2008-07-01,33.98599439775911
2008-08-01,37.43409629044988
2008-09-01,31.847930702598653
2008-10-01,35.202127659574465
2008-11-01,37.455503512880554
2008-12-01,36.609207708779444
2009-01-01,37.915625
2009-02-01,41.436493738819316
2009-03-01,36.766666666666666
2009-04-01,35.14714151827554
2009-05-01,37.71726438698916
2009-06-01,35.931060606060605
2009-07-01,35.530812324929975
2009-08-01,38.30465666929755
2009-09-01,37.15591915303176
2009-10-01,39.89574468085106
2009-11-01,41.330210772833716
2009-12-01,38.971092077087796
2010-01-01,39.06458333333333
2010-02-01,39.46332737030411
2010-03-01,37.76036036036036
2010-04-01,35.14714151827554
2010-05-01,34.95746455379483
2010-06-01,32.58863636363636
2010-07-01,33.21358543417367
2010-08-01,33.08129439621152
2010-09-01,33.971126082771896
2010-10-01,34.02872340425532
2010-11-01,34.87236533957845
2010-12-01,33.066381156316915
2011-01-01,39.06458333333333
2011-02-01,35.5169946332737
2011-03-01,38.75405405405405
2011-04-01,43.41705716963449
2011-05-01,36.79733110925771
2011-06-01,39.27348484848485
2011-07-01,41.71008403361345
2011-08-01,35.69297553275453
2011-09-01,38.21751684311838
2011-10-01,36.375531914893614
2011-11-01,37.455503512880554
2011-12-01,37.79014989293362
2012-01-01,35.61770833333333
2012-02-01,36.5035778175313
2012-03-01,37.76036036036036
2012-04-01,38.248359887535145
2012-05-01,37.71726438698916
2012-06-01,38.43787878787879
2012-07-01,37.84803921568628
2012-08-01,38.30465666929755
2012-09-01,33.971126082771896
2012-10-01,32.85531914893617
2012-11-01,32.28922716627634
2012-12-01,30.704496788008566
2013-01-01,34.46875
2013-02-01,36.5035778175313
2013-03-01,37.76036036036036
2013-04-01,35.14714151827554
2013-05-01,36.79733110925771
2013-06-01,37.60227272727273
2013-07-01,37.84803921568628
2013-08-01,40.04577742699289
2013-09-01,40.340712223291625
2013-10-01,36.375531914893614
2013-11-01,40.038641686182665
2013-12-01,38.971092077087796
2014-01-01,40.213541666666664
2014-02-01,40.44991055456171
2014-03-01,42.728828828828824
2014-04-01,42.383317713214616
2014-05-01,40.477064220183486
2014-06-01,43.45151515151515
2014-07-01,42.48249299719888
2014-08-01,46.139700078926595
2014-09-01,39.279114533205004
2014-10-01,41.06914893617021
2014-11-01,38.747072599531606
2014-12-01,42.513918629550325
2015-01-01,42.51145833333333
2015-02-01,46.36940966010733
2015-03-01,46.703603603603604
2015-04-01,45.48453608247422
2015-05-01,45.0767306088407
2015-06-01,42.61590909090909
2015-07-01,49.43417366946779
2015-08-01,53.10418310970797
2015-09-01,45.64870067372473
2015-10-01,44.589361702127654
2015-11-01,46.49648711943793
2015-12-01,50.78051391862955
2016-01-01,54.001041666666666
2016-02-01,60.18157423971377
2016-03-01,59.62162162162162
2016-04-01,63.058106841611995
2016-05-01,64.395329441201
2016-06-01,62.67045454545454
2016-07-01,65.65476190476191
2016-08-01,59.19810576164166
2016-09-01,57.32627526467758
2016-10-01,57.496808510638296
2016-11-01,54.245901639344254
2016-12-01,56.68522483940043
2017-01-01,59.74583333333333
2017-02-01,62.15474060822897
2017-03-01,61.60900900900901
2017-04-01,65.12558575445173
2017-05-01,65.31526271893244
