date,luxury yacht
2004-01-01,59.62509038322487
2004-02-01,81.30398796087285
2004-03-01,59.90820165537999
2004-04-01,43.71334833145857
2004-05-01,57.09839357429719
2004-06-01,54.412654320987656
2004-07-01,66.46162018592298
2004-08-01,26.164588898783023
2004-09-01,55.928053830227746
2004-10-01,66.89254385964912
2004-11-01,50.84163473818646
2004-12-01,57.97916666666667
2005-01-01,62.709146782357195
2005-02-01,39.58220466516178
2005-03-01,57.76862302483071
2005-04-01,43.71334833145857
2005-05-01,52.340194109772426
2005-06-01,37.737808641975306
2005-07-01,40.78326693227092
2005-08-01,44.733006826951616
2005-09-01,57.89044168391995
2005-10-01,46.48464912280702
2005-11-01,55.68369518944231
2005-12-01,46.63541666666667
2006-01-01,44.20480838756327
2006-02-01,60.97799097065464
2006-03-01,39.58220466516178
2006-04-01,42.64716910386202
2006-05-01,47.58199464524766
2006-06-01,45.63641975308642
2006-07-01,58.15391766268261
2006-08-01,51.48515880083111
2006-09-01,41.210144927536234
2006-10-01,39.68201754385965
2006-11-01,35.10493827160494
2006-12-01,40.333333333333336
2007-01-01,41.120751988430946
2007-02-01,38.512415349887135
2007-03-01,33.16346877351393
2007-04-01,56.50749906261718
2007-05-01,39.01723560910308
2007-06-01,49.14691358024691
2007-07-01,32.47556440903055
2007-08-01,43.04496883348175
2007-09-01,49.059696342305045
2007-10-01,45.35087719298246
2007-11-01,54.473180076628346
2007-12-01,36.552083333333336
2008-01-01,48.31688358640636
2008-02-01,42.79157261098571
2008-03-01,48.14051918735892
2008-04-01,67.16929133858268
2008-05-01,44.727074966532804
2008-06-01,41.2483024691358
2008-07-01,37.76228419654715
2008-08-01,38.82487384980706
2008-09-01,45.13492063492064
2008-10-01,46.48464912280702
2008-11-01,50.84163473818646
2008-12-01,32.770833333333336
2009-01-01,40.092733188720175
2009-02-01,47.07072987208428
2009-03-01,40.65199398043642
2009-04-01,43.71334833145857
2009-05-01,44.727074966532804
2009-06-01,49.14691358024691
2009-07-01,42.29375830013281
2009-08-01,37.13683585633719
2009-09-01,42.19133885438234
2009-10-01,48.752192982456144
2009-11-01,39.94699872286079
2009-12-01,40.333333333333336
2010-01-01,44.20480838756327
2010-02-01,36.372836719337855
2010-03-01,42.79157261098571
2010-04-01,35.183914510686165
2010-05-01,44.727074966532804
2010-06-01,37.737808641975306
2010-07-01,36.25179282868526
2010-08-01,41.35693084001187
2010-09-01,31.398205659075227
2010-10-01,30.611842105263158
2010-11-01,31.473392933163044
2010-12-01,36.552083333333336
2011-01-01,42.148770788141725
2011-02-01,40.65199398043642
2011-03-01,36.372836719337855
2011-04-01,38.382452193475814
2011-05-01,39.01723560910308
2011-06-01,41.2483024691358
2011-07-01,40.78326693227092
2011-08-01,31.22870287919264
2011-09-01,29.435817805383024
2011-10-01,34.01315789473684
2011-11-01,32.683908045977006
2011-12-01,37.8125
2012-01-01,34.95263919016631
2012-02-01,34.23325808878857
2012-03-01,38.512415349887135
2012-04-01,33.051556055493066
2012-05-01,37.113955823293175
2012-06-01,35.10493827160494
2012-07-01,33.986055776892435
2012-08-01,37.13683585633719
2012-09-01,26.492236024844722
2012-10-01,30.611842105263158
2012-11-01,35.10493827160494
2012-12-01,35.29166666666667
2013-01-01,33.92462039045553
2013-02-01,33.16346877351393
2013-03-01,34.23325808878857
2013-04-01,29.853018372703414
2013-05-01,36.162315930388225
2013-06-01,32.47206790123457
2013-07-01,37.007038512616205
2013-08-01,37.98085485307213
2013-09-01,27.473429951690825
2013-10-01,29.478070175438596
2013-11-01,29.052362707535117
2013-12-01,30.25
2014-01-01,37.00867678958785
2014-02-01,29.954100827689995
2014-03-01,29.954100827689995
2014-04-01,29.853018372703414
2014-05-01,30.452476572958503
2014-06-01,33.34969135802469
2014-07-01,28.699335989375832
2014-08-01,33.76075986939745
2014-09-01,31.398205659075227
2014-10-01,31.74561403508772
2014-11-01,26.631332481907194
2014-12-01,23.947916666666668
2015-01-01,29.812545191612436
2015-02-01,28.884311512415355
2015-03-01,29.954100827689995
2015-04-01,27.72065991751031
2015-05-01,28.549196787148595
2015-06-01,30.71682098765432
2015-07-01,27.944090305444888
2015-08-01,37.98085485307213
2015-09-01,30.417011732229128
2015-10-01,30.611842105263158
2015-11-01,30.262877820349082
2015-12-01,31.510416666666668
2016-01-01,50.37292118582791
2016-02-01,38.512415349887135
2016-03-01,46.00094055680964
2016-04-01,42.64716910386202
2016-05-01,39.96887550200803
2016-06-01,40.370679012345676
2016-07-01,36.25179282868526
2016-08-01,34.604778866132385
2016-09-01,43.17253278122844
2016-10-01,36.280701754385966
2016-11-01,37.52596849723286
2016-12-01,37.8125
2017-01-01,38.036695589298624
2017-02-01,47.07072987208428
2017-03-01,42.79157261098571
2017-04-01,41.58098987626547
2017-05-01,47.58199464524766
2017-06-01,50.024537037037035
2017-07-01,46.06998671978752
2017-08-01,48.10908281389136
2017-09-01,44.15372670807454
2017-10-01,41.949561403508774
2017-11-01,37.52596849723286
2017-12-01,32.770833333333336
2018-01-01,32.89660159074476
2018-02-01,31.02389014296464
2018-03-01,31.02389014296464
2018-04-01,35.183914510686165
2018-05-01,34.25903614457832
2018-06-01,35.10493827160494
2018-07-01,37.007038512616205
2018-08-01,40.51291184327694
2018-09-01,36.30417529330573
2018-10-01,43.083333333333336
2018-11-01,36.3154533844189
2018-12-01,34.03125
2019-01-01,35.98065798987708
2019-02-01,34.23325808878857
2019-03-01,37.442626034612495
2019-04-01,30.919197600299963
2019-05-01,37.113955823293175
2019-06-01,40.370679012345676
2019-07-01,40.78326693227092
2019-08-01,42.20094983674681
2019-09-01,38.26656314699793
2019-10-01,40.81578947368421
2019-11-01,41.15751383567475
2019-12-01,51.677083333333336
2020-01-01,43.1767895878525
2020-02-01,47.07072987208428
2020-03-01,43.86136192626035
2020-04-01,46.911886014248225
2020-05-01,43.77543507362785
2020-06-01,48.26929012345679
2020-07-01,49.09096945551129
2020-08-01,45.577025823686554
2020-09-01,52.984472049689444
2020-10-01,56.68859649122807
2020-11-01,50.84163473818646
2020-12-01,49.15625
2021-01-01,49.34490238611714
2021-02-01,48.14051918735892
2021-03-01,51.34988713318285
2021-04-01,55.44131983502062
2021-05-01,59.0016733601071
2021-06-01,51.77978395061728
2021-07-01,46.06998671978752
2021-08-01,47.265063817156424
2021-09-01,52.00327812284335
2021-10-01,55.55482456140351
2021-11-01,55.68369518944231
2021-12-01,50.41666666666667
2022-01-01,47.28886478669559
2022-02-01,53.489465763732134
2022-03-01,53.489465763732134
2022-04-01,50.110423697037874
2022-05-01,40.92051539491299
2022-06-01,41.2483024691358
2022-07-01,45.31474103585658
