date,designer furniture
2004-01-01,85.76754385964912
2004-02-01,79.06582040432534
2004-03-01,72.536331300813
2004-04-01,77.5045731707317
2004-05-01,83.9186626746507
2004-06-01,79.19470404984423
2004-07-01,84.10752688172043
2004-08-01,80.28445747800586
2004-09-01,78.50924458531432
2004-10-01,82.9224369296833
2004-11-01,82.56555555555555
2004-12-01,72.14466019417475
2005-01-01,73.76008771929824
2005-02-01,76.30771039022098
2005-03-01,66.57444105691057
2005-04-01,72.536331300813
2005-05-01,77.08807385229541
2005-06-01,70.05685358255451
2005-07-01,71.6825513196481
2005-08-01,74.54985337243401
2005-09-01,65.08003169572108
2005-10-01,77.67418142780461
2005-11-01,65.18333333333334
2005-12-01,65.81618122977346
2006-01-01,76.33311403508772
2006-02-01,56.0815702867889
2006-03-01,58.62525406504065
2006-04-01,56.63795731707317
2006-05-01,51.71731536926148
2006-06-01,54.82710280373831
2006-07-01,59.25757575757576
2006-08-01,62.12487781036168
2006-09-01,56.815900686740626
2006-10-01,50.38325281803543
2006-11-01,55.405833333333334
2006-12-01,54.42491909385113
2007-01-01,48.02982456140351
2007-02-01,55.16220028208745
2007-03-01,52.66336382113821
2007-04-01,57.63160569105691
2007-05-01,47.814121756487026
2007-06-01,52.79646936656282
2007-07-01,54.478739002932556
2007-08-01,52.56720430107527
2007-09-01,52.6838351822504
2007-10-01,52.482555018786904
2007-11-01,48.887499999999996
2007-12-01,51.893527508090614
2008-01-01,42.02609649122807
2008-02-01,44.129760225669955
2008-03-01,44.71417682926829
2008-04-01,41.733231707317074
2008-05-01,40.98353293413174
2008-06-01,42.64330218068535
2008-07-01,43.009530791788855
2008-08-01,40.14222873900293
2008-09-01,39.25462229265716
2008-10-01,36.73778851315083
2008-11-01,33.67805555555555
2008-12-01,41.76796116504854
2009-01-01,31.733991228070174
2009-02-01,31.258580159849554
2009-03-01,36.764989837398375
2009-04-01,31.796747967479675
2009-05-01,35.12874251497006
2009-06-01,36.55140186915887
2009-07-01,36.31915933528837
2009-08-01,34.407624633431084
2009-09-01,38.2216059165346
2009-10-01,39.88674181427805
2009-11-01,35.850833333333334
2009-12-01,36.705177993527506
2010-01-01,30.01864035087719
2010-02-01,34.016690173953926
2010-03-01,33.78404471544715
2010-04-01,32.79039634146341
2010-05-01,34.15294411177645
2010-06-01,31.47481827622014
2010-07-01,29.62878787878788
2010-08-01,28.67302052785924
2010-09-01,29.957474907554147
2010-10-01,26.241277509393452
2010-11-01,32.59166666666667
2010-12-01,29.111003236245953
2011-01-01,29.1609649122807
2011-02-01,31.258580159849554
2011-03-01,30.803099593495936
2011-04-01,29.809451219512194
2011-05-01,28.298153692614772
2011-06-01,28.428868120456904
2011-07-01,27.717253176930598
