date,jet ski
2004-01-01,19.466666666666665
2004-02-01,18.02469135802469
2004-03-01,20.054945054945055
2004-04-01,20.0
2004-05-01,17.556517556517555
2004-06-01,17.608040201005025
2004-07-01,16.141514648977335
2004-08-01,15.26797385620915
2004-09-01,17.789382071366404
2004-10-01,17.696969696969695
2004-11-01,17.696969696969695
2004-12-01,20.27777777777778
2005-01-01,17.03333333333333
2005-02-01,18.02469135802469
2005-03-01,18.717948717948715
2005-04-01,18.88888888888889
2005-05-01,18.258778258778257
2005-06-01,20.0536013400335
2005-07-01,18.1592039800995
2005-08-01,19.084967320261438
2005-09-01,17.789382071366404
2005-10-01,17.696969696969695
2005-11-01,17.696969696969695
2005-12-01,17.38095238095238
2006-01-01,19.466666666666665
2006-02-01,16.021947873799725
2006-03-01,16.043956043956044
2006-04-01,20.0
2006-05-01,18.258778258778257
2006-06-01,18.09715242881072
2006-07-01,20.983969043670538
2006-08-01,18.44880174291939
2006-09-01,16.51871192341166
2006-10-01,17.696969696969695
2006-11-01,17.696969696969695
2006-12-01,17.38095238095238
2007-01-01,19.466666666666665
2007-02-01,18.02469135802469
2007-03-01,20.054945054945055
2007-04-01,18.88888888888889
2007-05-01,18.961038961038962
2007-06-01,18.09715242881072
2007-07-01,18.96627971254837
2007-08-01,17.176470588235293
2007-09-01,19.060052219321147
2007-10-01,17.696969696969695
2007-11-01,17.696969696969695
2007-12-01,20.27777777777778
2008-01-01,19.466666666666665
2008-02-01,20.027434842249654
2008-03-01,17.38095238095238
2008-04-01,16.666666666666668
2008-05-01,16.15199615199615
2008-06-01,16.14070351758794
2008-07-01,15.737976782752902
2008-08-01,16.540305010893245
2008-09-01,15.248041775456917
2008-10-01,15.484848484848484
2008-11-01,17.696969696969695
2008-12-01,17.38095238095238
2009-01-01,19.466666666666665
2009-02-01,18.02469135802469
2009-03-01,18.717948717948715
2009-04-01,17.77777777777778
2009-05-01,16.854256854256853
2009-06-01,17.608040201005025
2009-07-01,15.737976782752902
2009-08-01,17.81263616557734
2009-09-01,19.060052219321147
2009-10-01,19.909090909090907
2009-11-01,20.646464646464647
2009-12-01,20.27777777777778
2010-01-01,19.466666666666665
2010-02-01,20.027434842249654
2010-03-01,17.38095238095238
2010-04-01,16.666666666666668
2010-05-01,17.556517556517555
2010-06-01,18.09715242881072
2010-07-01,17.352128247650636
2010-08-01,19.084967320261438
2010-09-01,17.789382071366404
2010-10-01,28.757575757575754
2010-11-01,23.595959595959595
2010-12-01,17.38095238095238
2011-01-01,17.03333333333333
2011-02-01,20.027434842249654
2011-03-01,17.38095238095238
2011-04-01,20.0
2011-05-01,19.663299663299664
2011-06-01,20.542713567839197
2011-07-01,21.38750690989497
2011-08-01,19.721132897603486
2011-09-01,19.060052219321147
2011-10-01,17.696969696969695
2011-11-01,20.646464646464647
2011-12-01,20.27777777777778
2012-01-01,19.466666666666665
2012-02-01,18.02469135802469
2012-03-01,20.054945054945055
2012-04-01,23.333333333333336
