date,wedding ring
2004-01-01,33.48618784530387
2004-02-01,31.567708333333332
2004-03-01,34.134459697289685
2004-04-01,33.77777777777778
2004-05-01,34.24293785310734
2004-06-01,35.97032640949555
2004-07-01,34.11444652908067
2004-08-01,37.16005162955792
2004-09-01,36.95731707317073
2004-10-01,34.36649484536082
2004-11-01,34.277112441783096
2004-12-01,34.028713506576835
2005-01-01,35.34653161448741
2005-02-01,37.48665364583333
2005-03-01,37.33456529391059
2005-04-01,33.77777777777778
2005-05-01,36.25722831505483
2005-06-01,38.967853610286845
2005-07-01,36.00969355847404
2005-08-01,34.22636334301387
2005-09-01,36.95731707317073
2005-10-01,34.36649484536082
2005-11-01,33.2689620758483
2005-12-01,33.05646454924607
2006-01-01,31.625844076120316
2006-02-01,34.52718098958333
2006-03-01,33.06775783174938
2006-04-01,33.77777777777778
2006-05-01,34.24293785310734
2006-06-01,33.97197494230135
2006-07-01,34.11444652908067
2006-08-01,33.24846724749919
2006-09-01,31.824356368563684
2006-10-01,33.325085910652916
2006-11-01,32.260811709913504
2006-12-01,28.195219762592238
2007-01-01,29.76550030693677
2007-02-01,32.55419921875
2007-03-01,32.00105596620908
2007-04-01,33.77777777777778
2007-05-01,33.2357926221336
2007-06-01,33.97197494230135
2007-07-01,36.00969355847404
2007-08-01,34.22636334301387
2007-09-01,33.8775406504065
2007-10-01,32.28367697594501
2007-11-01,32.260811709913504
2007-12-01,29.167468719923004
2008-01-01,28.835328422344993
2008-02-01,34.52718098958333
2008-03-01,33.06775783174938
2008-04-01,34.833333333333336
2008-05-01,35.25008308408109
2008-06-01,35.97032640949555
2008-07-01,32.219199499687306
2008-08-01,32.27057115198451
2008-09-01,31.824356368563684
2008-10-01,32.28367697594501
2008-11-01,32.260811709913504
2008-12-01,30.13971767725377
2009-01-01,30.695672191528544
2009-02-01,31.567708333333332
2009-03-01,32.00105596620908
2009-04-01,32.72222222222222
2009-05-01,35.25008308408109
2009-06-01,32.97279920870425
2009-07-01,31.27157598499062
2009-08-01,31.29267505646983
2009-09-01,30.797764227642276
2009-10-01,32.28367697594501
2009-11-01,31.25266134397871
2009-12-01,31.111966634584537
2010-01-01,29.76550030693677
2010-02-01,33.540690104166664
2010-03-01,32.00105596620908
2010-04-01,31.666666666666668
2010-05-01,31.22150216018611
2010-06-01,31.973623475107154
2010-07-01,35.06207004377736
2010-08-01,33.24846724749919
2010-09-01,32.85094850948509
2010-10-01,29.1594501718213
2010-11-01,36.293413173652695
2010-12-01,33.05646454924607
2011-01-01,37.20687538367096
2011-02-01,40.44612630208333
2011-03-01,42.66807462161211
2011-04-01,60.16666666666667
2011-05-01,49.35011631771353
2011-06-01,42.96455654467524
2011-07-01,40.74781113195747
2011-08-01,50.85059696676347
2011-09-01,44.143462059620596
2011-10-01,46.863402061855666
2011-11-01,48.39121756487026
2011-12-01,45.69570099454604
2012-01-01,44.64825046040515
2012-02-01,45.378580729166664
2012-03-01,41.601372756071804
2012-04-01,48.55555555555556
2012-05-01,46.32868062479229
2012-06-01,49.958786679854924
2012-07-01,48.32879924953095
2012-08-01,47.91690868021943
2012-09-01,52.356199186991866
2012-10-01,48.94621993127147
2012-11-01,45.366766467065865
2012-12-01,45.69570099454604
2013-01-01,46.5085942295887
2013-02-01,48.338053385416664
2013-03-01,50.134987680394225
2013-04-01,49.611111111111114
2013-05-01,50.35726154868727
2013-06-01,47.96043521266073
2013-07-01,48.32879924953095
2013-08-01,50.85059696676347
2013-09-01,49.27642276422764
2013-10-01,49.987628865979374
2013-11-01,52.423819028609444
2013-12-01,51.52919473853064
2014-01-01,50.2292817679558
2014-02-01,51.297526041666664
2014-03-01,51.20168954593453
2014-04-01,48.55555555555556
2014-05-01,49.35011631771353
2014-06-01,51.95713814704912
2014-07-01,50.22404627892433
2014-08-01,46.93901258470474
2014-09-01,51.32960704607046
2014-10-01,47.90481099656357
2014-11-01,49.399367930805056
2014-12-01,48.61244786653834
2015-01-01,48.368937998772246
2015-02-01,50.31103515625
2015-03-01,51.20168954593453
2015-04-01,50.66666666666667
2015-05-01,51.36440677966102
2015-06-01,48.959610946257826
2015-07-01,53.06691682301438
2015-08-01,51.828493062278156
2015-09-01,51.32960704607046
2015-10-01,51.02903780068728
2015-11-01,49.399367930805056
2015-12-01,53.473692653192174
2016-01-01,55.81031307550644
2016-02-01,59.189453125
2016-03-01,54.401795142555436
2016-04-01,57.0
2016-05-01,55.392987703555995
2016-06-01,52.95631388064622
2016-07-01,57.80503439649781
2016-08-01,54.7621813488222
2016-09-01,56.4625677506775
2016-10-01,60.40171821305841
2016-11-01,58.472721224218226
2016-12-01,56.390439525184476
2017-01-01,55.81031307550644
2017-02-01,55.24348958333333
2017-03-01,54.401795142555436
2017-04-01,54.88888888888889
2017-05-01,52.37155201063476
2017-06-01,54.95466534784042
2017-07-01,54.962163852407755
2017-08-01,54.7621813488222
2017-09-01,53.382791327913274
2017-10-01,58.3189003436426
2017-11-01,58.472721224218226
2017-12-01,63.19618222649984
2018-01-01,53.01979742173112
2018-02-01,57.216471354166664
2018-03-01,57.601900739176344
2018-04-01,54.88888888888889
2018-05-01,63.45014955134596
2018-06-01,56.953016815034616
2018-07-01,56.85741088180112
2018-08-01,52.806389157792836
2018-09-01,56.4625677506775
2018-10-01,55.194673539518895
2018-11-01,54.440119760479035
2018-12-01,58.33493743984601
2019-01-01,52.08962553713935
2019-02-01,57.216471354166664
2019-03-01,55.46849700809574
2019-04-01,51.72222222222222
2019-05-01,49.35011631771353
2019-06-01,51.95713814704912
2019-07-01,51.17166979362101
2019-08-01,50.85059696676347
2019-09-01,52.356199186991866
2019-10-01,51.02903780068728
2019-11-01,51.41566866267465
2019-12-01,52.501443695861404
2020-01-01,50.2292817679558
2020-02-01,52.28401692708333
2020-03-01,44.80147835269271
2020-04-01,40.111111111111114
2020-05-01,45.32153539381854
2020-06-01,47.96043521266073
2020-07-01,52.119293308317694
2020-08-01,48.89480477573411
2020-09-01,49.27642276422764
2020-10-01,51.02903780068728
2020-11-01,48.39121756487026
2020-12-01,50.55694578119987
2021-01-01,93.0171884591774
2021-02-01,51.297526041666664
2021-03-01,54.401795142555436
2021-04-01,51.72222222222222
2021-05-01,50.35726154868727
2021-06-01,51.95713814704912
2021-07-01,49.27642276422764
2021-08-01,48.89480477573411
2021-09-01,49.27642276422764
2021-10-01,52.07044673539518
2021-11-01,52.423819028609444
2021-12-01,52.501443695861404
2022-01-01,53.94996930632289
2022-02-01,55.24348958333333
2022-03-01,56.53519887363604
2022-04-01,55.94444444444444
2022-05-01,56.40013293452974
2022-06-01,51.95713814704912
2022-07-01,54.962163852407755
2022-08-01,55.74007744433688
2022-09-01,49.27642276422764
2022-10-01,48.94621993127147
2022-11-01,47.38306719893546
2022-12-01,49.5846968238691
2023-01-01,48.368937998772246
2023-02-01,48.338053385416664
2023-03-01,49.06828581485392
2023-04-01,47.5
2023-05-01,47.33582585576603
2023-06-01,49.958786679854924
2023-07-01,47.38117573483427
2023-08-01,48.89480477573411
2023-09-01,49.27642276422764
2023-10-01,49.987628865979374
2023-11-01,49.399367930805056
2023-12-01,51.52919473853064
2024-01-01,49.299109883364025
2024-02-01,50.31103515625
2024-03-01,58.66860260471665
2024-04-01,52.77777777777778
2024-05-01,50.35726154868727
2024-06-01,52.95631388064622
2024-07-01,49.27642276422764
2024-08-01,50.85059696676347
2024-09-01,52.356199186991866
2024-10-01,54.153264604810985
2024-11-01,51.41566866267465
2024-12-01,52.501443695861404
2025-01-01,52.08962553713935
2025-02-01,52.28401692708333
2025-03-01,54.401795142555436
2025-04-01,51.72222222222222
2025-05-01,53.378697241608506
2025-06-01,52.95631388064622
2025-07-01,56.85741088180112
2025-08-01,59.65166182639561
2025-09-01,58.515752032520325
2025-10-01,56.2360824742268
2025-11-01,61.49717232202262
2025-12-01,59.30718639717677
