date,private jet
2004-01-01,10.702815829528157
2004-02-01,10.394308943089431
2004-03-01,9.612781954887218
2004-04-01,9.68560606060606
2004-05-01,11.161507936507936
2004-06-01,12.08983451536643
2004-07-01,8.28401727861771
2004-08-01,8.919767441860465
2004-09-01,9.354878048780487
2004-10-01,9.493811881188119
2004-11-01,12.596059113300493
2004-12-01,11.810623556581984
2005-01-01,9.729832572298324
2005-02-01,7.795731707317073
2005-03-01,11.748955722639932
2005-04-01,10.761784511784512
2005-05-01,11.161507936507936
2005-06-01,9.067375886524824
2005-07-01,9.204463642908568
2005-08-01,8.919767441860465
2005-09-01,10.39430894308943
2005-10-01,9.493811881188119
2005-11-01,11.546387520525451
2005-12-01,11.810623556581984
2006-01-01,11.67579908675799
2006-02-01,8.661924119241192
2006-03-01,10.680868838763576
2006-04-01,11.837962962962962
2006-05-01,10.146825396825395
2006-06-01,10.074862096138693
2006-07-01,10.124910007199423
2006-08-01,12.884108527131783
2006-09-01,10.39430894308943
2006-10-01,11.603547854785479
2006-11-01,10.496715927750412
2006-12-01,10.82640492686682
2007-01-01,11.67579908675799
2007-02-01,10.394308943089431
2007-03-01,11.748955722639932
2007-04-01,11.837962962962962
2007-05-01,12.176190476190476
2007-06-01,11.082348305752562
2007-07-01,11.965802735781137
2007-08-01,11.893023255813953
2007-09-01,14.552032520325202
2007-10-01,12.658415841584159
2007-11-01,11.546387520525451
2007-12-01,10.82640492686682
2008-01-01,10.702815829528157
2008-02-01,9.528116531165312
2008-03-01,11.748955722639932
2008-04-01,12.914141414141413
2008-05-01,12.176190476190476
2008-06-01,12.08983451536643
2008-07-01,10.124910007199423
2008-08-01,12.884108527131783
2008-09-01,13.51260162601626
2008-10-01,11.603547854785479
2008-11-01,15.745073891625616
2008-12-01,11.810623556581984
2009-01-01,11.67579908675799
2009-02-01,10.394308943089431
2009-03-01,11.748955722639932
2009-04-01,10.761784511784512
2009-05-01,11.161507936507936
2009-06-01,11.082348305752562
2009-07-01,9.204463642908568
2009-08-01,11.893023255813953
2009-09-01,11.433739837398372
2009-10-01,12.658415841584159
2009-11-01,11.546387520525451
2009-12-01,11.810623556581984
2010-01-01,16.54071537290715
2010-02-01,12.992886178861788
2010-03-01,13.885129490392648
2010-04-01,12.914141414141413
2010-05-01,11.161507936507936
2010-06-01,11.082348305752562
2010-07-01,9.204463642908568
2010-08-01,9.910852713178294
2010-09-01,9.354878048780487
2010-10-01,10.548679867986799
2010-11-01,11.546387520525451
2010-12-01,9.842186297151654
2011-01-01,12.648782343987822
2011-02-01,10.394308943089431
2011-03-01,11.748955722639932
2011-04-01,10.761784511784512
2011-05-01,10.146825396825395
2011-06-01,11.082348305752562
2011-07-01,12.886249100071993
2011-08-01,11.893023255813953
2011-09-01,12.473170731707317
2011-10-01,13.713283828382838
2011-11-01,12.596059113300493
2011-12-01,11.810623556581984
2012-01-01,12.648782343987822
2012-02-01,12.126693766937668
2012-03-01,14.953216374269005
2012-04-01,12.914141414141413
2012-05-01,12.176190476190476
2012-06-01,12.08983451536643
2012-07-01,11.965802735781137
2012-08-01,11.893023255813953
2012-09-01,11.433739837398372
2012-10-01,11.603547854785479
2012-11-01,12.596059113300493
2012-12-01,11.810623556581984
2013-01-01,11.67579908675799
2013-02-01,11.26050135501355
2013-03-01,13.885129490392648
2013-04-01,11.837962962962962
2013-05-01,13.190873015873015
2013-06-01,13.0973207249803
2013-07-01,12.886249100071993
2013-08-01,13.875193798449612
2013-09-01,13.51260162601626
2013-10-01,12.658415841584159
2013-11-01,14.695402298850574
2013-12-01,13.779060816012315
2014-01-01,14.594748858447486
2014-02-01,12.992886178861788
2014-03-01,14.953216374269005
2014-04-01,13.990319865319865
2014-05-01,15.220238095238095
2014-06-01,16.119779353821908
2014-07-01,15.647588192944564
2014-08-01,14.866279069767442
2014-09-01,14.552032520325202
2014-10-01,14.768151815181518
2014-11-01,13.645730706075534
2014-12-01,14.76327944572748
2015-01-01,15.56773211567732
2015-02-01,14.725271002710027
