date,engagement ring
2004-01-01,31.79889807162534
2004-02-01,35.776070252469815
2004-03-01,34.267806267806264
2004-04-01,32.48803827751196
2004-05-01,35.96670450245932
2004-06-01,34.66366366366366
2004-07-01,38.50381679389313
2004-08-01,37.07183908045977
2004-09-01,39.972951471758144
2004-10-01,37.80974477958236
2004-11-01,37.83758069996602
2004-12-01,34.114009661835745
2005-01-01,35.539944903581265
2005-02-01,38.75740944017563
2005-03-01,35.37321937321937
2005-04-01,34.653907496012756
2005-05-01,32.883844116534235
2005-06-01,50.97597597597597
2005-07-01,37.51653944020356
2005-08-01,36.09626436781609
2005-09-01,36.731901352426405
2005-10-01,38.8600154679041
2005-11-01,38.76044852191641
2005-12-01,35.8634460547504
2006-01-01,32.73415977961432
2006-02-01,33.788510793999265
2006-03-01,30.95156695156695
2006-04-01,30.322169059011163
2006-05-01,30.828603859250844
2006-06-01,30.585585585585584
2006-07-01,32.58015267175573
2006-08-01,31.2183908045977
2006-09-01,32.410501193317415
2006-10-01,33.608662026295434
2006-11-01,31.37750594631328
2006-12-01,32.36457326892109
2007-01-01,29.92837465564738
2007-02-01,32.794731064763994
2007-03-01,30.95156695156695
2007-04-01,32.48803827751196
2007-05-01,29.80098373060915
2007-06-01,30.585585585585584
2007-07-01,31.592875318066156
2007-08-01,30.242816091954023
2007-09-01,32.410501193317415
2007-10-01,31.50812064965197
2007-11-01,30.45463812436289
2007-12-01,27.116264090177133
2008-01-01,27.12258953168044
2008-02-01,30.80717160629345
2008-03-01,30.95156695156695
2008-04-01,32.48803827751196
2008-05-01,32.883844116534235
2008-06-01,29.566066066066064
2008-07-01,36.529262086513995
2008-08-01,26.34051724137931
2008-09-01,28.089101034208426
2008-10-01,27.30703789636504
2008-11-01,24.917431192660548
2008-12-01,28.865700483091786
2009-01-01,27.12258953168044
2009-02-01,26.83205268935236
2009-03-01,29.846153846153843
2009-04-01,29.23923444976076
2009-05-01,27.74574347332576
2009-06-01,35.68318318318318
2009-07-01,32.58015267175573
2009-08-01,26.34051724137931
2009-09-01,31.330151153540168
2009-10-01,33.608662026295434
2009-11-01,30.45463812436289
2009-12-01,35.8634460547504
2010-01-01,34.60468319559229
2010-02-01,40.74496889864618
2010-03-01,37.58404558404558
2010-04-01,38.985645933014354
2010-05-01,35.96670450245932
2010-06-01,34.66366366366366
2010-07-01,36.529262086513995
2010-08-01,31.2183908045977
2010-09-01,29.169451073985673
2010-10-01,29.407579273008505
2010-11-01,58.14067278287461
2010-12-01,36.73816425120773
2011-01-01,43.02203856749311
2011-02-01,39.75118916941091
2011-03-01,43.11111111111111
2011-04-01,49.814992025518336
2011-05-01,102.76201286416948
2011-06-01,59.13213213213213
2011-07-01,44.42748091603053
2011-08-01,45.85201149425287
2011-09-01,45.374701670644384
2011-10-01,40.96055684454756
2011-11-01,41.52905198776758
2011-12-01,44.61062801932367
2012-01-01,43.95730027548209
2012-02-01,43.72630808635199
2012-03-01,48.63817663817663
2012-04-01,61.72727272727272
2012-05-01,46.242905788876264
2012-06-01,59.13213213213213
2012-07-01,46.40203562340967
2012-08-01,48.7787356321839
2012-09-01,48.61575178997612
2012-10-01,48.31245166279969
2012-11-01,40.60618416581719
2012-12-01,47.23478260869565
2013-01-01,46.76308539944903
2013-02-01,45.71386754482254
2013-03-01,49.74358974358974
2013-04-01,45.483253588516746
2013-05-01,45.21528566023457
2013-06-01,42.81981981981982
2013-07-01,46.40203562340967
2013-08-01,42.92528735632184
2013-09-01,49.696101829753374
2013-10-01,65.1167826759474
2013-11-01,48.911994563370705
2013-12-01,49.85893719806763
2014-01-01,47.69834710743802
