date,luxury spa
2004-01-01,22.721037222919282
2004-02-01,25.749266247379456
2004-03-01,27.571984435797663
2004-04-01,21.812664907651715
2004-05-01,28.355342136854738
2004-06-01,32.645528455284555
2004-07-01,26.79890453834116
2004-08-01,28.049959049959053
2004-09-01,25.505164319248824
2004-10-01,29.607242339832872
2004-11-01,26.208044382801667
2004-12-01,29.3302289483896
2005-01-01,32.59974905897114
2005-02-01,31.69140461215933
2005-03-01,30.635538261997404
2005-04-01,29.08355321020229
2005-05-01,28.355342136854738
2005-06-01,23.043902439024393
2005-07-01,29.571205007824727
2005-08-01,29.984438984438988
2005-09-01,26.61408450704225
2005-10-01,30.703806870937797
2005-11-01,27.30004623208507
2005-12-01,29.3302289483896
2006-01-01,33.58762024257633
2006-02-01,24.758909853249477
2006-03-01,32.6779074794639
2006-04-01,25.9674582233949
2006-05-01,29.30052020808323
2006-06-01,25.92439024390244
2006-07-01,32.3435054773083
2006-08-01,30.951678951678954
2006-09-01,27.72300469483568
2006-10-01,29.607242339832872
2006-11-01,24.02404068423486
2006-12-01,30.246798603026775
2007-01-01,30.62400669176077
2007-02-01,31.69140461215933
2007-03-01,33.69909208819715
2007-04-01,31.16094986807388
2007-05-01,29.30052020808323
2007-06-01,33.60569105691057
2007-07-01,36.039906103286384
2007-08-01,33.85339885339886
2007-09-01,29.940845070422533
2007-10-01,38.379758588672246
2007-11-01,31.66805362921868
2007-12-01,28.413659293752424
2008-01-01,34.575491426181514
2008-02-01,35.652830188679246
2008-03-01,39.82619974059662
2008-04-01,42.58663148636764
2008-05-01,41.58783513405362
2008-06-01,30.72520325203252
2008-07-01,29.571205007824727
2008-08-01,25.14823914823915
2008-09-01,26.61408450704225
2008-10-01,26.31754874651811
2008-11-01,22.932038834951456
2008-12-01,21.9976717112922
2009-01-01,27.66039314094521
2009-02-01,27.729979035639417
2009-03-01,24.508430609597923
2009-04-01,29.08355321020229
2009-05-01,25.519807923169264
2009-06-01,24.964227642276423
2009-07-01,25.874804381846637
2009-08-01,25.14823914823915
2009-09-01,26.61408450704225
2009-10-01,23.027855153203348
2009-11-01,26.208044382801667
2009-12-01,21.9976717112922
2010-01-01,26.672521957340024
2010-02-01,29.710691823899374
2010-03-01,26.550799827064417
2010-04-01,27.006156552330697
2010-05-01,25.519807923169264
2010-06-01,25.92439024390244
2010-07-01,27.72300469483568
2010-08-01,24.180999180999184
2010-09-01,24.396244131455397
2010-10-01,21.931290622098423
2010-11-01,21.840036985668053
2010-12-01,21.081102056655023
2011-01-01,27.66039314094521
2011-02-01,27.729979035639417
2011-03-01,26.550799827064417
2011-04-01,27.006156552330697
2011-05-01,26.464985994397757
2011-06-01,24.964227642276423
2011-07-01,27.72300469483568
2011-08-01,25.14823914823915
2011-09-01,22.178403755868544
2011-10-01,23.027855153203348
2011-11-01,19.65603328710125
2011-12-01,20.16453240201785
2012-01-01,26.672521957340024
2012-02-01,23.7685534591195
2012-03-01,25.52961521833117
2012-04-01,27.006156552330697
2012-05-01,24.574629851940774
2012-06-01,25.92439024390244
2012-07-01,23.10250391236307
2012-08-01,27.082719082719084
2012-09-01,23.28732394366197
2012-10-01,20.834726090993502
2012-11-01,22.932038834951456
2012-12-01,20.16453240201785
2013-01-01,27.66039314094521
2013-02-01,23.7685534591195
2013-03-01,24.508430609597923
2013-04-01,24.928759894459105
2013-05-01,24.574629851940774
2013-06-01,24.964227642276423
2013-07-01,25.874804381846637
2013-08-01,28.049959049959053
2013-09-01,24.396244131455397
2013-10-01,25.22098421541319
2013-11-01,36.03606102635229
2013-12-01,38.49592549476135
2014-01-01,28.648264324550397
2014-02-01,27.729979035639417
2014-03-01,26.550799827064417
2014-04-01,27.006156552330697
2014-05-01,27.410164065626248
2014-06-01,27.844715447154474
2014-07-01,25.874804381846637
2014-08-01,29.984438984438988
2014-09-01,25.505164319248824
2014-10-01,28.51067780872795
2014-11-01,32.76005547850208
2014-12-01,46.74505238649593
2015-01-01,27.66039314094521
2015-02-01,28.720335429769396
2015-03-01,30.635538261997404
2015-04-01,25.9674582233949
2015-05-01,29.30052020808323
2015-06-01,26.884552845528457
2015-07-01,29.571205007824727
2015-08-01,30.951678951678954
2015-09-01,28.831924882629107
2015-10-01,26.31754874651811
2015-11-01,25.11604253351826
2015-12-01,25.6639503298409
2016-01-01,33.58762024257633
2016-02-01,32.681761006289314
2016-03-01,32.6779074794639
2016-04-01,36.354441512752864
2016-05-01,34.971588635454175
2016-06-01,36.486178861788616
2016-07-01,32.3435054773083
2016-08-01,35.78787878787879
2016-09-01,37.70328638497652
2016-10-01,38.379758588672246
2016-11-01,36.03606102635229
2016-12-01,34.82964687621265
2017-01-01,40.50271852781263
2017-02-01,42.5853249475891
2017-03-01,42.889753566796365
2017-04-01,47.78012313104662
2017-05-01,45.36854741896758
2017-06-01,41.2869918699187
2017-07-01,41.58450704225352
2017-08-01,39.65683865683866
2017-09-01,44.35680751173709
2017-10-01,43.862581244196846
2017-11-01,36.03606102635229
2017-12-01,35.74621653084982
2018-01-01,39.514847344207446
2018-02-01,37.633542976939204
2018-03-01,38.80501513186338
