date,fine jewelry
2004-01-01,61.60894097222222
2004-02-01,58.00099700897307
2004-03-01,60.670503738685554
2004-04-01,65.08010997345468
2004-05-01,59.171573875803
2004-06-01,56.971082779009606
2004-07-01,65.33021390374331
2004-08-01,65.31929824561404
2004-09-01,65.9048579109063
2004-10-01,67.36285117691725
2004-11-01,62.323997551270274
2004-12-01,69.75419664268586
2005-01-01,64.63888888888889
2005-02-01,59.934363575938846
2005-03-01,62.959956709956714
2005-04-01,59.56484641638225
2005-05-01,55.01918272662384
2005-06-01,63.420639320029565
2005-07-01,59.10828877005347
2005-08-01,60.21622807017544
2005-09-01,54.734543010752695
2005-10-01,56.31976082004556
2005-11-01,59.65296908478726
2005-12-01,57.895983213429254
2006-01-01,57.569010416666664
2006-02-01,57.034313725490186
2006-03-01,50.36796536796537
2006-04-01,51.843477436480846
2006-05-01,56.05728051391863
2006-06-01,53.746304508499634
2006-07-01,51.84937611408199
2006-08-01,50.01008771929825
2006-09-01,52.50048003072197
2006-10-01,58.5283788914199
2006-11-01,56.98194061830425
2006-12-01,53.71073141486811
2007-01-01,50.49913194444444
2007-02-01,48.33416417414423
2007-03-01,49.223238882329795
2007-04-01,49.63737201365188
2007-05-01,48.790596002855104
2007-06-01,50.521526237989654
2007-07-01,50.81238859180035
2007-08-01,48.98947368421052
2007-09-01,46.91532258064517
2007-10-01,51.90252467729689
2007-11-01,46.2978267523722
2007-12-01,43.94514388489208
2008-01-01,46.459201388888886
2008-02-01,43.50074775672981
2008-03-01,45.78905942542306
2008-04-01,44.12210845657945
2008-05-01,42.56200927908637
2008-06-01,41.92211751662971
2008-07-01,45.627450980392155
2008-08-01,39.803947368421056
2008-09-01,42.44719662058372
2008-10-01,44.17236142748671
2008-11-01,44.5171411080502
2008-12-01,40.45743405275779
2009-01-01,40.39930555555556
2009-02-01,40.600697906281155
2009-03-01,40.06542699724518
2009-04-01,40.812950322335986
2009-05-01,38.40961812990721
2009-06-01,41.92211751662971
2009-07-01,38.368538324420676
2009-08-01,39.803947368421056
2009-09-01,41.33016513056836
2009-10-01,39.75512528473804
2009-11-01,36.50405570860116
2009-12-01,34.87709832134293
2010-01-01,37.369357638888886
2010-02-01,35.76728148886673
2010-03-01,38.9207005116096
2010-04-01,37.503792188092525
2010-05-01,39.447715917202
2010-06-01,35.47256097560976
2010-07-01,32.14661319073083
2010-08-01,33.680263157894736
2010-09-01,34.62797619047619
2010-10-01,30.9206529992407
2010-11-01,35.613712886440155
2010-12-01,34.87709832134293
2011-01-01,40.39930555555556
2011-02-01,40.600697906281155
2011-03-01,38.9207005116096
2011-04-01,41.91600303375047
2011-05-01,43.600107066381156
