date,painting for sale
2004-01-01,49.45987654320987
2004-02-01,48.21196581196581
2004-03-01,34.167841409691626
2004-04-01,42.257705479452056
2004-05-01,38.04126567512394
2004-06-01,46.37517492303387
2004-07-01,30.05789328932893
2004-08-01,30.1067463706234
2004-09-01,36.43927648578811
2004-10-01,34.53385191587438
2004-11-01,39.81969696969697
2004-12-01,36.35549052396878
2005-01-01,44.513888888888886
2005-02-01,32.14131054131054
2005-03-01,30.02628487518355
2005-04-01,42.257705479452056
2005-05-01,34.956838728492265
2005-06-01,30.58788133221383
2005-07-01,31.027502750275026
2005-08-01,36.12809564474808
2005-09-01,41.500287108814234
2005-10-01,34.53385191587438
2005-11-01,37.877272727272725
2005-12-01,37.33807134894091
2006-01-01,39.5679012345679
2006-02-01,26.114814814814814
2006-03-01,38.3093979441997
2006-04-01,30.184075342465754
2006-05-01,33.928696412948376
2006-06-01,31.57458718164008
2006-07-01,29.08828382838284
2006-08-01,25.088955308852835
2006-09-01,29.353861613551533
2006-10-01,33.5181503889369
2006-11-01,31.078787878787878
2006-12-01,32.42516722408026
2007-01-01,24.729938271604937
2007-02-01,28.123646723646722
2007-03-01,33.132452276064605
2007-04-01,31.19021118721461
2007-05-01,30.844269466316707
2007-06-01,30.58788133221383
2007-07-01,33.93633113311331
2007-08-01,30.1067463706234
2007-09-01,36.43927648578811
2007-10-01,35.54955344281186
2007-11-01,30.107575757575756
2007-12-01,32.42516722408026
2008-01-01,31.65432098765432
2008-02-01,31.136894586894584
2008-03-01,32.097063142437584
2008-04-01,34.208618721461185
2008-05-01,28.787984835228926
2008-06-01,33.547998880492585
2008-07-01,33.93633113311331
2008-08-01,30.1067463706234
2008-09-01,33.402670111972434
2008-10-01,34.53385191587438
2008-11-01,32.05
2008-12-01,40.285813823857296
2009-01-01,31.65432098765432
2009-02-01,36.158974358974355
2009-03-01,40.38017621145374
2009-04-01,35.21475456621005
2009-05-01,42.1538349372995
2009-06-01,38.48152812762385
2009-07-01,46.541254125412536
2009-08-01,43.153003131226875
2009-09-01,45.54909560723514
2009-10-01,42.659464131374236
2009-11-01,48.56060606060606
2009-12-01,44.21613712374581
2010-01-01,51.43827160493827
2010-02-01,48.21196581196581
2010-03-01,47.62790014684287
2010-04-01,47.28838470319634
2010-05-01,47.29454651501895
2010-06-01,44.401763224181366
2010-07-01,47.51086358635863
2010-08-01,42.14944491887276
2010-09-01,39.475882859603786
2010-10-01,41.64376260443675
2010-11-01,37.877272727272725
2010-12-01,44.21613712374581
2011-01-01,51.43827160493827
2011-02-01,51.22521367521367
2011-03-01,46.59251101321585
2011-04-01,49.300656392694066
2011-05-01,48.32268883056284
2011-06-01,48.34858662188637
2011-07-01,49.45008250825082
2011-08-01,53.18858525476801
2011-09-01,53.64671260407694
2011-10-01,51.800777873811576
2011-11-01,50.5030303030303
2011-12-01,53.059364548494976
2012-01-01,51.43827160493827
2012-02-01,62.27378917378917
2012-03-01,52.804845814977966
2012-04-01,53.3251997716895
2012-05-01,53.46340040828229
2012-06-01,53.28211586901764
2012-07-01,59.146177117711765
2012-08-01,59.20993452889269
2012-09-01,52.634510479471714
2012-10-01,65.00489772399884
2012-11-01,45.6469696969697
2012-12-01,53.059364548494976
2013-01-01,54.40586419753086
2013-02-01,53.23404558404558
2013-03-01,60.0525697503671
2013-04-01,54.33133561643835
2013-05-01,59.632254301545636
2013-06-01,56.24223341729639
2013-07-01,58.17656765676568
2013-08-01,65.23128380301736
2013-09-01,55.671116853287394
2013-10-01,51.800777873811576
2013-11-01,54.38787878787879
2013-12-01,58.954849498327754
2014-01-01,57.373456790123456
2014-02-01,55.24287749287749
2014-03-01,59.01718061674008
2014-04-01,63.38655821917808
2014-05-01,56.54782735491396
2014-06-01,59.20235096557515
2014-07-01,58.17656765676568
2014-08-01,64.22772559066325
2014-09-01,54.65891472868216
2014-10-01,56.87928550849898
2014-11-01,58.27272727272727
2014-12-01,54.04194537346711
2015-01-01,55.395061728395056
2015-02-01,55.24287749287749
2015-03-01,62.12334801762113
2015-04-01,59.362014840182646
2015-05-01,62.7166812481773
2015-06-01,54.26882171844389
2015-07-01,60.11578657865786
2015-08-01,60.2134927412468
2015-09-01,62.75653172552397
2015-10-01,74.14621146643617
2015-11-01,79.63939393939394
2015-12-01,58.954849498327754
