date,private club
2004-01-01,56.232603092783506
2004-02-01,56.99328295549959
2004-03-01,63.66717171717172
2004-04-01,52.321942446043174
2004-05-01,55.03076463560335
2004-06-01,57.28625134264232
2004-07-01,53.07326977401131
2004-08-01,52.65945892575039
2004-09-01,60.397981099656356
2004-10-01,51.484533702677744
2004-11-01,51.9482142857143
2004-12-01,48.666083099906636
2005-01-01,57.27394759450171
2005-02-01,54.95780856423174
2005-03-01,58.76969696969697
2005-04-01,55.2287170263789
2005-05-01,43.44534050179212
2005-06-01,57.28625134264232
2005-07-01,53.9292902542373
2005-08-01,54.57434834123223
2005-09-01,51.025880584192436
2005-10-01,50.36530470914128
2005-11-01,46.176190476190484
2005-12-01,45.270774976657336
2006-01-01,52.06722508591065
2006-02-01,39.691750629722925
2006-03-01,47.015757575757576
2006-04-01,49.41516786570744
2006-05-01,52.13440860215054
2006-06-01,46.002595775152166
2006-07-01,44.51306497175142
2006-08-01,45.95734597156398
2006-09-01,46.860502577319586
2006-10-01,47.007617728531855
2006-11-01,41.55857142857144
2006-12-01,43.00723622782447
2007-01-01,41.65378006872852
2007-02-01,44.78043660789253
2007-03-01,38.20030303030303
2007-04-01,43.601618705035975
2007-05-01,45.37624452409399
2007-06-01,46.002595775152166
2007-07-01,43.65704449152543
2007-08-01,41.1701224328594
2007-09-01,41.65378006872852
2007-10-01,44.76915974145891
2007-11-01,41.55857142857144
2007-12-01,39.61192810457517
2008-01-01,39.571091065292094
2008-02-01,39.691750629722925
2008-03-01,43.09777777777778
2008-04-01,42.63269384492406
2008-05-01,41.51443647949024
2008-06-01,39.058807733619766
2008-07-01,36.80888064971752
2008-08-01,39.25523301737757
2008-09-01,39.571091065292094
2008-10-01,36.9345567867036
2008-11-01,36.94095238095239
2008-12-01,35.084850606909434
2009-01-01,36.44705756013746
2009-02-01,33.5853274559194
2009-03-01,39.17979797979798
2009-04-01,36.8191446842526
2009-05-01,35.72172441258463
2009-06-01,37.322860723236666
2009-07-01,35.95286016949153
2009-08-01,38.29778830963665
2009-09-01,36.44705756013746
