date,modern art
2004-01-01,66.59708849151765
2004-02-01,57.454304788213626
2004-03-01,59.29710144927537
2004-04-01,63.783127005960566
2004-05-01,65.2268115942029
2004-06-01,68.08006001091107
2004-07-01,58.57631010264721
2004-08-01,58.22605363984675
2004-09-01,62.656967840735064
2004-10-01,65.19081942336874
2004-11-01,85.59229885057472
2004-12-01,93.66987179487178
2005-01-01,71.28702430077946
2005-02-01,68.75679097605894
2005-03-01,68.86115007012623
2005-04-01,64.72111416781293
2005-05-01,65.2268115942029
2005-06-01,65.84792689579923
2005-07-01,66.3128038897893
2005-08-01,62.70498084291188
2005-09-01,61.612685043389476
2005-10-01,63.12126960040465
2005-11-01,62.07793103448276
2005-12-01,59.94871794871794
2006-01-01,56.27922971114168
2006-02-01,57.454304788213626
2006-03-01,56.427886863020106
2006-04-01,50.65130674002751
2006-05-01,49.41425120772947
2006-06-01,51.33906164757229
2006-07-01,49.734602917341974
2006-08-01,51.50766283524904
2006-09-01,50.125574272588054
2006-10-01,50.70397066262013
2006-11-01,49.850459770114945
2006-12-01,48.70833333333333
2007-01-01,46.899358092618066
2007-02-01,44.26807090239411
2007-03-01,44.95102851799907
2007-04-01,43.14740944520862
2007-05-01,43.48454106280193
2007-06-01,45.75872885979269
2007-07-01,45.313749324689354
2007-08-01,49.26819923371647
2007-09-01,46.9927258805513
2007-10-01,45.530096105209914
2007-11-01,47.02873563218391
2007-12-01,44.96153846153845
2008-01-01,41.2714351215039
2008-02-01,41.442449355432785
2008-03-01,40.169004207573636
2008-04-01,38.45747363594681
2008-05-01,39.531400966183575
2008-06-01,40.17839607201309
2008-07-01,43.10332252836304
2008-08-01,41.43007662835249
2008-09-01,42.81559469116896
2008-10-01,39.32144663631765
2008-11-01,42.32586206896552
2008-12-01,40.27804487179487
2009-01-01,34.70552498853737
2009-02-01,34.84933241252302
2009-03-01,36.34338475923329
2009-04-01,36.581499312242094
2009-05-01,35.57826086956522
2009-06-01,36.83019639934533
2009-07-01,36.472042139384115
2009-08-01,36.951149425287355
2009-09-01,35.50561510974987
2009-10-01,36.21712190187152
2009-11-01,34.801264367816096
2009-12-01,34.65785256410256
2010-01-01,34.70552498853737
2010-02-01,34.84933241252302
2010-03-01,32.51776531089294
2010-04-01,35.64351215038973
2010-05-01,36.566545893719805
2010-06-01,31.249863611565736
2010-07-01,29.840761750405182
2010-08-01,29.113026819923373
2010-09-01,29.239918325676364
2010-10-01,27.938922610015172
2010-11-01,26.33609195402299
2010-12-01,26.2275641025641
2011-01-01,24.387666208161395
2011-02-01,28.25621546961326
2011-03-01,25.822931276297336
2011-04-01,26.263640531866116
2011-05-01,28.660265700483095
2011-06-01,30.13379705400982
2011-07-01,27.630334954078872
2011-08-01,31.35249042145594
2011-09-01,28.19563552833078
2011-10-01,27.938922610015172
2011-11-01,26.33609195402299
2011-12-01,26.2275641025641
2012-01-01,24.387666208161395
2012-02-01,25.430593922651934
2012-03-01,24.866526414212252
2012-04-01,25.325653370013754
2012-05-01,24.707125603864736
2012-06-01,24.553464266230222
2012-07-01,26.525121555915717
2012-08-01,24.634099616858236
2012-09-01,24.01850433894844
2012-10-01,24.834597875569045
2012-11-01,22.573793103448278
2012-12-01,23.417467948717945
2013-01-01,22.51169188445667
2013-02-01,21.6630985267035
2013-03-01,23.910121552127166
2013-04-01,22.51169188445667
2013-05-01,23.718840579710147
