date,Louis Vuitton
2004-01-01,45.34244423499843
2004-02-01,41.39962299717248
2004-03-01,43.576388888888886
2004-04-01,38.18458417849898
2004-05-01,38.472087770248464
2004-06-01,39.583333333333336
2004-07-01,38.32369013179043
2004-08-01,37.31417244796828
2004-09-01,34.019762154599505
2004-10-01,30.82456140350877
2004-11-01,29.44671510747805
2004-12-01,30.513007537077556
2005-01-01,28.585453974238142
2005-02-01,36.47109644989004
2005-03-01,32.94800135501355
2005-04-01,30.759803921568626
2005-05-01,29.360277508873832
2005-06-01,29.166666666666668
2005-07-01,28.238508518161368
2005-08-01,29.02213412619755
2005-09-01,26.33788037775446
2005-10-01,25.32017543859649
2005-11-01,24.697244928852555
2005-12-01,24.410406029662045
2006-01-01,22.671222117499216
2006-02-01,20.69981149858624
2006-03-01,21.256775067750677
2006-04-01,23.335023664638268
2006-05-01,23.285737334624073
2006-06-01,20.833333333333336
2006-07-01,23.195917711346837
2006-08-01,22.803105384869504
2006-09-01,20.85082196572228
2006-10-01,20.916666666666668
2006-11-01,21.84756282167726
2006-12-01,22.12193046438123
2007-01-01,21.685516808042728
2007-02-01,20.69981149858624
2007-03-01,23.382452574525743
2007-04-01,23.335023664638268
2007-05-01,23.285737334624073
2007-06-01,20.833333333333336
2007-07-01,20.170363227258118
2007-08-01,22.803105384869504
2007-09-01,21.948233648128713
2007-10-01,23.11842105263158
2007-11-01,21.84756282167726
2007-12-01,22.884755652808167
2008-01-01,21.685516808042728
2008-02-01,20.69981149858624
2008-03-01,23.382452574525743
2008-04-01,22.274340770791074
2008-05-01,23.285737334624073
2008-06-01,25.0
2008-07-01,24.204435872709745
2008-08-01,23.839610175090847
2008-09-01,27.435292060160894
2008-10-01,27.521929824561404
2008-11-01,26.597033000302755
2008-12-01,26.69888159494286
2009-01-01,26.614043355325165
2009-02-01,26.614043355325165
2009-03-01,27.633807588075882
2009-04-01,28.638438133874235
2009-05-01,28.34785414649887
2009-06-01,29.166666666666668
2009-07-01,35.298135647701706
2009-08-01,33.168153287082916
2009-09-01,32.922350472193074
2009-10-01,36.328947368421055
2009-11-01,34.19618528610354
2009-12-01,33.56430829078531
2010-01-01,34.499685830977064
2010-02-01,35.485391140433556
2010-03-01,36.13651761517615
2010-04-01,36.06321839080459
2010-05-01,36.44724104549855
2010-06-01,38.54166666666667
2010-07-01,36.30665380906461
2010-08-01,36.27766765774694
2010-09-01,39.50682056663169
2010-10-01,37.42982456140351
2010-11-01,39.89554950045413
2010-12-01,37.37843423292001
2011-01-01,44.35673892554194
2011-02-01,47.31385485391141
2011-03-01,46.764905149051486
2011-04-01,47.73073022312373
2011-05-01,45.55905130687319
2011-06-01,46.875
2011-07-01,47.40035358405658
2011-08-01,46.64271555996035
