date,Gucci bag
2004-01-01,11.51896633475581
2004-02-01,9.533093525179854
2004-03-01,10.794232649071358
2004-04-01,8.58503401360544
2004-05-01,9.026566757493187
2004-06-01,12.218533886583678
2004-07-01,12.967705510388436
2004-08-01,14.041326067211624
2004-09-01,12.512747875354107
2004-10-01,10.715672003881611
2004-11-01,11.296675191815856
2004-12-01,14.509508990318118
2005-01-01,13.613323850165955
2005-02-01,14.82925659472422
2005-03-01,16.191348973607038
2005-04-01,13.95068027210884
2005-05-01,14.041326067211624
2005-06-01,15.273167358229598
2005-07-01,15.960252935862691
2005-08-01,14.041326067211624
2005-09-01,14.598205854579792
2005-10-01,12.858806404657933
2005-11-01,12.238064791133844
2005-12-01,15.273167358229598
2006-01-01,13.613323850165955
2006-02-01,13.770023980815346
2006-03-01,15.111925708699902
2006-04-01,13.95068027210884
2006-05-01,15.044277929155312
2006-06-01,15.273167358229598
2006-07-01,14.962737127371273
2006-08-01,16.047229791099
2006-09-01,16.683663833805475
2006-10-01,13.930373605046094
2006-11-01,13.179454390451832
2006-12-01,13.745850622406639
2007-01-01,14.66050260787103
2007-02-01,14.82925659472422
2007-03-01,14.032502443792765
2007-04-01,15.023809523809522
2007-05-01,15.044277929155312
2007-06-01,13.236745043798985
2007-07-01,13.965221318879856
2007-08-01,15.044277929155312
2007-09-01,15.640934844192634
2007-10-01,13.930373605046094
2007-11-01,15.062233589087809
2007-12-01,13.745850622406639
2008-01-01,14.66050260787103
2008-02-01,14.82925659472422
2008-03-01,14.032502443792765
2008-04-01,13.95068027210884
2008-05-01,15.044277929155312
2008-06-01,16.291378515444904
2008-07-01,14.962737127371273
2008-08-01,15.044277929155312
2008-09-01,15.640934844192634
2008-10-01,15.001940805434256
2008-11-01,16.003623188405797
2008-12-01,15.273167358229598
2009-01-01,15.707681365576104
2009-02-01,16.947721822541965
2009-03-01,16.191348973607038
2009-04-01,17.17006802721088
2009-05-01,15.044277929155312
2009-06-01,17.30958967266021
2009-07-01,15.960252935862691
2009-08-01,17.050181653042685
2009-09-01,15.640934844192634
2009-10-01,15.001940805434256
2009-11-01,16.003623188405797
2009-12-01,16.03682572614108
2010-01-01,15.707681365576104
2010-02-01,15.888489208633093
2010-03-01,15.111925708699902
2010-04-01,15.023809523809522
2010-05-01,14.041326067211624
2010-06-01,15.273167358229598
2010-07-01,13.965221318879856
2010-08-01,14.041326067211624
2010-09-01,13.555476864966948
2010-10-01,13.930373605046094
2010-11-01,14.12084398976982
2010-12-01,12.982192254495159
2011-01-01,16.754860123281176
2011-02-01,15.888489208633093
2011-03-01,15.111925708699902
2011-04-01,15.023809523809522
2011-05-01,14.041326067211624
2011-06-01,14.254956201014291
2011-07-01,13.965221318879856
2011-08-01,13.038374205267937
2011-09-01,14.598205854579792
2011-10-01,13.930373605046094
2011-11-01,13.179454390451832
2011-12-01,14.509508990318118
2012-01-01,14.66050260787103
2012-02-01,15.888489208633093
2012-03-01,16.191348973607038
2012-04-01,15.023809523809522
2012-05-01,15.044277929155312
2012-06-01,15.273167358229598
2012-07-01,13.965221318879856
2012-08-01,14.041326067211624
2012-09-01,14.598205854579792
2012-10-01,12.858806404657933
2012-11-01,14.12084398976982
2012-12-01,12.982192254495159
2013-01-01,13.613323850165955
2013-02-01,14.82925659472422
2013-03-01,15.111925708699902
2013-04-01,13.95068027210884
2013-05-01,13.038374205267937
2013-06-01,14.254956201014291
2013-07-01,12.967705510388436
2013-08-01,14.041326067211624
2013-09-01,13.555476864966948
2013-10-01,11.787239204269772
2013-11-01,13.179454390451832
2013-12-01,12.982192254495159
2014-01-01,13.613323850165955
2014-02-01,12.710791366906474
2014-03-01,14.032502443792765
2014-04-01,12.877551020408161
2014-05-01,14.041326067211624
2014-06-01,14.254956201014291
2014-07-01,13.965221318879856
2014-08-01,13.038374205267937
2014-09-01,13.555476864966948
2014-10-01,12.858806404657933
2014-11-01,11.296675191815856
2014-12-01,12.218533886583678
2015-01-01,13.613323850165955
2015-02-01,13.770023980815346
2015-03-01,12.95307917888563
2015-04-01,12.877551020408161
2015-05-01,14.041326067211624
2015-06-01,14.254956201014291
2015-07-01,13.965221318879856
2015-08-01,14.041326067211624
2015-09-01,12.512747875354107
2015-10-01,13.930373605046094
2015-11-01,14.12084398976982
2015-12-01,14.509508990318118
2016-01-01,17.80203888098625
2016-02-01,18.006954436450837
2016-03-01,18.350195503421308
2016-04-01,19.31632653061224
2016-05-01,20.05903723887375
2016-06-01,20.36422314430613
2016-07-01,19.950316169828362
2016-08-01,21.061989100817435
2016-09-01,22.94003777148253
2016-10-01,22.50291120815138
2016-11-01,21.651960784313726
2016-12-01,20.618775933609957
2017-01-01,23.03793266951162
2017-02-01,24.362350119904075
2017-03-01,25.90615835777126
2017-04-01,30.047619047619044
2017-05-01,30.088555858310624
2017-06-01,29.528123559243888
2017-07-01,32.9180216802168
2017-08-01,42.12397820163487
2017-09-01,51.093720491029266
2017-10-01,54.64992721979622
2017-11-01,52.71781756180733
2017-12-01,49.637793914246195
2018-01-01,55.500474158368895
2018-02-01,57.19856115107913
2018-03-01,61.52712609970674
2018-04-01,63.31462585034012
2018-05-01,60.17711171662125
2018-06-01,61.09266943291839
2018-07-01,59.85094850948509
2018-08-01,59.17415985467756
2018-09-01,57.35009442870632
2018-10-01,60.00776322173702
