date,Hermes bag
2004-01-01,17.728599221789885
2004-02-01,18.866459627329196
2004-03-01,12.762605042016807
2004-04-01,16.15691489361702
2004-05-01,18.944906444906444
2004-06-01,15.787422037422036
2004-07-01,10.983727810650887
2004-08-01,17.064606741573034
2004-09-01,12.551652892561984
2004-10-01,13.058035714285712
2004-11-01,13.897058823529411
2004-12-01,13.639064976228209
2005-01-01,11.819066147859923
2005-02-01,11.529503105590063
2005-03-01,12.762605042016807
2005-04-01,9.694148936170214
2005-05-01,7.367463617463617
2005-06-01,13.682432432432432
2005-07-01,8.986686390532544
2005-08-01,12.32443820224719
2005-09-01,12.551652892561984
2005-10-01,35.15624999999999
2005-11-01,10.919117647058822
2005-12-01,8.82527733755943
2006-01-01,11.819066147859923
2006-02-01,11.529503105590063
2006-03-01,10.635504201680671
2006-04-01,9.694148936170214
2006-05-01,9.472453222453222
2006-06-01,8.41995841995842
2006-07-01,10.983727810650887
2006-08-01,10.428370786516853
2006-09-01,14.643595041322314
2006-10-01,11.049107142857142
2006-11-01,8.933823529411764
2006-12-01,8.82527733755943
2007-01-01,8.864299610894943
2007-02-01,10.481366459627331
2007-03-01,8.508403361344538
2007-04-01,8.617021276595745
2007-05-01,8.41995841995842
2007-06-01,10.524948024948024
2007-07-01,11.982248520710058
2007-08-01,9.480337078651685
2007-09-01,11.505681818181818
2007-10-01,12.053571428571427
2007-11-01,7.941176470588235
2007-12-01,10.42987321711569
2008-01-01,9.84922178988327
2008-02-01,11.529503105590063
2008-03-01,10.635504201680671
2008-04-01,10.77127659574468
2008-05-01,10.524948024948024
2008-06-01,10.524948024948024
2008-07-01,7.988165680473372
2008-08-01,9.480337078651685
2008-09-01,11.505681818181818
2008-10-01,9.04017857142857
2008-11-01,7.941176470588235
2008-12-01,8.82527733755943
2009-01-01,8.864299610894943
2009-02-01,8.385093167701864
2009-03-01,10.635504201680671
2009-04-01,10.77127659574468
2009-05-01,12.62993762993763
2009-06-01,9.472453222453222
2009-07-01,8.986686390532544
2009-08-01,9.480337078651685
2009-09-01,9.413739669421489
2009-10-01,9.04017857142857
2009-11-01,10.919117647058822
2009-12-01,8.82527733755943
2010-01-01,11.819066147859923
2010-02-01,11.529503105590063
2010-03-01,11.69905462184874
2010-04-01,15.079787234042554
2010-05-01,15.787422037422036
2010-06-01,12.62993762993763
2010-07-01,12.98076923076923
2010-08-01,11.376404494382022
2010-09-01,11.505681818181818
2010-10-01,14.062499999999998
2010-11-01,12.90441176470588
2010-12-01,14.441362916006339
2011-01-01,14.773832684824903
2011-02-01,18.866459627329196
2011-03-01,15.953256302521009
2011-04-01,15.079787234042554
2011-05-01,16.83991683991684
2011-06-01,15.787422037422036
2011-07-01,20.968934911242602
2011-08-01,22.752808988764045
2011-09-01,18.827479338842977
