date,wedding dress
2004-01-01,21.699346405228756
2004-02-01,20.524233432245303
2004-03-01,19.643746885899354
2004-04-01,24.634703196347033
2004-05-01,20.500429553264603
2004-06-01,20.229805013927578
2004-07-01,20.07475813544415
2004-08-01,18.795289855072465
2004-09-01,18.66714015151515
2004-10-01,19.00763358778626
2004-11-01,21.28205128205128
2004-12-01,20.88050314465409
2005-01-01,24.41176470588235
2005-02-01,23.6028684470821
2005-03-01,21.71150971599402
2005-04-01,18.949771689497716
2005-05-01,17.826460481099655
2005-06-01,20.229805013927578
2005-07-01,20.9872471416007
2005-08-01,19.735054347826086
2005-09-01,19.64962121212121
2005-10-01,20.06361323155216
2005-11-01,21.28205128205128
2005-12-01,19.57547169811321
2006-01-01,19.89106753812636
2006-02-01,20.524233432245303
2006-03-01,19.643746885899354
2006-04-01,17.054794520547944
2006-05-01,16.93513745704467
2006-06-01,19.26648096564531
2006-07-01,18.249780123131046
2006-08-01,17.85552536231884
2006-09-01,16.70217803030303
2006-10-01,19.00763358778626
2006-11-01,20.099715099715098
2006-12-01,20.88050314465409
2007-01-01,18.986928104575163
2007-02-01,19.498021760633037
2007-03-01,19.643746885899354
2007-04-01,18.949771689497716
2007-05-01,16.93513745704467
2007-06-01,22.15645311049211
2007-07-01,23.72471416007036
2007-08-01,20.67481884057971
2007-09-01,19.64962121212121
2007-10-01,21.119592875318066
2007-11-01,20.099715099715098
2007-12-01,20.88050314465409
2008-01-01,22.603485838779953
2008-02-01,24.62908011869436
2008-03-01,22.745391131041355
2008-04-01,20.84474885844749
2008-05-01,21.391752577319586
2008-06-01,26.00974930362117
2008-07-01,23.72471416007036
2008-08-01,23.49411231884058
2008-09-01,21.614583333333332
2008-10-01,25.343511450381676
2008-11-01,24.829059829059826
2008-12-01,24.79559748427673
2009-01-01,25.31590413943355
2009-02-01,25.655291790306627
2009-03-01,25.847035376183356
2009-04-01,22.73972602739726
2009-05-01,23.174398625429554
2009-06-01,26.973073351903437
2009-07-01,24.63720316622691
2009-08-01,24.433876811594203
2009-09-01,24.562026515151516
2009-10-01,30.623409669211195
2009-11-01,36.65242165242165
2009-12-01,35.235849056603776
2010-01-01,30.740740740740737
