date,Christian Louboutin
2004-01-01,1.866146848602989
2004-02-01,0.9422572178477691
2004-03-01,1.0249821556031407
2004-04-01,2.0676745860331174
2004-05-01,2.0543633762517883
2004-06-01,2.2109314857582754
2004-07-01,2.136904761904762
2004-08-01,2.221191028615623
2004-09-01,2.136904761904762
2004-10-01,1.0732436472346787
2004-11-01,1.877124183006536
2004-12-01,1.5668303327877795
2005-01-01,1.866146848602989
2005-02-01,1.8845144356955381
2005-03-01,3.074946466809422
2005-04-01,3.101511879049676
2005-05-01,3.0815450643776825
2005-06-01,2.2109314857582754
2005-07-01,3.205357142857143
2005-08-01,3.3317865429234343
2005-09-01,4.273809523809524
2005-10-01,3.219730941704036
2005-11-01,2.8156862745098037
2005-12-01,3.133660665575559
2006-01-01,3.732293697205978
2006-02-01,4.711286089238845
2006-03-01,6.149892933618844
2006-04-01,6.203023758099352
2006-05-01,8.217453505007153
2006-06-01,7.738260200153964
2006-07-01,7.479166666666666
2006-08-01,8.884764114462492
2006-09-01,7.479166666666666
2006-10-01,6.439461883408072
2006-11-01,4.69281045751634
2006-12-01,5.4839061647572285
2007-01-01,6.531513970110462
2007-02-01,6.595800524934384
2007-03-01,6.149892933618844
2007-04-01,6.203023758099352
2007-05-01,6.163090128755365
2007-06-01,7.738260200153964
2007-07-01,8.547619047619047
2007-08-01,11.105955143078114
2007-09-01,9.616071428571429
2007-10-01,9.659192825112108
2007-11-01,8.447058823529412
2007-12-01,9.400981996726678
2008-01-01,17.728395061728396
2008-02-01,12.249343832020998
2008-03-01,12.299785867237688
2008-04-01,12.406047516198704
2008-05-01,13.353361945636625
2008-06-01,13.265588914549653
2008-07-01,12.821428571428571
2008-08-01,13.327146171693737
2008-09-01,14.958333333333332
2008-10-01,18.24514200298954
2008-11-01,15.016993464052288
2008-12-01,14.884888161483905
2009-01-01,15.862248213125406
2009-02-01,15.076115485564305
2009-03-01,15.37473233404711
2009-04-01,19.642908567314613
2009-05-01,19.51645207439199
2009-06-01,23.214780600461893
2009-07-01,21.36904761904762
2009-08-01,25.543696829079664
2009-09-01,28.848214285714285
2009-10-01,27.904334828101646
2009-11-01,28.15686274509804
2009-12-01,23.50245499181669
2010-01-01,25.192982456140353
2010-02-01,25.440944881889763
2010-03-01,24.599571734475376
2010-04-01,25.84593232541397
