date,Glassdoor
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,0.0
2007-07-01,0.0
2007-08-01,0.0
2007-09-01,0.0
2007-10-01,0.0
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,0.0
2008-02-01,0.0
2008-03-01,0.0
2008-04-01,0.0
2008-05-01,0.0
2008-06-01,1.8878453038674035
2008-07-01,0.0
2008-08-01,0.944966814159292
2008-09-01,0.9852941176470589
2008-10-01,0.9774027459954233
2008-11-01,1.107976653696498
2008-12-01,1.2380434782608696
2009-01-01,0.9967911318553092
2009-02-01,0.9481132075471698
2009-03-01,0.9652542372881355
2009-04-01,0.9944703143189755
2009-05-01,1.0061837455830387
2009-06-01,0.9439226519337017
2009-07-01,0.9609111361079865
2009-08-01,0.944966814159292
2009-09-01,0.9852941176470589
2009-10-01,1.9548054919908466
2009-11-01,2.215953307392996
2009-12-01,2.476086956521739
2010-01-01,2.9903733955659275
2010-02-01,2.844339622641509
2010-03-01,3.861016949152542
2010-04-01,2.9834109429569264
2010-05-01,4.024734982332155
2010-06-01,4.719613259668509
2010-07-01,3.843644544431946
2010-08-01,4.72483407079646
2010-09-01,5.911764705882353
2010-10-01,6.841819221967963
2010-11-01,6.647859922178988
2010-12-01,7.428260869565218
2011-01-01,7.974329054842474
2011-02-01,9.481132075471697
2011-03-01,9.652542372881355
2011-04-01,11.933643771827706
2011-05-01,11.068021201413426
2011-06-01,11.32707182320442
2011-07-01,11.530933633295838
2011-08-01,14.17450221238938
2011-09-01,15.764705882352942
2011-10-01,16.615846681922196
2011-11-01,17.727626459143966
2011-12-01,18.570652173913043
2012-01-01,20.93261376896149
2012-02-01,20.858490566037734
2012-03-01,21.23559322033898
2012-04-01,22.872817229336437
2012-05-01,23.14222614840989
2012-06-01,25.485911602209946
2012-07-01,25.944600674915634
2012-08-01,28.34900442477876
2012-09-01,29.558823529411768
2012-10-01,30.299485125858123
2012-11-01,29.91536964980544
2012-12-01,30.95108695652174
2013-01-01,33.89089848308051
2013-02-01,34.13207547169811
2013-03-01,35.71440677966101
2013-04-01,35.80093131548312
2013-05-01,37.22879858657243
2013-06-01,35.86906077348067
2013-07-01,38.43644544431946
2013-08-01,39.688606194690266
2013-09-01,37.44117647058824
2013-10-01,41.05091533180778
2013-11-01,42.10311284046692
2013-12-01,43.33152173913044
2014-01-01,44.855600933488915
2014-02-01,46.45754716981132
2014-03-01,49.22796610169491
2014-04-01,54.69586728754365
2014-05-01,53.32773851590105
2014-06-01,55.691436464088405
2014-07-01,58.61557930258718
2014-08-01,57.64297566371681
2014-09-01,62.07352941176471
2014-10-01,59.62156750572082
2014-11-01,60.93871595330739
2014-12-01,61.90217391304348
2015-01-01,62.79784130688448
2015-02-01,62.575471698113205
2015-03-01,69.49830508474575
2015-04-01,71.60186263096624
2015-05-01,69.42667844522967
2015-06-01,71.73812154696134
2015-07-01,81.67744656917885
2015-08-01,76.54231194690264
2015-09-01,75.86764705882354
2015-10-01,73.30520594965675
2015-11-01,72.01848249027236
2015-12-01,74.28260869565217
2016-01-01,66.78500583430572
2016-02-01,73.95283018867924
2016-03-01,75.28983050847457
2016-04-01,74.58527357392316
2016-05-01,72.44522968197879
2016-06-01,72.68204419889503
2016-07-01,66.30286839145107
2016-08-01,71.81747787610618
2016-09-01,71.9264705882353
2016-10-01,73.30520594965675
2016-11-01,78.66634241245136
2016-12-01,77.99673913043479
2017-01-01,82.73366394399066
2017-02-01,83.43396226415094
2017-03-01,88.80338983050846
2017-04-01,88.50785797438881
2017-05-01,89.55035335689044
2017-06-01,86.84088397790056
2017-07-01,85.5210911136108
2017-08-01,87.88191371681415
2017-09-01,88.6764705882353
2017-10-01,97.74027459954233
2017-11-01,94.17801556420233
2017-12-01,85.425
2018-01-01,94.69515752625438
2018-02-01,89.12264150943396
2018-03-01,90.73389830508474
2018-04-01,89.50232828870779
2018-05-01,92.56890459363956
2018-06-01,89.67265193370166
2018-07-01,89.36473565804275
2018-08-01,86.93694690265485
2018-09-01,85.72058823529412
2018-10-01,87.96624713958809
2018-11-01,90.85408560311282
2018-12-01,85.425
2019-01-01,89.71120186697783
2019-02-01,84.38207547169812
2019-03-01,82.04661016949152
2019-04-01,87.51338766006984
2019-05-01,89.55035335689044
2019-06-01,86.84088397790056
2019-07-01,88.40382452193475
2019-08-01,83.15707964601769
2019-09-01,81.77941176470588
2019-10-01,82.10183066361556
2019-11-01,77.55836575875485
2019-12-01,73.04456521739131
2020-01-01,75.7561260210035
2020-02-01,73.00471698113208
2020-03-01,53.08898305084745
2020-04-01,43.75669383003492
2020-05-01,48.296819787985854
2020-06-01,53.803591160220996
2020-07-01,55.73284589426322
2020-08-01,51.02820796460176
2020-09-01,53.20588235294118
2020-10-01,47.89273455377574
2020-11-01,38.77918287937742
2020-12-01,48.28369565217391
2021-01-01,43.858809801633605
2021-02-01,43.61320754716981
2021-03-01,42.47118644067796
2021-04-01,43.75669383003492
2021-05-01,45.27826855123674
2021-06-01,46.252209944751385
2021-07-01,45.162823397075364
2021-08-01,43.46847345132743
2021-09-01,45.32352941176471
2021-10-01,44.96052631578947
2021-11-01,48.75097276264591
2021-12-01,49.52173913043478
2022-01-01,63.79463243873979
2022-02-01,68.26415094339622
2022-03-01,70.46355932203389
2022-04-01,69.61292200232829
2022-05-01,66.40812720848055
2022-06-01,63.242817679558016
2022-07-01,60.53740157480315
2022-08-01,63.31277654867256
2022-09-01,58.13235294117647
2022-10-01,55.711956521739125
2022-11-01,55.398832684824896
2022-12-01,56.95
2023-01-01,59.807467911318554
2023-02-01,59.7311320754717
2023-03-01,60.81101694915254
2023-04-01,55.69033760186262
2023-05-01,57.3524734982332
2023-06-01,56.6353591160221
2023-07-01,50.92829021372329
2023-08-01,52.91814159292035
2023-09-01,51.23529411764706
2023-10-01,48.870137299771166
2023-11-01,49.858949416342405
2023-12-01,48.28369565217391
2024-01-01,52.829929988331386
2024-02-01,53.094339622641506
2024-03-01,53.08898305084745
2024-04-01,53.701396973224675
2024-05-01,51.31537102473497
2024-06-01,47.19613259668509
2024-07-01,44.201912260967376
2024-08-01,47.2483407079646
2024-09-01,49.26470588235294
2024-10-01,45.9379290617849
2024-11-01,44.319066147859914
2024-12-01,44.56956521739131
2025-01-01,49.83955659276546
2025-02-01,48.35377358490566
2025-03-01,47.29745762711864
2025-04-01,46.74010477299185
2025-05-01,42.259717314487624
2025-06-01,43.42044198895028
2025-07-01,47.08464566929134
2025-08-01,43.46847345132743
2025-09-01,40.39705882352941
2025-10-01,39.09610983981693
2025-11-01,43.21108949416342
2025-12-01,44.56956521739131
