date,gig economy
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,11.270739064856713
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,0.0
2007-07-01,0.0
2007-08-01,0.0
2007-09-01,0.0
2007-10-01,0.0
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,0.0
2008-02-01,0.0
2008-03-01,0.0
2008-04-01,0.0
2008-05-01,0.0
2008-06-01,0.0
2008-07-01,0.0
2008-08-01,0.0
2008-09-01,0.0
2008-10-01,0.0
2008-11-01,0.0
2008-12-01,0.0
2009-01-01,0.0
2009-02-01,0.0
2009-03-01,0.0
2009-04-01,0.0
2009-05-01,0.0
2009-06-01,0.0
2009-07-01,0.0
2009-08-01,0.0
2009-09-01,0.0
2009-10-01,0.0
2009-11-01,0.0
2009-12-01,0.0
2010-01-01,0.0
2010-02-01,0.0
2010-03-01,0.0
2010-04-01,0.0
2010-05-01,0.0
2010-06-01,0.0
2010-07-01,0.0
2010-08-01,0.0
2010-09-01,0.0
2010-10-01,0.0
2010-11-01,0.0
2010-12-01,0.0
2011-01-01,0.0
2011-02-01,0.0
2011-03-01,0.0
2011-04-01,0.0
2011-05-01,0.0
2011-06-01,0.0
2011-07-01,0.0
2011-08-01,0.0
2011-09-01,0.0
2011-10-01,0.0
2011-11-01,0.0
2011-12-01,0.0
2012-01-01,0.0
2012-02-01,0.0
2012-03-01,0.0
2012-04-01,0.0
2012-05-01,0.0
2012-06-01,0.0
2012-07-01,0.0
2012-08-01,0.0
2012-09-01,0.0
2012-10-01,0.0
2012-11-01,0.0
2012-12-01,0.0
2013-01-01,0.0
2013-02-01,0.0
2013-03-01,0.8330546265328874
2013-04-01,0.0
2013-05-01,0.0
2013-06-01,0.0
2013-07-01,0.0
2013-08-01,0.0
2013-09-01,0.0
2013-10-01,0.0
2013-11-01,0.0
2013-12-01,0.0
2014-01-01,0.0
2014-02-01,0.0
2014-03-01,0.0
2014-04-01,0.0
2014-05-01,0.0
2014-06-01,0.0
2014-07-01,0.0
2014-08-01,0.0
2014-09-01,0.8443502824858757
2014-10-01,0.0
2014-11-01,0.0
2014-12-01,0.0
2015-01-01,0.0
2015-02-01,0.0
2015-03-01,0.0
2015-04-01,0.0
2015-05-01,0.0
2015-06-01,1.1270739064856712
2015-07-01,14.724137931034484
2015-08-01,7.783854166666667
2015-09-01,5.91045197740113
2015-10-01,5.660984848484849
2015-11-01,5.930555555555555
2015-12-01,7.876152832674572
2016-01-01,9.225308641975309
2016-02-01,9.498940677966102
2016-03-01,8.330546265328874
2016-04-01,10.948717948717949
2016-05-01,19.69038208168643
2016-06-01,14.651960784313726
2016-07-01,11.043103448275863
2016-08-01,10.0078125
2016-09-01,8.443502824858758
2016-10-01,14.152462121212123
2016-11-01,12.849537037037036
2016-12-01,9.845191040843215
2017-01-01,11.531635802469136
2017-02-01,13.720692090395481
2017-03-01,14.161928651059085
2017-04-01,15.510683760683762
2017-05-01,19.69038208168643
2017-06-01,20.287330316742082
2017-07-01,19.632183908045977
2017-08-01,17.791666666666668
2017-09-01,17.73135593220339
2017-10-01,17.92645202020202
2017-11-01,18.78009259259259
2017-12-01,16.736824769433465
2018-01-01,20.756944444444443
2018-02-01,27.441384180790962
2018-03-01,21.659420289855074
2018-04-01,22.809829059829063
2018-05-01,28.551054018445324
2018-06-01,38.32051282051282
2018-07-01,30.67528735632184
2018-08-01,30.023437500000004
2018-09-01,21.95310734463277
2018-10-01,24.530934343434346
2018-11-01,22.733796296296298
2018-12-01,21.659420289855074
2019-01-01,32.28858024691358
2019-02-01,29.552259887005654
2019-03-01,24.158584169453736
2019-04-01,27.371794871794876
2019-05-01,39.38076416337286
2019-06-01,32.68514328808446
2019-07-01,34.35632183908046
2019-08-01,35.583333333333336
2019-09-01,60.793220338983055
2019-10-01,38.683396464646464
2019-11-01,36.57175925925926
2019-12-01,42.33432147562583
2020-01-01,56.505015432098766
2020-02-01,42.217514124293785
2020-03-01,83.30546265328874
2020-04-01,66.60470085470087
2020-05-01,36.4272068511199
2020-06-01,30.43099547511312
2020-07-01,30.67528735632184
2020-08-01,38.919270833333336
2020-09-01,26.174858757062147
2020-10-01,26.417929292929294
2020-11-01,22.733796296296298
2020-12-01,22.643939393939394
2021-01-01,26.522762345679013
2021-02-01,28.496822033898308
2021-03-01,22.49247491638796
2021-04-01,22.809829059829063
2021-05-01,22.643939393939394
2021-06-01,23.668552036199095
2021-07-01,18.405172413793103
2021-08-01,18.903645833333336
2021-09-01,19.420056497175143
2021-10-01,20.756944444444446
2021-11-01,19.76851851851852
2021-12-01,16.736824769433465
2022-01-01,21.910108024691358
2022-02-01,22.16419491525424
2022-03-01,18.327201783723524
2022-04-01,22.809829059829063
2022-05-01,18.70586297760211
2022-06-01,20.287330316742082
2022-07-01,19.632183908045977
2022-08-01,18.903645833333336
2022-09-01,19.420056497175143
2022-10-01,31.135416666666668
2022-11-01,20.756944444444443
2022-12-01,17.72134387351779
2023-01-01,24.216435185185183
2023-02-01,24.275070621468927
2023-03-01,18.327201783723524
2023-04-01,19.160256410256412
2023-05-01,27.566534914361004
2023-06-01,15.779034690799396
2023-07-01,18.405172413793103
2023-08-01,16.6796875
2023-09-01,16.887005649717516
2023-10-01,17.92645202020202
2023-11-01,19.76851851851852
2023-12-01,15.752305665349144
2024-01-01,24.216435185185183
2024-02-01,27.441384180790962
2024-03-01,18.327201783723524
2024-04-01,20.072649572649574
2024-05-01,15.752305665349144
2024-06-01,15.779034690799396
2024-07-01,15.951149425287356
2024-08-01,21.127604166666668
2024-09-01,19.420056497175143
2024-10-01,19.813446969696972
2024-11-01,21.74537037037037
2024-12-01,14.767786561264822
2025-01-01,21.910108024691358
2025-02-01,24.275070621468927
2025-03-01,19.160256410256412
2025-04-01,20.985042735042736
2025-05-01,20.674901185770754
2025-06-01,24.795625942684765
2025-07-01,35.583333333333336
2025-08-01,33.359375
2025-09-01,32.08531073446328
2025-10-01,32.078914141414145
2025-11-01,47.44444444444444
2025-12-01,63.00922266139658
