date,ZipRecruiter
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,0.0
2007-07-01,0.0
2007-08-01,0.0
2007-09-01,0.0
2007-10-01,0.0
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,0.0
2008-02-01,0.0
2008-03-01,0.0
2008-04-01,0.0
2008-05-01,0.0
2008-06-01,0.0
2008-07-01,0.0
2008-08-01,0.0
2008-09-01,0.0
2008-10-01,0.0
2008-11-01,0.0
2008-12-01,0.0
2009-01-01,0.0
2009-02-01,0.0
2009-03-01,0.0
2009-04-01,0.0
2009-05-01,0.0
2009-06-01,0.0
2009-07-01,0.0
2009-08-01,0.0
2009-09-01,0.0
2009-10-01,0.0
2009-11-01,0.0
2009-12-01,0.0
2010-01-01,0.0
2010-02-01,0.0
2010-03-01,0.0
2010-04-01,0.0
2010-05-01,0.0
2010-06-01,0.0
2010-07-01,0.0
2010-08-01,0.0
2010-09-01,0.0
2010-10-01,0.0
2010-11-01,0.0
2010-12-01,0.0
2011-01-01,0.0
2011-02-01,0.9931306306306308
2011-03-01,1.05138292799237
2011-04-01,1.0307386629266013
2011-05-01,0.9998866213151928
2011-06-01,0.9434103551561832
2011-07-01,0.9446229648671808
2011-08-01,0.9163549459684124
2011-09-01,0.9594212358572671
2011-10-01,0.953199308257674
2011-11-01,1.1001746506986028
2011-12-01,1.218767274737424
2012-01-01,1.921350762527233
2012-02-01,2.9793918918918925
2012-03-01,3.15414878397711
2012-04-01,4.122954651706405
2012-05-01,2.9996598639455785
2012-06-01,3.773641420624733
2012-07-01,3.778491859468723
2012-08-01,3.6654197838736495
2012-09-01,3.8376849434290685
2012-10-01,3.812797233030696
2012-11-01,3.3005239520958085
2012-12-01,3.6563018242122722
2013-01-01,3.842701525054466
2013-02-01,3.972522522522523
2013-03-01,5.256914639961851
2013-04-01,6.184431977559608
2013-05-01,6.999206349206349
2013-06-01,6.603872486093282
2013-07-01,7.556983718937446
2013-08-01,8.247194513715712
2013-09-01,10.553633594429938
2013-10-01,9.53199308257674
2013-11-01,8.801397205588822
2013-12-01,9.750138197899393
2014-01-01,10.567429193899782
2014-02-01,13.90382882882883
2014-03-01,14.719360991893181
2014-04-01,17.522557269752223
2014-05-01,17.99795918367347
2014-06-01,18.868207103123666
2014-07-01,21.726328191945157
2014-08-01,23.82522859517872
2014-09-01,26.86379460400348
2014-10-01,25.736381322957197
2014-11-01,25.304016966067863
2014-12-01,26.81288004422333
2015-01-01,27.85958605664488
2015-02-01,28.80078828828829
2015-03-01,32.59287076776347
2015-04-01,32.98363721365124
2015-05-01,29.996598639455783
2015-06-01,34.90618314077878
2015-07-01,33.061803770351325
2015-08-01,31.156068162926022
2015-09-01,31.660900783289815
2015-10-01,33.36197578901859
2015-11-01,30.80489021956088
2015-12-01,30.4691818684356
2016-01-01,25.938235294117646
2016-02-01,26.81452702702703
2016-03-01,27.335956127801623
2016-04-01,31.95289855072464
2016-05-01,31.99637188208617
2016-06-01,33.9627727856226
2016-07-01,32.117180805484146
2016-08-01,33.905133000831256
2016-09-01,29.74205831157528
2016-10-01,36.221573713791614
2016-11-01,45.107160678642714
2016-12-01,43.875621890547265
2017-01-01,48.99444444444444
2017-02-01,41.71148648648649
2017-03-01,52.5691463996185
2017-04-01,66.99801309022908
2017-05-01,59.993197278911566
2017-06-01,53.774390243902445
2017-07-01,48.17577120822622
2017-08-01,57.73036159600998
2017-09-01,64.2812228024369
2017-10-01,80.06874189364461
2017-11-01,83.61327345309381
2017-12-01,75.5635710337203
2018-01-01,93.1855119825708
2018-02-01,89.38175675675677
2018-03-01,90.41893180734382
2018-04-01,93.79721832632072
2018-05-01,84.99036281179139
2018-06-01,85.85034231921267
2018-07-01,85.01606683804627
2018-08-01,83.38830008312553
2018-09-01,81.55080504786771
2018-10-01,78.16234327712927
2018-11-01,68.21082834331337
2018-12-01,65.8134328358209
2019-01-01,77.81470588235294
2019-02-01,76.47105855855857
2019-03-01,73.59680495946591
2019-04-01,76.2746610565685
2019-05-01,85.99024943310658
2019-06-01,83.96352160890031
2019-07-01,86.90531276778063
2019-08-01,91.63549459684124
2019-09-01,84.4290687554395
2019-10-01,85.78793774319065
2019-11-01,83.61327345309381
2019-12-01,79.21987285793257
2020-01-01,86.46078431372548
2020-02-01,86.40236486486488
2020-03-01,67.28850739151169
2020-04-01,47.41397849462366
2020-05-01,51.99410430839003
2020-06-01,55.66121095421481
2020-07-01,54.78813196229648
2020-08-01,47.65045719035744
2020-09-01,58.52469538729329
2020-10-01,56.23875918720277
2020-11-01,50.608033932135726
2020-12-01,53.62576008844666
2021-01-01,51.87647058823529
2021-02-01,54.62218468468469
2021-03-01,60.980209823557466
2021-04-01,62.87505843852268
2021-05-01,64.99263038548753
2021-06-01,67.9255455712452
2021-07-01,66.12360754070265
2021-08-01,63.22849127182045
2021-09-01,65.24064403829416
2021-10-01,59.09835711197579
2021-11-01,62.709955089820355
2021-12-01,70.6885019347706
2022-01-01,83.57875816993463
2022-02-01,84.41610360360362
2022-03-01,88.31616595135908
2022-04-01,78.3361383824217
2022-05-01,80.99081632653062
2022-06-01,77.35964912280703
2022-07-01,77.45908311910883
2022-08-01,71.47568578553617
2022-09-01,69.07832898172323
2022-10-01,65.7707522697795
2022-11-01,70.41117764471058
2022-12-01,70.6885019347706
2023-01-01,80.69673202614379
2023-02-01,80.44358108108109
2023-03-01,79.90510252742013
2023-04-01,75.2439223936419
2023-05-01,75.99138321995466
2023-06-01,75.47282841249466
2023-07-01,68.01285347043702
2023-08-01,71.47568578553617
2023-09-01,64.2812228024369
2023-10-01,66.72395157803717
2023-11-01,68.21082834331337
2023-12-01,64.59466556108347
2024-01-01,71.08997821350762
2024-02-01,64.553490990991
2024-03-01,63.08297567954221
2024-04-01,68.02875175315569
2024-05-01,67.99229024943311
2024-06-01,62.26508344030809
2024-07-01,68.9574764353042
2024-08-01,69.64297589359934
2024-09-01,70.0377502175805
2024-10-01,64.81755296152183
2024-11-01,62.709955089820355
2024-12-01,63.37589828634605
2025-01-01,71.08997821350762
2025-02-01,79.45045045045046
2025-03-01,74.64818788745828
2025-04-01,72.1517064048621
2025-05-01,70.99195011337869
2025-06-01,73.58600770218229
2025-07-01,80.29295201371036
2025-08-01,76.97381546134665
2025-09-01,73.87543516100956
2025-10-01,68.63035019455252
2025-11-01,70.41117764471058
2025-12-01,75.5635710337203
