date,job training
2004-01-01,64.53775480907264
2004-02-01,60.11518771331058
2004-03-01,60.50154973231896
2004-04-01,63.932025028441416
2004-05-01,58.85964912280702
2004-06-01,63.421550094517954
2004-07-01,67.44811932555125
2004-08-01,64.22515952597995
2004-09-01,58.16834451901566
2004-10-01,58.55650929899857
2004-11-01,58.26782449725777
2004-12-01,49.02922755741127
2005-01-01,54.905254091300606
2005-02-01,61.06939704209329
2005-03-01,53.88419273034658
2005-04-01,59.16097838452788
2005-05-01,56.897660818713454
2005-06-01,62.36452425960932
2005-07-01,56.569390402075236
2005-08-01,50.97234883014281
2005-09-01,49.72455257270694
2005-10-01,47.03719599427754
2005-11-01,43.95642900670323
2005-12-01,43.192414752957546
2006-01-01,48.162503588860176
2006-02-01,45.80204778156997
2006-03-01,48.21217244294167
2006-04-01,45.80204778156997
2006-05-01,46.10672514619883
2006-06-01,48.623188405797094
2006-07-01,48.95428015564203
2006-08-01,46.89456092373138
2006-09-01,40.3425615212528
2006-10-01,43.197424892703864
2006-11-01,44.97867154174284
2006-12-01,43.192414752957546
2007-01-01,46.23600344530577
2007-02-01,41.98521046643914
2007-03-01,39.70414201183432
2007-04-01,42.939419795221845
2007-05-01,45.12573099415205
2007-06-01,50.737240075614366
2007-07-01,46.77853437094683
2007-08-01,50.97234883014281
2007-09-01,46.909955257270695
2007-10-01,48.957081545064376
2007-11-01,46.00091407678245
2007-12-01,47.861864996520524
2008-01-01,52.9787539477462
2008-02-01,49.6188850967008
2008-03-01,51.993519301211606
2008-04-01,55.34414106939705
2008-05-01,51.01169590643275
2008-06-01,52.85129174543163
2008-07-01,52.21789883268483
2008-08-01,51.991795806745664
2008-09-01,50.662751677852356
2008-10-01,53.75679542203147
2008-11-01,55.20109689213894
2008-12-01,53.698677800974245
2009-01-01,62.61125466551823
2009-02-01,63.932025028441416
2009-03-01,64.2828965905889
2009-04-01,59.16097838452788
2009-05-01,60.82163742690059
2009-06-01,64.47857592942658
2009-07-01,63.096627756160835
2009-08-01,64.22515952597995
2009-09-01,59.10654362416108
2009-10-01,62.39628040057225
2009-11-01,63.379037172455824
2009-12-01,60.70285316631872
2010-01-01,63.574504737295435
2010-02-01,62.023606370876
2010-03-01,65.22823330515638
2010-04-01,62.023606370876
2010-05-01,60.82163742690059
2010-06-01,62.36452425960932
2010-07-01,56.569390402075236
2010-08-01,54.03068975995138
2010-09-01,48.786353467561526
2010-10-01,48.957081545064376
2010-11-01,49.06764168190128
2010-12-01,50.19659011830201
2011-01-01,52.9787539477462
2011-02-01,55.34414106939705
2011-03-01,56.72020287404903
2011-04-01,54.38993174061434
2011-05-01,55.916666666666664
2011-06-01,60.250472589792054
2011-07-01,55.48151750972763
2011-08-01,53.01124278334852
2011-09-01,53.477348993288594
2011-10-01,47.99713876967096
2011-11-01,49.06764168190128
2011-12-01,49.02922755741127
2012-01-01,50.08900373241458
2012-02-01,48.66467576791809
2012-03-01,48.21217244294167
2012-04-01,49.6188850967008
2012-05-01,48.0687134502924
2012-06-01,49.68021424070573
2012-07-01,51.130025940337234
2012-08-01,50.97234883014281
2012-09-01,45.97175615212528
2012-10-01,47.99713876967096
2012-11-01,46.00091407678245
2012-12-01,46.69450243562978
2013-01-01,46.23600344530577
2013-02-01,46.75625711035268
2013-03-01,45.376162299239226
2013-04-01,45.80204778156997
2013-05-01,48.0687134502924
