date,Uber driver
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,0.0
2007-07-01,0.0
2007-08-01,0.0
2007-09-01,0.0
2007-10-01,0.0
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,0.0
2008-02-01,0.0
2008-03-01,0.0
2008-04-01,0.0
2008-05-01,0.0
2008-06-01,0.0
2008-07-01,0.0
2008-08-01,0.0
2008-09-01,0.0
2008-10-01,0.0
2008-11-01,0.0
2008-12-01,0.0
2009-01-01,0.0
2009-02-01,0.0
2009-03-01,0.0
2009-04-01,0.0
2009-05-01,0.0
2009-06-01,0.0
2009-07-01,0.0
2009-08-01,0.0
2009-09-01,0.0
2009-10-01,0.0
2009-11-01,0.0
2009-12-01,0.0
2010-01-01,0.0
2010-02-01,0.0
2010-03-01,0.0
2010-04-01,0.0
2010-05-01,0.0
2010-06-01,0.0
2010-07-01,0.0
2010-08-01,0.0
2010-09-01,0.0
2010-10-01,0.0
2010-11-01,0.0
2010-12-01,0.0
2011-01-01,0.0
2011-02-01,0.0
2011-03-01,0.0
2011-04-01,0.0
2011-05-01,0.0
2011-06-01,0.0
2011-07-01,0.0
2011-08-01,0.0
2011-09-01,0.0
2011-10-01,0.0
2011-11-01,0.0
2011-12-01,0.0
2012-01-01,0.0
2012-02-01,0.0
2012-03-01,0.0
2012-04-01,0.0
2012-05-01,0.0
2012-06-01,0.0
2012-07-01,0.0
2012-08-01,0.0
2012-09-01,0.0
2012-10-01,0.0
2012-11-01,0.0
2012-12-01,1.037577365163572
2013-01-01,0.9940703091910208
2013-02-01,1.0239965095986039
2013-03-01,0.9815976578837308
2013-04-01,0.9482828282828283
2013-05-01,1.0417221482467822
2013-06-01,0.9482828282828283
2013-07-01,1.934074989699217
2013-08-01,2.032034632034632
2013-09-01,2.128798185941043
2013-10-01,2.967130214917826
2013-11-01,3.008974358974359
2013-12-01,4.150309460654288
2014-01-01,5.964421855146124
2014-02-01,6.143979057591624
2014-03-01,7.852781263069846
2014-04-01,7.586262626262626
2014-05-01,11.458943630714604
2014-06-01,17.06909090909091
2014-07-01,19.340749896992172
2014-08-01,20.32034632034632
2014-09-01,25.545578231292517
2014-10-01,24.726085124315215
2014-11-01,31.092735042735043
2014-12-01,37.35278514588859
2015-01-01,27.83396865734858
2015-02-01,30.719895287958117
2015-03-01,48.09828523630281
2015-04-01,71.12121212121212
2015-05-01,64.5867731913005
2015-06-01,59.74181818181818
2015-07-01,62.85743716522455
2015-08-01,55.88095238095238
2015-09-01,59.60634920634921
2015-10-01,68.24399494311
2015-11-01,92.27521367521368
2015-12-01,65.36737400530504
2016-01-01,95.43074968233799
2016-02-01,95.23167539267016
2016-03-01,70.67503136762862
2016-04-01,73.96606060606061
2016-05-01,81.254327563249
2016-06-01,78.70747474747475
2016-07-01,78.3300370828183
2016-08-01,77.21731601731602
2016-09-01,77.70113378684808
2016-10-01,85.05773282764433
2016-11-01,88.26324786324787
2016-12-01,88.19407603890362
2017-01-01,87.47818720880983
2017-02-01,80.8957242582897
2017-03-01,91.28858218318696
2017-04-01,90.08686868686868
2017-05-01,87.50466045272971
2017-06-01,91.03515151515151
2017-07-01,86.06633704161516
2017-08-01,83.31341991341992
2017-09-01,75.57233560090704
2017-10-01,69.2330383480826
2017-11-01,71.21239316239316
2017-12-01,71.59283819628646
2018-01-01,81.5137653536637
2018-02-01,91.13568935427574
2018-03-01,77.54621497281472
2018-04-01,72.06949494949495
2018-05-01,76.04571682201511
2018-06-01,91.03515151515151
2018-07-01,86.06633704161516
2018-08-01,91.44155844155844
2018-09-01,87.28072562358277
2018-10-01,81.10155920775391
2018-11-01,78.23333333333333
2018-12-01,86.11892130857647
2019-01-01,89.46632782719188
2019-02-01,94.20767888307155
2019-03-01,82.45420326223338
2019-04-01,92.93171717171717
2019-05-01,88.54638260097649
2019-06-01,80.6040404040404
2019-07-01,77.36299958796869
2019-08-01,78.23333333333333
2019-09-01,83.02312925170068
2019-10-01,72.20016856300043
2019-11-01,72.21538461538461
2019-12-01,73.6679929266136
2020-01-01,82.50783566285473
2020-02-01,77.82373472949389
2020-03-01,72.63822668339607
2020-04-01,52.15555555555556
2020-05-01,52.08610741233911
2020-06-01,51.20727272727273
2020-07-01,52.220024721878865
2020-08-01,51.81688311688312
2020-09-01,51.09115646258503
2020-10-01,52.419300463548254
2020-11-01,51.1525641025641
2020-12-01,52.91644562334217
2021-01-01,52.6857263871241
2021-02-01,54.27181500872601
2021-03-01,98.15976578837308
2021-04-01,67.32808080808081
2021-05-01,70.8371060807812
2021-06-01,66.37979797979798
2021-07-01,68.6596621343222
2021-08-01,66.04112554112554
2021-09-01,68.12154195011338
2021-10-01,61.32069110830173
2021-11-01,58.17350427350427
2021-12-01,50.84129089301503
2022-01-01,65.60864040660738
2022-02-01,72.70375218150087
2022-03-01,61.84065244667504
2022-04-01,62.586666666666666
2022-05-01,62.503328894806934
2022-06-01,61.63838383838384
2022-07-01,60.92336217552534
2022-08-01,61.97705627705628
2022-09-01,61.73514739229025
2022-10-01,57.364517488411295
2022-11-01,58.17350427350427
2022-12-01,61.217064544650746
2023-01-01,67.59678102498941
2023-02-01,60.41579406631763
2023-03-01,59.87745713090758
2023-04-01,69.22464646464647
2023-05-01,67.71193963604084
2023-06-01,69.22464646464647
2023-07-01,65.75854964977339
2023-08-01,66.04112554112554
2023-09-01,64.92834467120181
2023-10-01,60.331647703329125
2023-11-01,58.17350427350427
2023-12-01,61.217064544650746
2024-01-01,63.62049978822533
2024-02-01,59.39179755671903
2024-03-01,55.95106649937265
2024-04-01,65.43151515151516
2024-05-01,57.29471815357302
2024-06-01,55.00040404040404
2024-07-01,56.088174701277296
2024-08-01,61.97705627705628
2024-09-01,59.60634920634921
2024-10-01,52.419300463548254
2024-11-01,52.15555555555555
2024-12-01,56.02917771883289
2025-01-01,61.63235916984329
2025-02-01,58.36780104712042
2025-03-01,54.969468841488926
2025-04-01,56.8969696969697
2025-05-01,61.46160674656015
2025-06-01,59.74181818181818
2025-07-01,66.72558714462299
2025-08-01,66.04112554112554
2025-09-01,65.99274376417235
2025-10-01,94.94816687737043
2025-11-01,68.2034188034188
2025-12-01,72.63041556145004
