date,CareerBuilder
2004-01-01,12.45124536301007
2004-02-01,13.962146422628953
2004-03-01,14.417955326460483
2004-04-01,15.952946768060839
2004-05-01,15.952946768060839
2004-06-01,17.361206896551725
2004-07-01,18.614565090484533
2004-08-01,18.51727642276423
2004-09-01,16.256552706552707
2004-10-01,14.931049822064058
2004-11-01,15.356535947712416
2004-12-01,15.572626695217703
2005-01-01,16.89811870694224
2005-02-01,23.27024403771492
2005-03-01,22.10753150057274
2005-04-01,21.270595690747783
2005-05-01,22.334125475285173
2005-06-01,24.112787356321842
2005-07-01,21.553706946876826
2005-08-01,23.39024390243903
2005-09-01,23.90669515669516
2005-10-01,21.898873072360615
2005-11-01,21.937908496732025
2005-12-01,21.562098501070665
2006-01-01,23.12374138844727
2006-02-01,27.924292845257906
2006-03-01,27.874713631156933
2006-04-01,27.65177439797212
2006-05-01,29.7788339670469
2006-06-01,27.970833333333335
2006-07-01,29.391418563922944
2006-08-01,31.186991869918703
2006-09-01,26.775498575498577
2006-10-01,27.87129300118624
2006-11-01,26.325490196078427
2006-12-01,27.55157030692363
2007-01-01,26.681240063593005
2007-02-01,26.993483083749307
2007-03-01,29.797107674684998
2007-04-01,30.842363751584287
2007-05-01,32.96942332065907
2007-06-01,32.793390804597706
2007-07-01,31.350846468184475
2007-08-01,35.085365853658544
2007-09-01,31.55683760683761
2007-10-01,35.83451957295374
2007-11-01,31.809967320261435
2007-12-01,31.145253390435407
2008-01-01,30.238738738738743
2008-02-01,32.57834165280089
2008-03-01,32.680698739977096
2008-04-01,37.22354245880862
2008-05-01,38.28707224334601
2008-06-01,38.58045977011494
2008-07-01,38.20884413309983
2008-08-01,36.0599593495935
2008-09-01,29.644301994301998
2008-10-01,28.866696322657177
2008-11-01,26.325490196078427
2008-12-01,27.55157030692363
2009-01-01,25.791865394806575
2009-02-01,28.8551026067665
2009-03-01,25.95231958762887
2009-04-01,26.588244613434732
2009-05-01,23.397655259822564
2009-06-01,21.21925287356322
2009-07-01,21.553706946876826
2009-08-01,18.51727642276423
2009-09-01,17.212820512820514
2009-10-01,19.908066429418742
2009-11-01,37.29444444444444
2009-12-01,21.562098501070665
2010-01-01,22.23436671966084
2010-02-01,18.616195230171936
2010-03-01,19.223940435280646
2010-04-01,22.334125475285173
2010-05-01,21.270595690747783
2010-06-01,25.077298850574714
2010-07-01,25.472562755399885
2010-08-01,28.263211382113823
2010-09-01,68.85128205128206
2010-10-01,71.66903914590748
2010-11-01,76.78267973856208
2010-12-01,79.0610278372591
2011-01-01,84.4905935347112
2011-02-01,88.4269273433167
2011-03-01,96.11970217640322
2011-04-01,56.36707858048163
2011-05-01,51.04942965779468
2011-06-01,81.98347701149426
2011-07-01,82.29597197898424
2011-08-01,87.71341463414635
2011-09-01,79.37022792022793
2011-10-01,82.61847568208778
2011-11-01,86.6547385620915
2011-12-01,91.03997144896503
2012-01-01,84.4905935347112
2012-02-01,85.63449805879091
2012-03-01,77.8569587628866
2012-04-01,98.9082699619772
2012-05-01,94.65415082382764
2012-06-01,84.87701149425288
2012-07-01,83.275685931115
2012-08-01,79.91666666666667
2012-09-01,74.5888888888889
2012-10-01,69.6782325029656
2012-11-01,69.10441176470587
2012-12-01,74.26945039257674
2013-01-01,73.81809750927398
2013-02-01,67.94911259012757
2013-03-01,68.24498854524629
2013-04-01,77.63767427122941
2013-05-01,79.76473384030419
2013-06-01,68.48031609195402
2013-07-01,69.5596906012843
2013-08-01,68.22154471544717
2013-09-01,60.244871794871806
2013-10-01,58.72879596678529
