date,consulting work
2004-01-01,39.44321533923304
2004-02-01,24.903342070773263
2004-03-01,40.811527581329564
2004-04-01,42.0448079658606
2004-05-01,34.80680061823802
2004-06-01,20.046851574212894
2004-07-01,31.652923538230887
2004-08-01,41.455119214586254
2004-09-01,35.1875
2004-10-01,25.16602809706258
2004-11-01,25.171385991058123
2004-12-01,36.00041254125412
2005-01-01,23.873525073746315
2005-02-01,35.97149410222805
2005-03-01,25.880480905233384
2005-04-01,36.038406827880515
2005-05-01,38.06993817619784
2005-06-01,32.70802098950525
2005-07-01,26.377436281859072
2005-08-01,31.584852734922862
2005-09-01,26.80952380952381
2005-10-01,23.368454661558108
2005-11-01,25.171385991058123
2005-12-01,24.38737623762376
2006-01-01,24.911504424778762
2006-02-01,29.515072083879424
2006-03-01,26.875884016973128
2006-04-01,22.023470839260312
2006-05-01,33.719088098918085
2006-06-01,29.542728635682163
2006-07-01,27.432533733133436
2006-08-01,31.584852734922862
2006-09-01,26.80952380952381
2006-10-01,35.05268199233716
2006-11-01,23.073770491803277
2006-12-01,27.87128712871287
2007-01-01,30.101401179941004
2007-02-01,27.67038007863696
2007-03-01,24.885077793493636
2007-04-01,28.029871977240397
2007-05-01,28.280525502318394
2007-06-01,34.81821589205398
2007-07-01,33.763118440779614
2007-08-01,26.649719495091166
2007-09-01,26.80952380952381
2007-10-01,33.255108556832695
2007-11-01,32.513040238450074
2007-12-01,27.87128712871287
2008-01-01,31.139380530973455
2008-02-01,32.28211009174312
2008-03-01,27.871287128712872
2008-04-01,26.02773826458037
2008-05-01,38.06993817619784
2008-06-01,31.652923538230887
2008-07-01,32.70802098950525
2008-08-01,35.532959326788216
2008-09-01,30.998511904761905
2008-10-01,26.064814814814813
2008-11-01,30.41542473919523
2008-12-01,29.032590759075905
2009-01-01,29.063421828908556
2009-02-01,27.67038007863696
2009-03-01,29.862093352192364
2009-04-01,27.028805120910384
2009-05-01,25.01738794435858
2009-06-01,31.652923538230887
2009-07-01,28.4876311844078
2009-08-01,30.597826086956523
2009-09-01,28.485119047619047
2009-10-01,31.457535121328224
2009-11-01,30.41542473919523
2009-12-01,30.19389438943894
2010-01-01,26.987463126843657
2010-02-01,26.748034076015728
2010-03-01,33.843705799151344
2010-04-01,32.034139402560456
2010-05-01,29.36823802163833
2010-06-01,29.542728635682163
2010-07-01,28.4876311844078
2010-08-01,26.649719495091166
2010-09-01,22.620535714285715
2010-10-01,26.963601532567047
2010-11-01,28.317809239940388
2010-12-01,25.548679867986795
2011-01-01,33.21533923303835
2011-02-01,31.35976408912189
2011-03-01,30.85749646393211
2011-04-01,26.02773826458037
2011-05-01,30.45595054095827
2011-06-01,30.597826086956527
2011-07-01,30.597826086956527
2011-08-01,26.649719495091166
2011-09-01,25.97172619047619
2011-10-01,24.267241379310345
2011-11-01,28.317809239940388
2011-12-01,25.548679867986795
2012-01-01,34.2533185840708
2012-02-01,26.748034076015728
2012-03-01,29.862093352192364
2012-04-01,29.030938833570413
2012-05-01,29.36823802163833
2012-06-01,29.542728635682163
2012-07-01,28.4876311844078
2012-08-01,30.597826086956523
2012-09-01,25.133928571428573
2012-10-01,26.963601532567047
2012-11-01,29.36661698956781
2012-12-01,25.548679867986795
2013-01-01,30.101401179941004
2013-02-01,26.748034076015728
2013-03-01,29.862093352192364
2013-04-01,28.029871977240397
2013-05-01,27.192812982998454
2013-06-01,29.542728635682163
2013-07-01,29.542728635682163
2013-08-01,29.610799438990185
2013-09-01,26.80952380952381
2013-10-01,30.55874840357599
2013-11-01,27.269001490312966
2013-12-01,31.35519801980198
2014-01-01,33.21533923303835
2014-02-01,27.67038007863696
2014-03-01,28.86669024045262
2014-04-01,30.032005689900426
2014-05-01,30.45595054095827
2014-06-01,29.542728635682163
2014-07-01,32.70802098950525
2014-08-01,27.636746143057504
2014-09-01,26.80952380952381
2014-10-01,30.55874840357599
2014-11-01,27.269001490312966
