date,CV template
2004-01-01,5.690954773869348
2004-02-01,0.0
2004-03-01,7.103494623655915
2004-04-01,7.422752808988763
2004-05-01,6.701183431952663
2004-06-01,9.23233695652174
2004-07-01,5.992063492063492
2004-08-01,7.340277777777779
2004-09-01,5.837628865979381
2004-10-01,7.626262626262626
2004-11-01,7.027925531914895
2004-12-01,7.401960784313726
2005-01-01,5.690954773869348
2005-02-01,4.103260869565218
2005-03-01,4.059139784946237
2005-04-01,0.0
2005-05-01,5.584319526627219
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,5.243055555555555
2005-09-01,3.8917525773195876
2005-10-01,3.813131313131313
2005-11-01,4.015957446808511
2005-12-01,0.0
2006-01-01,4.74246231155779
2006-02-01,5.129076086956522
2006-03-01,4.059139784946237
2006-04-01,5.301966292134831
2006-05-01,4.4674556213017755
2006-06-01,5.129076086956522
2006-07-01,4.494047619047619
2006-08-01,2.0972222222222223
2006-09-01,3.8917525773195876
2006-10-01,3.813131313131313
2006-11-01,4.015957446808511
2006-12-01,4.934640522875817
2007-01-01,5.690954773869348
2007-02-01,5.129076086956522
2007-03-01,6.088709677419356
2007-04-01,6.362359550561797
2007-05-01,4.4674556213017755
2007-06-01,5.129076086956522
2007-07-01,3.745039682539683
2007-08-01,6.291666666666667
2007-09-01,5.837628865979381
2007-10-01,5.71969696969697
2007-11-01,6.023936170212767
2007-12-01,3.700980392156863
2008-01-01,6.639447236180906
2008-02-01,6.154891304347826
2008-03-01,5.073924731182796
2008-04-01,5.301966292134831
2008-05-01,5.584319526627219
2008-06-01,4.103260869565218
2008-07-01,3.745039682539683
2008-08-01,5.243055555555555
2008-09-01,6.810567010309279
2008-10-01,8.579545454545455
2008-11-01,8.031914893617023
2008-12-01,8.63562091503268
2009-01-01,8.536432160804022
2009-02-01,8.206521739130435
2009-03-01,8.118279569892474
2009-04-01,7.422752808988763
2009-05-01,7.818047337278108
2009-06-01,7.180706521739131
2009-07-01,5.243055555555555
2009-08-01,8.38888888888889
2009-09-01,8.756443298969073
2009-10-01,9.532828282828284
2009-11-01,10.039893617021278
2009-12-01,9.869281045751634
2010-01-01,10.433417085427138
2010-02-01,11.28396739130435
2010-03-01,12.177419354838712
2010-04-01,10.603932584269662
2010-05-01,12.285502958579883
2010-06-01,10.258152173913045
2010-07-01,6.741071428571429
2010-08-01,10.48611111111111
2010-09-01,8.756443298969073
2010-10-01,11.43939393939394
2010-11-01,11.043882978723406
2010-12-01,8.63562091503268
2011-01-01,9.48492462311558
2011-02-01,8.206521739130435
2011-03-01,8.118279569892474
2011-04-01,9.543539325842696
2011-05-01,7.818047337278108
2011-06-01,8.206521739130435
2011-07-01,5.992063492063492
2011-08-01,10.48611111111111
2011-09-01,6.810567010309279
2011-10-01,8.579545454545455
2011-11-01,9.035904255319151
2011-12-01,11.102941176470589
2012-01-01,11.381909547738696
2012-02-01,11.28396739130435
2012-03-01,10.147849462365592
2012-04-01,9.543539325842696
2012-05-01,10.051775147928995
2012-06-01,9.23233695652174
2012-07-01,5.992063492063492
2012-08-01,9.4375
2012-09-01,8.756443298969073
2012-10-01,8.579545454545455
2012-11-01,8.031914893617023
2012-12-01,8.63562091503268
2013-01-01,8.536432160804022
2013-02-01,10.258152173913045
2013-03-01,10.147849462365592
2013-04-01,9.543539325842696
2013-05-01,10.051775147928995
2013-06-01,8.206521739130435
2013-07-01,5.992063492063492
2013-08-01,8.38888888888889
2013-09-01,8.756443298969073
2013-10-01,8.579545454545455
2013-11-01,9.035904255319151
2013-12-01,9.869281045751634
2014-01-01,9.48492462311558
2014-02-01,9.23233695652174
2014-03-01,9.133064516129034
2014-04-01,10.603932584269662
2014-05-01,10.051775147928995
2014-06-01,8.206521739130435
2014-07-01,5.243055555555555
2014-08-01,8.38888888888889
2014-09-01,8.756443298969073
2014-10-01,9.532828282828284
2014-11-01,9.035904255319151
2014-12-01,8.63562091503268
2015-01-01,8.536432160804022
2015-02-01,9.23233695652174
2015-03-01,9.133064516129034
2015-04-01,9.543539325842696
2015-05-01,10.051775147928995
2015-06-01,8.206521739130435
2015-07-01,6.741071428571429
2015-08-01,8.38888888888889
2015-09-01,9.72938144329897
2015-10-01,9.532828282828284
2015-11-01,10.039893617021278
2015-12-01,9.869281045751634
2016-01-01,8.536432160804022
2016-02-01,9.23233695652174
2016-03-01,8.118279569892474
2016-04-01,7.422752808988763
2016-05-01,7.818047337278108
2016-06-01,7.180706521739131
2016-07-01,5.243055555555555
2016-08-01,7.340277777777779
