date,Fiverr gigs
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,0.0
2007-07-01,0.0
2007-08-01,0.0
2007-09-01,0.0
2007-10-01,0.0
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,0.0
2008-02-01,0.0
2008-03-01,0.0
2008-04-01,0.0
2008-05-01,0.0
2008-06-01,0.0
2008-07-01,0.0
2008-08-01,0.0
2008-09-01,0.0
2008-10-01,0.0
2008-11-01,0.0
2008-12-01,0.0
2009-01-01,0.0
2009-02-01,0.0
2009-03-01,0.0
2009-04-01,0.0
2009-05-01,0.0
2009-06-01,0.0
2009-07-01,0.0
2009-08-01,0.0
2009-09-01,0.0
2009-10-01,0.0
2009-11-01,0.0
2009-12-01,0.0
2010-01-01,0.0
2010-02-01,0.0
2010-03-01,0.0
2010-04-01,0.0
2010-05-01,0.0
2010-06-01,0.0
2010-07-01,0.0
2010-08-01,0.0
2010-09-01,0.0
2010-10-01,0.0
2010-11-01,0.0
2010-12-01,0.0
2011-01-01,0.0
2011-02-01,0.0
2011-03-01,0.0
2011-04-01,0.0
2011-05-01,0.0
2011-06-01,0.0
2011-07-01,0.0
2011-08-01,0.0
2011-09-01,0.0
2011-10-01,0.0
2011-11-01,19.934146341463414
2011-12-01,15.749376558603492
2012-01-01,13.720170454545455
2012-02-01,0.0
2012-03-01,0.0
2012-04-01,25.515109890109887
2012-05-01,14.063091482649842
2012-06-01,0.0
2012-07-01,16.528601694915256
2012-08-01,22.69343891402715
2012-09-01,17.69047619047619
2012-10-01,20.52486187845304
2012-11-01,0.0
2012-12-01,10.190773067331671
2013-01-01,21.107954545454547
2013-02-01,0.0
2013-03-01,29.81172839506173
2013-04-01,18.37087912087912
2013-05-01,11.719242902208203
2013-06-01,21.852941176470587
2013-07-01,12.593220338983052
2013-08-01,19.331447963800905
2013-09-01,22.113095238095237
2013-10-01,17.446132596685086
2013-11-01,17.215853658536584
2013-12-01,18.528678304239403
2014-01-01,21.107954545454547
2014-02-01,29.771777003484324
2014-03-01,19.492283950617285
2014-04-01,24.494505494505493
2014-05-01,28.126182965299684
2014-06-01,30.404092071611252
2014-07-01,18.10275423728814
2014-08-01,27.736425339366516
2014-09-01,19.901785714285715
2014-10-01,25.656077348066304
2014-11-01,16.309756097560975
2014-12-01,14.822942643391523
2015-01-01,20.05255681818182
2015-02-01,25.88850174216028
2015-03-01,21.785493827160497
2015-04-01,24.494505494505493
2015-05-01,21.094637223974765
2015-06-01,28.503836317135548
2015-07-01,29.121822033898308
2015-08-01,15.969457013574662
2015-09-01,16.584821428571427
2015-10-01,20.52486187845304
2015-11-01,17.215853658536584
2015-12-01,18.528678304239403
2016-01-01,25.329545454545453
2016-02-01,24.594076655052266
2016-03-01,20.63888888888889
2016-04-01,21.432692307692307
2016-05-01,23.438485804416406
2016-06-01,15.202046035805626
2016-07-01,16.528601694915256
2016-08-01,16.809954751131222
2016-09-01,23.21875
2016-10-01,21.551104972375693
2016-11-01,17.215853658536584
2016-12-01,16.675810473815464
2017-01-01,18.99715909090909
2017-02-01,24.594076655052266
2017-03-01,24.078703703703706
2017-04-01,16.32967032967033
2017-05-01,24.610410094637224
2017-06-01,22.80306905370844
2017-07-01,24.399364406779664
2017-08-01,11.766968325791856
2017-09-01,18.796130952380953
2017-10-01,17.446132596685086
2017-11-01,15.403658536585366
2017-12-01,16.675810473815464
2018-01-01,21.107954545454547
2018-02-01,15.533101045296169
2018-03-01,22.9320987654321
2018-04-01,17.350274725274723
2018-05-01,21.094637223974765
2018-06-01,14.251918158567774
2018-07-01,14.167372881355934
2018-08-01,17.650452488687783
2018-09-01,17.69047619047619
2018-10-01,22.577348066298345
2018-11-01,15.403658536585366
2018-12-01,21.307980049875315
2019-01-01,25.329545454545453
2019-02-01,25.88850174216028
2019-03-01,18.34567901234568
2019-04-01,27.55631868131868
2019-05-01,18.750788643533124
2019-06-01,21.852941176470587
2019-07-01,22.03813559322034
2019-08-01,22.69343891402715
2019-09-01,28.74702380952381
2019-10-01,31.813535911602216
2019-11-01,22.652439024390244
2019-12-01,17.602244389027433
2020-01-01,24.274147727272727
2020-02-01,33.65505226480837
2020-03-01,32.104938271604944
2020-04-01,31.638736263736263
2020-05-01,28.126182965299684
2020-06-01,34.20460358056266
2020-07-01,23.61228813559322
2020-08-01,27.736425339366516
2020-09-01,38.697916666666664
2020-10-01,33.86602209944752
2020-11-01,28.089024390243903
2020-12-01,31.498753117206984
2021-01-01,26.384943181818183
2021-02-01,33.65505226480837
2021-03-01,47.010802469135804
2021-04-01,32.65934065934066
2021-05-01,33.98580441640379
2021-06-01,43.705882352941174
2021-07-01,29.121822033898308
2021-08-01,28.576923076923077
2021-09-01,33.169642857142854
2021-10-01,26.682320441988956
2021-11-01,35.33780487804878
2021-12-01,25.013715710723194
2022-01-01,46.4375
2022-02-01,34.94947735191638
2022-03-01,38.98456790123457
2022-04-01,43.88598901098901
2022-05-01,44.53312302839117
2022-06-01,38.005115089514064
2022-07-01,36.20550847457628
2022-08-01,44.546380090497735
2022-09-01,42.01488095238095
2022-10-01,41.04972375690608
2022-11-01,38.96219512195122
2022-12-01,37.98379052369078
2023-01-01,49.60369318181818
2023-02-01,46.599303135888505
2023-03-01,40.13117283950618
2023-04-01,33.67994505494505
2023-05-01,42.18927444794953
2023-06-01,30.404092071611252
2023-07-01,33.844279661016955
2023-08-01,29.417420814479637
2023-09-01,38.697916666666664
2023-10-01,31.813535911602216
2023-11-01,24.464634146341464
2023-12-01,29.645885286783045
2024-01-01,35.88352272727273
2024-02-01,38.83275261324042
2024-03-01,29.81172839506173
2024-04-01,24.494505494505493
2024-05-01,35.15772870662461
2024-06-01,27.553708439897697
2024-07-01,16.528601694915256
2024-08-01,23.533936651583712
2024-09-01,21.007440476190474
2024-10-01,23.603591160220997
2024-11-01,22.652439024390244
2024-12-01,14.822942643391523
2025-01-01,22.163352272727273
2025-02-01,37.538327526132406
2025-03-01,26.371913580246915
2025-04-01,29.59752747252747
2025-05-01,24.610410094637224
2025-06-01,42.75575447570333
2025-07-01,78.70762711864407
2025-08-01,63.037330316742086
2025-09-01,33.169642857142854
2025-10-01,36.944751381215475
2025-11-01,80.64268292682927
2025-12-01,82.45261845386534
