date,AngelList
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,0.0
2007-07-01,0.0
2007-08-01,0.0
2007-09-01,0.0
2007-10-01,0.0
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,0.0
2008-02-01,0.0
2008-03-01,0.0
2008-04-01,0.0
2008-05-01,0.0
2008-06-01,0.0
2008-07-01,0.0
2008-08-01,0.0
2008-09-01,0.0
2008-10-01,0.0
2008-11-01,0.0
2008-12-01,0.0
2009-01-01,0.0
2009-02-01,0.0
2009-03-01,0.0
2009-04-01,0.0
2009-05-01,0.0
2009-06-01,0.0
2009-07-01,0.0
2009-08-01,0.0
2009-09-01,0.0
2009-10-01,0.0
2009-11-01,0.0
2009-12-01,0.0
2010-01-01,0.0
2010-02-01,0.0
2010-03-01,0.0
2010-04-01,0.0
2010-05-01,0.0
2010-06-01,0.0
2010-07-01,0.0
2010-08-01,0.0
2010-09-01,0.0
2010-10-01,2.838209982788296
2010-11-01,0.0
2010-12-01,2.6174603174603175
2011-01-01,3.8505545826036194
2011-02-01,6.726689976689977
2011-03-01,15.973219373219374
2011-04-01,8.678947368421053
2011-05-01,7.273471959672337
2011-06-01,9.921780986762936
2011-07-01,8.470890410958903
2011-08-01,10.38888888888889
2011-09-01,10.91395908543923
2011-10-01,8.514629948364888
2011-11-01,14.464912280701755
2011-12-01,9.161111111111111
2012-01-01,8.663747810858144
2012-02-01,11.531468531468532
2012-03-01,13.154415954415956
2012-04-01,14.464912280701753
2012-05-01,17.664146187775675
2012-06-01,11.906137184115522
2012-07-01,13.176940639269406
2012-08-01,14.166666666666666
2012-09-01,12.898315282791817
2012-10-01,12.298909925415948
2012-11-01,18.91565452091768
2012-12-01,19.63095238095238
2013-01-01,20.215411558669
2013-02-01,23.062937062937063
2013-03-01,22.550427350427352
2013-04-01,21.21520467836257
2013-05-01,24.937618147448013
2013-06-01,20.835740072202164
2013-07-01,23.53025114155251
2013-08-01,24.555555555555554
2013-09-01,30.7575210589651
2013-10-01,35.95065978198508
2013-11-01,31.155195681511472
2013-12-01,37.9531746031746
2014-01-01,32.729713952130766
2014-02-01,34.59440559440559
2014-03-01,30.06723646723647
2014-04-01,34.71578947368421
2014-05-01,40.52362948960302
2014-06-01,41.67148014440433
2014-07-01,41.41324200913242
2014-08-01,37.77777777777778
2014-09-01,38.69494584837545
2014-10-01,35.00458978772232
2014-11-01,40.05668016194332
2014-12-01,41.87936507936508
2015-01-01,40.430823117338
2015-02-01,53.81351981351982
2015-03-01,57.31566951566952
2015-04-01,52.07368421052632
2015-05-01,57.14870825456836
2015-06-01,55.56197352587244
2015-07-01,61.17865296803653
2015-08-01,57.61111111111111
2015-09-01,57.54632972322503
2015-10-01,61.49454962707974
2015-11-01,58.972334682860996
2015-12-01,57.58412698412698
2016-01-01,47.16929363689434
2016-02-01,57.65734265734266
2016-03-01,56.37606837606838
2016-04-01,51.1093567251462
2016-05-01,55.070573408947695
2016-06-01,70.44464500601684
2016-07-01,70.59075342465754
2016-08-01,83.11111111111111
2016-09-01,89.29602888086642
2016-10-01,94.60699942627653
2016-11-01,83.45141700404858
2016-12-01,68.05396825396825
2017-01-01,82.78692352597781
2017-02-01,71.11072261072262
2017-03-01,76.10769230769232
2017-04-01,75.21754385964913
2017-05-01,69.61751732829237
2017-06-01,61.5150421179302
2017-07-01,64.00228310502283
2017-08-01,59.5
2017-09-01,48.61672683513839
2017-10-01,58.65633964429145
2017-11-01,57.85964912280702
2017-12-01,57.58412698412698
2018-01-01,58.720957384705194
2018-02-01,59.57925407925408
2018-03-01,55.43646723646724
2018-04-01,57.859649122807014
2018-05-01,55.070573408947695
2018-06-01,54.56979542719615
2018-07-01,47.06050228310502
2018-08-01,49.11111111111111
2018-09-01,45.640192539109506
2018-10-01,47.303499713138265
2018-11-01,48.958164642375166
2018-12-01,43.18809523809524
2019-01-01,47.16929363689434
2019-02-01,50.930652680652685
2019-03-01,40.402849002849
2019-04-01,43.39473684210526
2019-05-01,47.79710144927535
2019-06-01,53.57761732851986
2019-07-01,48.00171232876712
2019-08-01,40.61111111111111
2019-09-01,45.640192539109506
2019-10-01,38.788869764773374
2019-11-01,37.83130904183536
2019-12-01,37.9531746031746
2020-01-01,63.53415061295972
2020-02-01,37.47727272727273
2020-03-01,28.18803418803419
2020-04-01,27.96549707602339
2020-05-01,29.093887838689348
2020-06-01,31.749699157641395
2020-07-01,37.64840182648402
2020-08-01,34.0
2020-09-01,34.726233453670275
2020-10-01,21.7596098680436
2020-11-01,21.141025641025642
2020-12-01,28.79206349206349
2021-01-01,23.103327495621716
2021-02-01,24.023892773892776
2021-03-01,23.490028490028493
2021-04-01,25.07251461988304
2021-05-01,22.859483301827343
2021-06-01,23.812274368231044
2021-07-01,22.58904109589041
2021-08-01,23.61111111111111
2021-09-01,22.820096269554753
2021-10-01,22.70567986230637
2021-11-01,25.591767881241566
2021-12-01,24.865873015873017
2022-01-01,35.61762988908348
2022-02-01,33.633449883449885
2022-03-01,43.22165242165242
2022-04-01,50.14502923976608
2022-05-01,46.75803402646502
2022-06-01,41.67148014440433
2022-07-01,36.707191780821915
2022-08-01,41.55555555555556
2022-09-01,36.710589651022865
2022-10-01,41.62707974756167
2022-11-01,40.05668016194332
2022-12-01,37.9531746031746
2023-01-01,35.61762988908348
2023-02-01,38.438228438228435
2023-03-01,33.825641025641026
2023-04-01,30.85847953216374
2023-05-01,29.093887838689348
2023-06-01,27.78098676293622
2023-07-01,26.35388127853881
2023-08-01,23.61111111111111
2023-09-01,23.812274368231044
2023-10-01,23.651749856569133
2023-11-01,22.25371120107962
2023-12-01,24.865873015873017
2024-01-01,24.06596614127262
2024-02-01,23.062937062937063
2024-03-01,26.308831908831912
2024-04-01,24.108187134502923
2024-05-01,21.82041587901701
2024-06-01,19.843561973525873
2024-07-01,19.76541095890411
2024-08-01,21.72222222222222
2024-09-01,20.835740072202164
2024-10-01,19.867469879518072
2024-11-01,20.02834008097166
2024-12-01,24.865873015873017
2025-01-01,25.991243432574432
2025-02-01,24.023892773892776
2025-03-01,27.24843304843305
2025-04-01,32.787134502923976
2025-05-01,24.937618147448013
2025-06-01,24.80445246690734
2025-07-01,29.177511415525114
2025-08-01,28.333333333333332
2025-09-01,30.7575210589651
2025-10-01,24.597819850831897
2025-11-01,28.92982456140351
2025-12-01,32.71825396825397
