date,temporary work
2004-01-01,69.35159235668792
2004-02-01,49.820876288659804
2004-03-01,39.302615193026156
2004-04-01,37.80832282471627
2004-05-01,56.35714285714286
2004-06-01,53.603098927294404
2004-07-01,62.417799752781214
2004-08-01,47.151394422310766
2004-09-01,50.06345177664975
2004-10-01,45.894801980198025
2004-11-01,40.06640625000001
2004-12-01,41.64166666666667
2005-01-01,41.20891719745224
2005-02-01,41.6868556701031
2005-03-01,39.302615193026156
2005-04-01,34.8234552332913
2005-05-01,40.118644067796616
2005-06-01,48.90107270560191
2005-07-01,45.838071693448704
2005-08-01,58.6772908366534
2005-09-01,38.04822335025381
2005-10-01,36.129950495049506
2005-11-01,34.92968750000001
2005-12-01,35.06666666666667
2006-01-01,41.20891719745224
2006-02-01,35.586340206185575
2006-03-01,46.18057285180573
2006-04-01,40.793190416141236
2006-05-01,48.71549636803874
2006-06-01,45.13945172824792
2006-07-01,45.838071693448704
2006-08-01,42.96015936254981
2006-09-01,40.0507614213198
2006-10-01,34.176980198019805
2006-11-01,34.92968750000001
2006-12-01,32.875
2007-01-01,38.19363057324841
2007-02-01,30.502577319587633
2007-03-01,34.38978829389789
2007-04-01,31.838587641866333
2007-05-01,39.1634382566586
2007-06-01,38.556615017878435
2007-07-01,43.88751545117429
2007-08-01,37.72111553784861
2007-09-01,35.04441624365482
2007-10-01,35.15346534653466
2007-11-01,33.90234375000001
2007-12-01,32.875
2008-01-01,33.168152866242046
2008-02-01,33.552835051546396
2008-03-01,32.42465753424658
2008-04-01,36.81336696090795
2008-05-01,37.25302663438257
2008-06-01,38.556615017878435
2008-07-01,38.03584672435105
2008-08-01,41.91235059760957
2008-09-01,37.046954314720814
2008-10-01,34.176980198019805
2008-11-01,36.98437500000001
2008-12-01,32.875
2009-01-01,37.188535031847145
2009-02-01,35.586340206185575
2009-03-01,32.42465753424658
2009-04-01,30.84363177805801
2009-05-01,30.566585956416468
2009-06-01,34.794994040524436
2009-07-01,29.258343634116194
2009-08-01,30.386454183266938
2009-09-01,30.038071065989847
2009-10-01,28.318069306930695
2009-11-01,28.765625000000007
2009-12-01,28.49166666666667
2010-01-01,33.168152866242046
2010-02-01,32.53608247422681
2010-03-01,29.476961394769614
2010-04-01,27.858764186633042
2010-05-01,34.38740920096853
2010-06-01,34.794994040524436
2010-07-01,26.332509270704573
2010-08-01,29.3386454183267
2010-09-01,27.034263959390863
2010-10-01,25.38861386138614
2010-11-01,25.683593750000007
2010-12-01,27.395833333333336
2011-01-01,30.152866242038222
2011-02-01,27.45231958762887
2011-03-01,30.45952677459527
2011-04-01,34.8234552332913
2011-05-01,28.656174334140438
2011-06-01,31.973778307508944
2011-07-01,29.258343634116194
2011-08-01,28.29083665338646
2011-09-01,29.036802030456855
2011-10-01,28.318069306930695
2011-11-01,27.738281250000007
2011-12-01,28.49166666666667
2012-01-01,30.152866242038222
2012-02-01,26.43556701030928
2012-03-01,26.529265255292653
2012-04-01,29.848675914249686
2012-05-01,29.611380145278453
2012-06-01,30.092967818831948
2012-07-01,28.283065512978986
2012-08-01,30.386454183266938
2012-09-01,29.036802030456855
2012-10-01,25.38861386138614
