date,Remote.co
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,0.0
2007-07-01,0.0
2007-08-01,0.0
2007-09-01,0.0
2007-10-01,0.0
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,0.0
2008-02-01,0.0
2008-03-01,0.0
2008-04-01,0.0
2008-05-01,0.0
2008-06-01,0.0
2008-07-01,0.0
2008-08-01,0.0
2008-09-01,0.0
2008-10-01,0.0
2008-11-01,0.0
2008-12-01,0.0
2009-01-01,0.0
2009-02-01,0.0
2009-03-01,0.0
2009-04-01,0.0
2009-05-01,0.0
2009-06-01,0.0
2009-07-01,0.0
2009-08-01,0.0
2009-09-01,0.0
2009-10-01,0.0
2009-11-01,0.0
2009-12-01,0.0
2010-01-01,0.0
2010-02-01,0.0
2010-03-01,0.0
2010-04-01,0.0
2010-05-01,0.0
2010-06-01,0.0
2010-07-01,0.0
2010-08-01,0.0
2010-09-01,0.0
2010-10-01,0.0
2010-11-01,0.0
2010-12-01,0.0
2011-01-01,0.0
2011-02-01,0.0
2011-03-01,0.0
2011-04-01,0.0
2011-05-01,0.0
2011-06-01,0.0
2011-07-01,0.0
2011-08-01,0.0
2011-09-01,0.0
2011-10-01,0.0
2011-11-01,0.0
2011-12-01,0.0
2012-01-01,0.0
2012-02-01,0.0
2012-03-01,0.0
2012-04-01,0.0
2012-05-01,0.0
2012-06-01,0.0
2012-07-01,0.0
2012-08-01,0.0
2012-09-01,0.0
2012-10-01,0.0
2012-11-01,0.0
2012-12-01,0.0
2013-01-01,0.0
2013-02-01,0.0
2013-03-01,0.0
2013-04-01,0.0
2013-05-01,0.0
2013-06-01,0.0
2013-07-01,0.0
2013-08-01,0.0
2013-09-01,0.0
2013-10-01,0.0
2013-11-01,0.0
2013-12-01,0.0
2014-01-01,0.0
2014-02-01,0.0
2014-03-01,0.0
2014-04-01,0.0
2014-05-01,0.0
2014-06-01,0.0
2014-07-01,0.0
2014-08-01,0.0
2014-09-01,0.0
2014-10-01,0.0
2014-11-01,0.0
2014-12-01,0.0
2015-01-01,0.0
2015-02-01,0.0
2015-03-01,0.0
2015-04-01,0.0
2015-05-01,0.0
2015-06-01,0.0
2015-07-01,0.0
2015-08-01,0.0
2015-09-01,0.0
2015-10-01,0.0
2015-11-01,0.0
2015-12-01,0.0
2016-01-01,0.0
2016-02-01,0.0
2016-03-01,0.0
2016-04-01,0.0
2016-05-01,4.490867579908676
2016-06-01,0.0
2016-07-01,0.0
2016-08-01,0.0
2016-09-01,0.0
2016-10-01,0.0
2016-11-01,0.0
2016-12-01,0.0
2017-01-01,0.0
2017-02-01,0.0
2017-03-01,7.847074468085107
2017-04-01,0.0
2017-05-01,0.0
2017-06-01,0.0
2017-07-01,5.2313829787234045
2017-08-01,0.0
2017-09-01,0.0
2017-10-01,7.355235042735043
2017-11-01,9.642156862745098
2017-12-01,0.0
2018-01-01,5.043589743589743
2018-02-01,0.0
2018-03-01,6.975177304964539
2018-04-01,4.115062761506277
2018-05-01,4.490867579908676
2018-06-01,0.0
2018-07-01,4.359485815602837
2018-08-01,3.812015503875969
2018-09-01,5.330623306233063
2018-10-01,0.0
2018-11-01,6.887254901960784
2018-12-01,8.264705882352942
2019-01-01,15.13076923076923
2019-02-01,6.773415977961434
2019-03-01,6.103280141843972
2019-04-01,0.0
2019-05-01,5.987823439878235
2019-06-01,4.246545768566493
2019-07-01,6.103280141843972
2019-08-01,0.0
2019-09-01,6.663279132791329
2019-10-01,4.202991452991453
2019-11-01,0.0
2019-12-01,5.509803921568627
2020-01-01,6.304487179487179
2020-02-01,5.418732782369147
2020-03-01,6.103280141843972
2020-04-01,13.716875871687588
2020-05-01,12.72412480974125
2020-06-01,21.23272884283247
2020-07-01,10.462765957446809
2020-08-01,10.483042635658915
2020-09-01,9.32859078590786
2020-10-01,4.202991452991453
2020-11-01,6.887254901960784
2020-12-01,8.264705882352942
2021-01-01,6.304487179487179
2021-02-01,12.19214876033058
2021-03-01,6.103280141843972
2021-04-01,4.800906555090656
2021-05-01,5.987823439878235
2021-06-01,6.79447322970639
2021-07-01,6.975177304964539
2021-08-01,7.624031007751938
2021-09-01,10.661246612466126
2021-10-01,0.0
2021-11-01,6.887254901960784
2021-12-01,11.019607843137255
2022-01-01,17.652564102564103
2022-02-01,37.931129476584026
2022-03-01,39.235372340425535
2022-04-01,21.94700139470014
2022-05-01,12.72412480974125
2022-06-01,16.136873920552677
2022-07-01,14.822251773049647
2022-08-01,33.35513565891473
2022-09-01,15.991869918699189
2022-10-01,33.623931623931625
2022-11-01,27.549019607843135
2022-12-01,22.03921568627451
2023-01-01,29.000641025641023
2023-02-01,27.093663911845734
2023-03-01,22.669326241134755
2023-04-01,22.63284518828452
2023-05-01,40.417808219178085
2023-06-01,42.46545768566494
2023-07-01,35.74778368794326
2023-08-01,39.07315891472868
2023-09-01,43.97764227642277
2023-10-01,42.029914529914535
2023-11-01,26.17156862745098
2023-12-01,24.794117647058822
2024-01-01,40.34871794871795
2024-02-01,32.51239669421488
2024-03-01,21.797429078014186
2024-04-01,28.119595536959554
2024-05-01,29.190639269406393
2024-06-01,28.876511226252155
2024-07-01,37.4915780141844
2024-08-01,32.40213178294574
2024-09-01,33.31639566395664
2024-10-01,33.623931623931625
2024-11-01,37.19117647058823
2024-12-01,34.43627450980392
2025-01-01,44.131410256410255
2025-02-01,41.99517906336089
2025-03-01,47.08244680851064
2025-04-01,68.58437935843794
2025-05-01,47.90258751902588
2025-06-01,44.16407599309154
2025-07-01,42.7229609929078
2025-08-01,37.1671511627907
2025-09-01,38.647018970189706
2025-10-01,38.877670940170944
2025-11-01,42.700980392156865
2025-12-01,49.588235294117645
