date,contract work
2004-01-01,33.855832241153344
2004-02-01,33.71569212410501
2004-03-01,36.82533013205282
2004-04-01,35.38892180094787
2004-05-01,36.9732824427481
2004-06-01,37.24220698254364
2004-07-01,34.24068123393316
2004-08-01,37.0203821656051
2004-09-01,35.71071012805588
2004-10-01,38.35139049826188
2004-11-01,29.48394206549118
2004-12-01,32.63814016172507
2005-01-01,34.91382699868939
2005-02-01,31.789081145584724
2005-03-01,31.979891956782712
2005-04-01,31.56309241706161
2005-05-01,29.784033078880412
2005-06-01,31.202930174563594
2005-07-01,34.24068123393316
2005-08-01,32.90700636942675
2005-09-01,35.71071012805588
2005-10-01,28.99739281575898
2005-11-01,27.450566750629722
2005-12-01,28.286388140161726
2006-01-01,27.507863695937093
2006-02-01,22.156026252983292
2006-03-01,31.979891956782712
2006-04-01,31.56309241706161
2006-05-01,31.83810432569975
2006-06-01,32.209476309226936
2006-07-01,32.16548843187661
2006-08-01,29.821974522292994
2006-09-01,27.252910360884748
2006-10-01,22.449594438006955
2006-11-01,24.40050377833753
2006-12-01,22.846698113207548
2007-01-01,26.44986893840105
2007-02-01,24.08263723150358
2007-03-01,27.134453781512605
2007-04-01,27.737263033175356
2007-05-01,30.81106870229008
2007-06-01,34.22256857855362
2007-07-01,33.203084832904885
2007-08-01,32.90700636942675
2007-09-01,27.252910360884748
2007-10-01,28.99739281575898
2007-11-01,27.450566750629722
2007-12-01,27.19845013477089
2008-01-01,30.681847968545217
2008-02-01,27.93585918854415
2008-03-01,29.07262905162065
2008-04-01,28.693720379146917
2008-05-01,30.81106870229008
2008-06-01,30.196384039900252
2008-07-01,34.24068123393316
2008-08-01,33.935350318471336
2008-09-01,30.07217694994179
2008-10-01,26.191193511008112
2008-11-01,25.41719143576826
2008-12-01,30.462264150943398
2009-01-01,34.91382699868939
2009-02-01,33.71569212410501
2009-03-01,28.103541416566628
2009-04-01,28.693720379146917
2009-05-01,30.81106870229008
2009-06-01,33.216022443890274
2009-07-01,33.203084832904885
2009-08-01,32.90700636942675
2009-09-01,32.891443538998836
2009-10-01,28.06199304750869
2009-11-01,30.500629722921914
2009-12-01,27.19845013477089
2010-01-01,33.855832241153344
2010-02-01,27.93585918854415
2010-03-01,30.041716686674672
2010-04-01,29.650177725118482
2010-05-01,30.81106870229008
2010-06-01,32.209476309226936
2010-07-01,30.09029562982005
2010-08-01,27.765286624203824
2010-09-01,26.313154831199068
2010-10-01,24.32039397450753
2010-11-01,25.41719143576826
2010-12-01,26.110512129380055
2011-01-01,32.7978374836173
2011-02-01,33.71569212410501
2011-03-01,31.010804321728692
2011-04-01,26.78080568720379
2011-05-01,31.83810432569975
2011-06-01,32.209476309226936
2011-07-01,29.052699228791774
2011-08-01,31.878662420382167
2011-09-01,30.07217694994179
2011-10-01,29.93279258400927
2011-11-01,28.46725440806045
2011-12-01,28.286388140161726
2012-01-01,30.681847968545217
2012-02-01,29.862470167064437
2012-03-01,27.134453781512605
2012-04-01,29.650177725118482
2012-05-01,31.83810432569975
2012-06-01,32.209476309226936
2012-07-01,30.09029562982005
2012-08-01,31.878662420382167
2012-09-01,33.83119906868451
2012-10-01,28.99739281575898
