date,career change
2004-01-01,55.42843691148776
2004-02-01,42.655797101449274
2004-03-01,55.64353233830846
2004-04-01,45.9404266389178
2004-05-01,64.61035123269166
2004-06-01,67.4872518822724
2004-07-01,54.504629629629626
2004-08-01,61.31770833333333
2004-09-01,58.99822179114128
2004-10-01,55.27230046948357
2004-11-01,55.51287631483497
2004-12-01,52.10273069679849
2005-01-01,56.35224419334589
2005-02-01,51.58375463431075
2005-03-01,60.524543946932006
2005-04-01,51.044918487686445
2005-05-01,56.65830800405268
2005-06-01,58.421800136892536
2005-07-01,64.41456228956228
2005-08-01,54.28124999999999
2005-09-01,58.046637568703524
2005-10-01,53.29828973843058
2005-11-01,51.242655059847664
2005-12-01,45.45131826741996
2006-01-01,58.199858757062145
2006-02-01,44.639787664307384
2006-03-01,45.881509121061356
2006-04-01,44.91952826916407
2006-05-01,41.748226950354606
2006-06-01,51.370893223819294
2006-07-01,47.567676767676765
2006-08-01,46.23958333333333
2006-09-01,43.772874232137085
2006-10-01,45.40224681421865
2006-11-01,45.904878491113536
2006-12-01,38.799905838041425
2007-01-01,46.190364092906464
2007-02-01,40.67180653859117
2007-03-01,41.97669983416252
2007-04-01,45.9404266389178
2007-05-01,44.73024316109422
2007-06-01,48.34907597535934
2007-07-01,47.567676767676765
2007-08-01,50.260416666666664
2007-09-01,45.6760426770126
2007-10-01,47.37625754527163
2007-11-01,39.49954660863257
2007-12-01,42.125612052730695
2008-01-01,44.34274952919021
2008-02-01,46.62377822716549
2008-03-01,41.00049751243781
2008-04-01,42.877731529656614
2008-05-01,45.72424856467409
2008-06-01,39.28362422997946
2008-07-01,41.62171717171717
2008-08-01,45.234375
2008-09-01,41.86970578726156
2008-10-01,39.480214621059694
2008-11-01,40.5671019223794
2008-12-01,37.691337099811676
2009-01-01,41.57132768361582
2009-02-01,40.67180653859117
2009-03-01,41.00049751243781
2009-04-01,38.79413805064169
2009-05-01,37.77220533603512
2009-06-01,39.28362422997946
2009-07-01,39.63973063973064
2009-08-01,39.203125
2009-09-01,39.96653734238603
2009-10-01,38.4932092555332
2009-11-01,36.296880667392095
2009-12-01,34.36563088512241
2010-01-01,38.79990583804143
2010-02-01,40.67180653859117
2010-03-01,40.024295190713104
2010-04-01,36.75234131113424
2010-05-01,38.76621073961499
2010-06-01,37.269079397672826
2010-07-01,34.68476430976431
2010-08-01,36.1875
2010-09-01,32.35386356288393
2010-10-01,31.584171696847754
2010-11-01,33.09421472615162
2010-12-01,29.931355932203388
2011-01-01,34.18086942875078
2011-02-01,34.71983485001685
2011-03-01,35.14328358208955
2011-04-01,36.75234131113424
2011-05-01,40.75422154677474
2011-06-01,36.261806981519506
2011-07-01,33.693771043771044
2011-08-01,37.19270833333333
2011-09-01,35.208616230197215
2011-10-01,35.532193158953724
2011-11-01,33.09421472615162
2011-12-01,29.931355932203388
2012-01-01,35.10467671060891
2012-02-01,34.71983485001685
2012-03-01,34.16708126036484
2012-04-01,34.710544571626784
2012-05-01,36.778199932455244
2012-06-01,35.254534565366185
2012-07-01,36.66675084175084
2012-08-01,38.197916666666664
2012-09-01,39.01495311994827
2012-10-01,41.45422535211268
2012-11-01,38.43199129488575
2012-12-01,34.36563088512241
2013-01-01,38.79990583804143
2013-02-01,37.69582069430401
2013-03-01,37.09568822553897
2013-04-01,40.83593479014915
2013-05-01,36.778199932455244
2013-06-01,34.247262149212865
2013-07-01,37.65774410774411
2013-08-01,42.21875
2013-09-01,37.11178467507274
2013-10-01,39.480214621059694
2013-11-01,38.43199129488575
2013-12-01,39.90847457627118
2014-01-01,45.26655681104834
2014-02-01,42.655797101449274
2014-03-01,41.00049751243781
2014-04-01,39.81503642039542
2014-05-01,40.75422154677474
2014-06-01,44.31998631074606
2014-07-01,44.59469696969697
2014-08-01,38.197916666666664
2014-09-01,39.01495311994827
2014-10-01,43.428236083165665
2014-11-01,39.49954660863257
2014-12-01,43.23418079096045
2015-01-01,40.64752040175769
2015-02-01,40.67180653859117
2015-03-01,41.00049751243781
2015-04-01,42.877731529656614
2015-05-01,37.77220533603512
2015-06-01,42.30544147843942
2015-07-01,43.6037037037037
2015-08-01,42.21875
2015-09-01,39.96653734238603
2015-10-01,43.428236083165665
2015-11-01,41.63465723612623
2015-12-01,41.01704331450094
2016-01-01,41.57132768361582
2016-02-01,43.64779238287833
2016-03-01,41.00049751243781
2016-04-01,43.89862989941034
2016-05-01,39.76021614319486
2016-06-01,39.28362422997946
2016-07-01,37.65774410774411
2016-08-01,38.197916666666664
2016-09-01,39.96653734238603
2016-10-01,38.4932092555332
2016-11-01,42.70221254987305
2016-12-01,39.90847457627118
2017-01-01,43.418942247332076
2017-02-01,44.639787664307384
2017-03-01,42.95290215588723
2017-04-01,43.89862989941034
2017-05-01,43.736237757514346
2017-06-01,41.2981690622861
2017-07-01,40.630723905723904
2017-08-01,40.20833333333333
2017-09-01,40.91812156482379
2017-10-01,45.40224681421865
