date,LinkedIn profile
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,0.0
2007-07-01,0.0
2007-08-01,0.97625
2007-09-01,0.8956422018348624
2007-10-01,0.0
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,0.0
2008-02-01,1.0276315789473685
2008-03-01,1.0611413043478262
2008-04-01,1.0847222222222221
2008-05-01,1.1157142857142859
2008-06-01,0.7567829457364341
2008-07-01,0.0
2008-08-01,0.97625
2008-09-01,0.8956422018348624
2008-10-01,0.9861111111111112
2008-11-01,1.078729281767956
2008-12-01,1.0907821229050279
2009-01-01,1.1031073446327684
2009-02-01,2.055263157894737
2009-03-01,2.1222826086956523
2009-04-01,1.0847222222222221
2009-05-01,2.2314285714285718
2009-06-01,1.5135658914728682
2009-07-01,1.9236453201970445
2009-08-01,1.9525
2009-09-01,1.7912844036697249
2009-10-01,1.9722222222222223
2009-11-01,2.157458563535912
2009-12-01,2.1815642458100557
2010-01-01,2.2062146892655368
2010-02-01,2.055263157894737
2010-03-01,3.1834239130434785
2010-04-01,2.1694444444444443
2010-05-01,2.2314285714285718
2010-06-01,1.5135658914728682
2010-07-01,1.9236453201970445
2010-08-01,1.9525
2010-09-01,1.7912844036697249
2010-10-01,1.9722222222222223
2010-11-01,3.236187845303868
2010-12-01,2.1815642458100557
2011-01-01,4.4124293785310735
2011-02-01,4.110526315789474
2011-03-01,4.244565217391305
2011-04-01,4.338888888888889
2011-05-01,4.4628571428571435
2011-06-01,3.0271317829457365
2011-07-01,3.847290640394089
2011-08-01,4.88125
2011-09-01,4.478211009174312
2011-10-01,3.9444444444444446
2011-11-01,4.314917127071824
2011-12-01,4.363128491620111
2012-01-01,5.515536723163842
2012-02-01,6.16578947368421
2012-03-01,6.366847826086957
2012-04-01,6.508333333333333
2012-05-01,6.694285714285716
2012-06-01,4.540697674418604
2012-07-01,5.7709359605911335
2012-08-01,5.8575
2012-09-01,6.269495412844037
2012-10-01,6.902777777777779
2012-11-01,7.551104972375692
2012-12-01,7.635474860335195
2013-01-01,9.927966101694915
2013-02-01,10.276315789473685
2013-03-01,9.550271739130435
2013-04-01,9.7625
2013-05-01,11.157142857142858
2013-06-01,7.567829457364342
2013-07-01,9.618226600985222
2013-08-01,9.7625
2013-09-01,9.852064220183486
2013-10-01,9.86111111111111
2013-11-01,9.708563535911603
2013-12-01,8.726256983240223
2014-01-01,13.237288135593221
2014-02-01,12.33157894736842
2014-03-01,12.733695652173914
2014-04-01,11.931944444444444
2014-05-01,11.157142857142858
2014-06-01,9.081395348837209
2014-07-01,13.465517241379311
2014-08-01,12.69125
2014-09-01,10.74770642201835
2014-10-01,11.833333333333334
2014-11-01,11.866022099447514
2014-12-01,10.907821229050278
2015-01-01,14.34039548022599
2015-02-01,13.35921052631579
2015-03-01,13.79483695652174
2015-04-01,14.101388888888888
2015-05-01,14.504285714285716
2015-06-01,9.838178294573643
2015-07-01,12.50369458128079
2015-08-01,13.667499999999999
2015-09-01,12.538990825688074
2015-10-01,12.819444444444445
2015-11-01,11.866022099447514
2015-12-01,10.907821229050278
2016-01-01,12.134180790960452
2016-02-01,13.35921052631579
2016-03-01,11.672554347826088
2016-04-01,11.931944444444444
2016-05-01,11.157142857142858
2016-06-01,8.324612403100776
2016-07-01,9.618226600985222
2016-08-01,9.7625
2016-09-01,8.956422018348624
2016-10-01,9.86111111111111
2016-11-01,10.787292817679559
2016-12-01,9.81703910614525
2017-01-01,12.134180790960452
2017-02-01,12.33157894736842
2017-03-01,12.733695652173914
2017-04-01,10.847222222222221
2017-05-01,11.157142857142858
2017-06-01,8.324612403100776
2017-07-01,10.580049261083744
2017-08-01,10.73875
2017-09-01,8.956422018348624
2017-10-01,10.847222222222223
2017-11-01,10.787292817679559
2017-12-01,8.726256983240223
2018-01-01,11.031073446327683
2018-02-01,11.303947368421053
2018-03-01,11.672554347826088
2018-04-01,13.016666666666666
2018-05-01,11.157142857142858
2018-06-01,7.567829457364342
2018-07-01,9.618226600985222
2018-08-01,10.73875
2018-09-01,9.852064220183486
2018-10-01,9.86111111111111
2018-11-01,9.708563535911603
2018-12-01,8.726256983240223
2019-01-01,12.134180790960452
2019-02-01,11.303947368421053
2019-03-01,10.611413043478262
2019-04-01,10.847222222222221
2019-05-01,11.157142857142858
2019-06-01,7.567829457364342
2019-07-01,9.618226600985222
2019-08-01,9.7625
2019-09-01,9.852064220183486
2019-10-01,9.86111111111111
2019-11-01,9.708563535911603
2019-12-01,8.726256983240223
2020-01-01,12.134180790960452
2020-02-01,11.303947368421053
2020-03-01,8.48913043478261
2020-04-01,9.7625
2020-05-01,11.157142857142858
2020-06-01,8.324612403100776
2020-07-01,10.580049261083744
2020-08-01,10.73875
2020-09-01,9.852064220183486
2020-10-01,9.86111111111111
2020-11-01,9.708563535911603
2020-12-01,8.726256983240223
2021-01-01,9.927966101694915
2021-02-01,10.276315789473685
2021-03-01,9.550271739130435
2021-04-01,9.7625
2021-05-01,10.041428571428574
2021-06-01,6.811046511627907
2021-07-01,8.656403940886701
2021-08-01,8.786249999999999
2021-09-01,8.956422018348624
2021-10-01,9.86111111111111
2021-11-01,10.787292817679559
2021-12-01,9.81703910614525
2022-01-01,15.443502824858758
2022-02-01,14.386842105263158
2022-03-01,14.855978260869566
2022-04-01,14.101388888888888
2022-05-01,14.504285714285716
2022-06-01,10.594961240310077
2022-07-01,11.541871921182267
2022-08-01,12.69125
2022-09-01,11.643348623853212
2022-10-01,12.819444444444445
2022-11-01,12.944751381215472
2022-12-01,11.998603351955307
2023-01-01,16.546610169491526
2023-02-01,16.442105263157895
2023-03-01,16.97826086956522
2023-04-01,16.270833333333332
2023-05-01,16.735714285714288
2023-06-01,12.108527131782946
2023-07-01,15.389162561576356
2023-08-01,21.4775
2023-09-01,31.347477064220186
2023-10-01,16.76388888888889
2023-11-01,16.18093922651934
2023-12-01,14.180167597765362
2024-01-01,19.85593220338983
2024-02-01,19.525000000000002
2024-03-01,18.039402173913047
2024-04-01,18.440277777777776
2024-05-01,17.851428571428574
2024-06-01,12.108527131782946
2024-07-01,15.389162561576356
2024-08-01,15.62
2024-09-01,17.017201834862387
2024-10-01,21.694444444444446
2024-11-01,17.259668508287294
2024-12-01,15.27094972067039
2025-01-01,23.165254237288135
2025-02-01,23.635526315789473
2025-03-01,27.58967391304348
2025-04-01,29.287499999999998
2025-05-01,26.777142857142863
2025-06-01,75.67829457364341
2025-07-01,45.20566502463055
2025-08-01,32.216249999999995
2025-09-01,29.55619266055046
2025-10-01,33.52777777777778
2025-11-01,35.598066298342545
2025-12-01,51.26675977653631
