date,apply for work
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,7.81475318912923
2004-06-01,6.860740122426266
2004-07-01,9.28602811950791
2004-08-01,7.1720477021524145
2004-09-01,3.806050783360346
2004-10-01,0.0
2004-11-01,4.925195749440716
2004-12-01,4.348765432098766
2005-01-01,8.182346109175379
2005-02-01,4.148998822143699
2005-03-01,5.113966318234612
2005-04-01,7.407991587802314
2005-05-01,7.81475318912923
2005-06-01,6.860740122426266
2005-07-01,6.190685413005273
2005-08-01,6.147469458987784
2005-09-01,6.660588870880606
2005-10-01,5.851328903654485
2005-11-01,5.910234899328859
2005-12-01,5.435956790123457
2006-01-01,6.136759581881535
2006-02-01,4.148998822143699
2006-03-01,5.113966318234612
2006-04-01,4.6299947423764465
2006-05-01,3.907376594564615
2006-06-01,6.860740122426266
2006-07-01,7.222466315172818
2006-08-01,4.098312972658523
2006-09-01,5.709076175040519
2006-10-01,5.851328903654485
2006-11-01,4.925195749440716
2006-12-01,6.523148148148149
2007-01-01,7.159552845528457
2007-02-01,6.2234982332155475
2007-03-01,6.136759581881535
2007-04-01,8.333990536277604
2007-05-01,7.81475318912923
2007-06-01,8.820951585976628
2007-07-01,9.28602811950791
2007-08-01,8.196625945317045
2007-09-01,8.563614262560778
2007-10-01,8.776993355481729
2007-11-01,7.880313199105146
2007-12-01,6.523148148148149
2008-01-01,12.27351916376307
2008-02-01,9.335247349823321
2008-03-01,9.205139372822302
2008-04-01,9.259989484752893
2008-05-01,11.722129783693845
2008-06-01,13.721480244852533
2008-07-01,12.381370826010546
2008-08-01,10.245782431646306
2008-09-01,13.321177741761211
2008-10-01,9.752214839424143
2008-11-01,12.805508948545862
2008-12-01,10.871913580246915
2009-01-01,15.341898954703835
2009-02-01,15.55874558303887
2009-03-01,13.29631242740999
2009-04-01,12.96398527865405
2009-05-01,13.675818080976153
2009-06-01,16.661797440178077
2009-07-01,16.508494434680728
2009-08-01,19.466986620127983
2009-09-01,13.321177741761211
2009-10-01,14.628322259136214
2009-11-01,15.760626398210292
2009-12-01,14.133487654320989
2010-01-01,17.38748548199768
2010-02-01,14.521495877502945
2010-03-01,17.38748548199768
2010-04-01,16.667981072555207
2010-05-01,17.583194675540767
2010-06-01,18.622008903728435
2010-07-01,19.603837141183362
2010-08-01,17.41783013379872
2010-09-01,16.17571582928147
2010-10-01,15.603543743078628
2010-11-01,15.760626398210292
2010-12-01,13.046296296296298
2011-01-01,19.433072009291525
2011-02-01,18.670494699646643
2011-03-01,19.433072009291525
2011-04-01,17.593980021030497
2011-05-01,20.51372712146423
2011-06-01,21.56232609905398
2011-07-01,19.603837141183362
2011-08-01,20.491564863292613
2011-09-01,18.078741220961643
2011-10-01,17.553986710963457
2011-11-01,17.730704697986578
2011-12-01,17.395061728395063
2012-01-01,21.47865853658537
2012-02-01,20.744994110718494
2012-03-01,19.433072009291525
2012-04-01,19.445977917981075
2012-05-01,21.490571270105384
2012-06-01,27.442960489705065
2012-07-01,25.79452255418864
2012-08-01,26.639034322280395
2012-09-01,20.933279308481904
2012-10-01,20.4796511627907
2012-11-01,19.700782997762865
2012-12-01,20.65663580246914
2013-01-01,23.524245063879214
2013-02-01,21.782243816254418
2013-03-01,20.455865272938446
2013-04-01,20.371976866456365
2013-05-01,24.421103716028846
2013-06-01,23.52253756260434
2013-07-01,24.76274165202109
2013-08-01,25.614456079115765
2013-09-01,20.933279308481904
2013-10-01,22.430094130675528
2013-11-01,21.67086129753915
2013-12-01,21.74382716049383
2014-01-01,25.56983159117306
2014-02-01,22.819493521790342
2014-03-01,23.524245063879214
2014-04-01,22.223974763406943
2014-05-01,24.421103716028846
2014-06-01,23.52253756260434
2014-07-01,25.79452255418864
2014-08-01,22.540721349621876
2014-09-01,22.836304700162074
2014-10-01,21.454872646733115
2014-11-01,20.68582214765101
2014-12-01,21.74382716049383
2015-01-01,24.54703832752614
2015-02-01,22.819493521790342
2015-03-01,22.501451800232292
2015-04-01,22.223974763406943
2015-05-01,22.467415418746537
2015-06-01,26.462854757929883
2015-07-01,26.826303456356182
2015-08-01,25.614456079115765
2015-09-01,24.73933009184225
2015-10-01,21.454872646733115
2015-11-01,21.67086129753915
2015-12-01,22.83101851851852
2016-01-01,24.54703832752614
2016-02-01,24.89399293286219
2016-03-01,24.54703832752614
2016-04-01,24.07597266035752
2016-05-01,23.44425956738769
2016-06-01,25.482749026154703
2016-07-01,23.730960749853544
2016-08-01,24.589877835951135
2016-09-01,21.884792004321987
2016-10-01,22.430094130675528
2016-11-01,24.625978747203582
2016-12-01,22.83101851851852
2017-01-01,27.615418118466902
2017-02-01,28.005742049469966
2017-03-01,27.615418118466902
2017-04-01,24.07597266035752
2017-05-01,26.37479201331115
2017-06-01,24.502643294379524
2017-07-01,25.79452255418864
2017-08-01,27.66361256544503
2017-09-01,25.690842787682335
2017-10-01,25.35575858250277
2017-11-01,25.611017897091724
2017-12-01,23.918209876543212
2018-01-01,26.59262485481998
2018-02-01,26.96849234393404
2018-03-01,26.59262485481998
2018-04-01,25.9279705573081
2018-05-01,26.37479201331115
2018-06-01,28.423066221480248
2018-07-01,27.858084358523726
2018-08-01,28.688190808609658
2018-09-01,26.642355483522422
2018-10-01,29.256644518272427
2018-11-01,27.58109619686801
2018-12-01,27.179783950617285
2019-01-01,30.68379790940767
2019-02-01,30.080241460541814
2019-03-01,28.638211382113827
2019-04-01,27.77996845425868
2019-05-01,30.282168607875768
2019-06-01,30.383277685030606
2019-07-01,27.858084358523726
2019-08-01,28.688190808609658
2019-09-01,28.545380875202593
2019-10-01,28.281423034330015
2019-11-01,26.596057046979865
2019-12-01,27.179783950617285
2020-01-01,32.729384436701515
2020-02-01,31.11749116607774
2020-03-01,55.230836236933804
2020-04-01,64.81992639327025
2020-05-01,48.84220743205769
2020-06-01,43.12465219810796
2020-07-01,41.27123608670182
2020-08-01,35.86023851076207
2020-09-01,36.157482441923285
2020-10-01,34.1327519379845
2020-11-01,32.50629194630873
2020-12-01,33.70293209876544
2021-01-01,36.82055749128921
2021-02-01,37.340989399293285
2021-03-01,35.79776422764228
2021-04-01,35.18796004206099
2021-05-01,33.21270105379923
2021-06-01,32.34348914858097
2021-07-01,31.985207967193908
2021-08-01,39.95855148342059
2021-09-01,33.302944354403024
2021-10-01,35.107973421926914
2021-11-01,33.49133109619687
2021-12-01,33.70293209876544
2022-01-01,46.02569686411151
2022-02-01,43.564487632508836
2022-03-01,45.002903600464585
2022-04-01,44.447949526813886
2022-05-01,43.95798668885192
2022-06-01,42.14454646633278
2022-07-01,39.207674282366725
2022-08-01,39.95855148342059
2022-09-01,38.06050783360346
2022-10-01,44.860188261351055
2022-11-01,40.386605145413874
2022-12-01,41.31327160493828
2023-01-01,50.116869918699194
2023-02-01,49.78798586572438
2023-03-01,51.13966318234612
2023-04-01,46.299947423764465
2023-05-01,49.81905158069884
2023-06-01,46.0649693934335
2023-07-01,47.46192149970709
2023-08-01,44.05686445607912
2023-09-01,52.33319827120476
2023-10-01,52.66196013289037
2023-11-01,51.22203579418345
2023-12-01,47.836419753086425
2024-01-01,56.25362950058073
2024-02-01,63.2722320376914
2024-03-01,53.18524970963996
2024-04-01,60.189931650893804
2024-05-01,52.7495840266223
2024-06-01,49.00528658875905
2024-07-01,51.58904510837728
2024-08-01,51.22891215823153
2024-09-01,61.84832522960562
2024-10-01,64.36461794019934
2024-11-01,65.01258389261746
2024-12-01,55.44675925925927
2025-01-01,74.66390824622533
2025-02-01,91.27797408716137
2025-03-01,77.7322880371661
2025-04-01,73.15391692954785
2025-05-01,68.37909040488077
2025-06-01,64.68697829716194
2025-07-01,67.06575864089045
2025-08-01,72.74505526468877
2025-09-01,87.53916801728795
2025-10-01,86.79471207087487
2025-11-01,90.62360178970917
2025-12-01,108.71913580246914
