date,part time work
2004-01-01,21.8781862745098
2004-02-01,23.27753544165758
2004-03-01,24.177410617551462
2004-04-01,22.374737945492658
2004-05-01,20.919147843942504
2004-06-01,27.88627353815659
2004-07-01,25.32781124497992
2004-08-01,25.89799809342231
2004-09-01,28.068948891031827
2004-10-01,21.030049261083743
2004-11-01,26.053974221267453
2004-12-01,20.16411980440098
2005-01-01,23.78063725490196
2005-02-01,19.045256270447112
2005-03-01,23.126218851570965
2005-04-01,21.35770440251572
2005-05-01,22.911447638603697
2005-06-01,22.116699702675916
2005-07-01,23.37951807228916
2005-08-01,21.273355576739753
2005-09-01,21.5195274831244
2005-10-01,23.897783251231527
2005-11-01,20.84317937701396
2005-12-01,16.605745721271397
2006-01-01,22.82941176470588
2006-02-01,19.045256270447112
2006-03-01,18.92145178764897
2006-04-01,19.323637316561843
2006-05-01,23.90759753593429
2006-06-01,23.078295341922693
2006-07-01,25.32781124497992
2006-08-01,23.123212583412776
2006-09-01,22.45515911282546
2006-10-01,24.853694581280788
2006-11-01,23.969656283566053
2006-12-01,22.536369193154037
2007-01-01,23.78063725490196
2007-02-01,23.27753544165758
2007-03-01,25.22860238353196
2007-04-01,22.374737945492658
2007-05-01,22.911447638603697
2007-06-01,25.963082259663032
2007-07-01,29.224397590361445
2007-08-01,27.74785510009533
2007-09-01,29.004580520732887
2007-10-01,26.76551724137931
2007-11-01,27.09613319011815
2007-12-01,26.094743276283623
2008-01-01,30.43921568627451
2008-02-01,28.567884405670664
2008-03-01,29.433369447453956
2008-04-01,30.51100628930817
2008-05-01,26.896047227926076
2008-06-01,28.847869177403368
2008-07-01,32.14683734939759
2008-08-01,31.447569113441375
2008-09-01,32.74710703953713
2008-10-01,33.456896551724135
2008-11-01,31.26476906552094
2008-12-01,32.02536674816626
2009-01-01,34.24411764705882
2009-02-01,34.91630316248637
2009-03-01,30.484561213434453
2009-04-01,27.459905660377355
2009-05-01,30.880646817248458
2009-06-01,32.694251734390484
2009-07-01,30.19854417670683
2009-08-01,32.372497616777885
2009-09-01,27.133317261330763
2009-10-01,25.80960591133005
2009-11-01,26.053974221267453
2009-12-01,27.28086797066015
2010-01-01,29.487990196078428
