date,career development
2004-01-01,89.99761503928171
2004-02-01,83.31395966029723
2004-03-01,87.27467333889352
2004-04-01,94.07912875654812
2004-05-01,96.39124293785312
2004-06-01,86.31692283061159
2004-07-01,97.01495098039216
2004-08-01,86.46425339366517
2004-09-01,74.23698523698525
2004-10-01,74.17934782608697
2004-11-01,92.27718988830101
2004-12-01,80.34731420161884
2005-01-01,76.59371492704827
2005-02-01,74.25809447983015
2005-03-01,73.04510703363914
2005-04-01,72.44092914254205
2005-05-01,80.32603578154426
2005-06-01,78.6685878962536
2005-07-01,78.05800653594771
2005-08-01,78.22956259426849
2005-09-01,66.28302253302253
2005-10-01,70.51617015566292
2005-11-01,76.22898295120518
2005-12-01,74.07018027961738
2006-01-01,75.63629349046016
2006-02-01,63.39105626326963
2006-03-01,69.25055601890465
2006-04-01,66.79618141714916
2006-05-01,70.68691148775895
2006-06-01,68.8350144092219
2006-07-01,68.02197712418301
2006-08-01,68.96553544494722
2006-09-01,56.561512561512565
2006-10-01,62.27402039720881
2006-11-01,58.17475014697237
2006-12-01,62.771339220014724
2007-01-01,67.97692199775534
2007-02-01,57.05195063694267
2007-03-01,58.81554072838477
2007-04-01,59.26985111662531
2007-05-01,65.331842435656
2007-06-01,67.74239513288505
2007-07-01,64.67663398692811
2007-08-01,58.672171945701365
2007-09-01,58.32905982905983
2007-10-01,59.52663714439077
2007-11-01,64.19282774838331
2007-12-01,60.26048565121413
2008-01-01,58.4027076318743
2008-02-01,57.05195063694267
2008-03-01,57.86690297470114
2008-04-01,61.151433691756274
2008-05-01,61.04778719397364
2008-06-01,59.001440922190206
2008-07-01,63.56151960784314
2008-08-01,57.64283559577678
2008-09-01,56.561512561512565
2008-10-01,58.61084272678476
2008-11-01,53.15968547912993
2008-12-01,57.74963208241354
2009-01-01,58.4027076318743
2009-02-01,57.05195063694267
2009-03-01,61.66145398943564
2009-04-01,57.38826854149435
2009-05-01,52.47967671060892
2009-06-01,57.90882164585335
2009-07-01,61.3312908496732
2009-08-01,56.613499245852196
2009-09-01,57.4452861952862
2009-10-01,59.52663714439077
2009-11-01,56.168724279835395
2009-12-01,57.74963208241354
2010-01-01,55.53044332210999
2010-02-01,53.429604564755834
2010-03-01,58.81554072838477
2010-04-01,56.44747725392887
2010-05-01,55.69271814187069
2010-06-01,60.09406019852706
2010-07-01,49.065032679738565
2010-08-01,48.37880844645551
2010-09-01,48.60754985754986
2010-10-01,48.53710413311863
2010-11-01,48.14462081128748
2010-12-01,48.96164459161148
2011-01-01,49.78591470258137
2011-02-01,52.52401804670913
2011-03-01,52.17507645259939
2011-04-01,48.92114695340502
2011-05-01,52.47967671060892
2011-06-01,51.353105987832215
2011-07-01,47.94991830065359
2011-08-01,47.349472096530924
2011-09-01,47.72377622377623
2011-10-01,46.70551529790661
2011-11-01,46.138594944150505
2011-12-01,47.70621780721119
2012-01-01,47.87107182940517
2012-02-01,46.18491242038216
2012-03-01,43.63733666944676
2012-04-01,44.21719051557761
2012-05-01,47.124607658505965
2012-06-01,43.704771053474225
2012-07-01,42.374346405228756
2012-08-01,46.32013574660634
2012-09-01,45.072455322455326
2012-10-01,45.78972088030059
2012-11-01,43.129556143445036
2012-12-01,42.68451066961001
2013-01-01,45.956228956228955
2013-02-01,46.18491242038216
2013-03-01,44.58597442313039
2013-04-01,46.098773090708576
2013-05-01,43.9115662272442
2013-06-01,43.704771053474225
2013-07-01,44.60457516339869
2013-08-01,46.32013574660634
2013-09-01,47.72377622377623
2013-10-01,48.53710413311863
2013-11-01,46.138594944150505
2013-12-01,46.4507910228109
2014-01-01,49.78591470258137
2014-02-01,47.99608545647558
2014-03-01,48.38052543786489
2014-04-01,48.92114695340502
2014-05-01,47.124607658505965
2014-06-01,48.07524815882165
2014-07-01,46.83480392156863
2014-08-01,46.32013574660634
2014-09-01,51.25887075887076
2014-10-01,54.031870638754704
2014-11-01,46.138594944150505
2014-12-01,48.96164459161148
2015-01-01,46.91365039281706
2015-02-01,51.61843152866242
2015-03-01,49.32916319154851
2015-04-01,51.743520816101466
2015-05-01,43.9115662272442
2015-06-01,48.07524815882165
2015-07-01,47.94991830065359
2015-08-01,47.349472096530924
2015-09-01,53.02641802641803
2015-10-01,49.45289855072464
2015-11-01,50.15064667842446
2015-12-01,48.96164459161148
2016-01-01,44.04138608305275
2016-02-01,47.99608545647558
2016-03-01,47.43188768418126
2016-04-01,46.098773090708576
2016-05-01,41.76953860640302
2016-06-01,42.61215177713737
2016-07-01,40.14411764705883
2016-08-01,44.26146304675717
2016-09-01,47.72377622377623
2016-10-01,44.873926462694584
