date,full time work
2004-01-01,0.0
2004-02-01,8.075075075075075
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,8.692887931034484
2004-06-01,11.55730659025788
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,5.820346320346321
2004-10-01,7.693848354792561
2004-11-01,0.0
2004-12-01,9.618839427662957
2005-01-01,5.227449455676517
2005-02-01,8.075075075075075
2005-03-01,10.520344287949921
2005-04-01,0.0
2005-05-01,6.7611350574712645
2005-06-01,7.704871060171921
2005-07-01,10.842741935483872
2005-08-01,7.839650145772595
2005-09-01,7.7604617604617605
2005-10-01,11.540772532188841
2005-11-01,9.070839580209896
2005-12-01,4.275039745627981
2006-01-01,9.409409020217732
2006-02-01,6.056306306306306
2006-03-01,7.364241001564944
2006-04-01,6.0291479820627805
2006-05-01,7.727011494252874
2006-06-01,3.8524355300859603
2006-07-01,5.914222873900293
2006-08-01,5.879737609329446
2006-09-01,7.7604617604617605
2006-10-01,7.693848354792561
2006-11-01,7.055097451274364
2006-12-01,7.481319554848967
2007-01-01,9.409409020217732
2007-02-01,7.0656906906906904
2007-03-01,7.364241001564944
2007-04-01,7.034005979073244
2007-05-01,6.7611350574712645
2007-06-01,7.704871060171921
2007-07-01,9.857038123167156
2007-08-01,8.819606413994169
2007-09-01,7.7604617604617605
2007-10-01,10.57904148783977
2007-11-01,9.070839580209896
2007-12-01,6.412559618441971
2008-01-01,9.409409020217732
2008-02-01,8.075075075075075
2008-03-01,11.572378716744913
2008-04-01,10.048579970104633
2008-05-01,11.590517241379311
2008-06-01,11.55730659025788
2008-07-01,9.857038123167156
2008-08-01,13.71938775510204
2008-09-01,10.670634920634921
2008-10-01,10.57904148783977
2008-11-01,11.086581709145428
2008-12-01,11.756359300476948
2009-01-01,12.545878693623642
2009-02-01,10.093843843843844
2009-03-01,11.572378716744913
2009-04-01,13.063153961136024
2009-05-01,9.658764367816094
2009-06-01,12.520415472779371
2009-07-01,10.842741935483872
2009-08-01,12.739431486880466
2009-09-01,12.61075036075036
2009-10-01,14.42596566523605
2009-11-01,13.102323838080961
2009-12-01,13.893879173290939
2010-01-01,13.591368584758944
2010-02-01,15.140765765765765
2010-03-01,14.728482003129889
2010-04-01,17.08258594917788
2010-05-01,15.454022988505749
2010-06-01,14.44663323782235
2010-07-01,15.771260997067449
2010-08-01,15.67930029154519
2010-09-01,13.580808080808081
2010-10-01,13.46423462088698
2010-11-01,14.110194902548727
2010-12-01,16.03139904610493
2011-01-01,18.818818040435463
2011-02-01,17.159534534534533
2011-03-01,17.884585289514867
2011-04-01,20.097159940209266
2011-05-01,17.385775862068968
2011-06-01,19.262177650429802
2011-07-01,19.71407624633431
2011-08-01,18.619169096209912
2011-09-01,19.4011544011544
2011-10-01,17.311158798283262
2011-11-01,17.133808095952027
2011-12-01,16.03139904610493
2012-01-01,19.864307931570764
2012-02-01,19.178303303303302
2012-03-01,19.98865414710485
2012-04-01,20.097159940209266
2012-05-01,20.283405172413794
2012-06-01,20.22528653295129
2012-07-01,22.671187683284458
2012-08-01,24.49890670553936
2012-09-01,22.311327561327563
2012-10-01,19.234620886981403
2012-11-01,19.14955022488756
2012-12-01,19.237678855325914
2013-01-01,21.955287713841372
2013-02-01,22.206456456456458
2013-03-01,24.19679186228482
2013-04-01,25.121449925261587
