date,DoorDash
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,0.0
2007-07-01,0.0
2007-08-01,0.0
2007-09-01,0.0
2007-10-01,0.0
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,0.0
2008-02-01,0.0
2008-03-01,0.0
2008-04-01,0.0
2008-05-01,0.0
2008-06-01,0.0
2008-07-01,0.0
2008-08-01,0.0
2008-09-01,0.0
2008-10-01,0.0
2008-11-01,0.0
2008-12-01,0.0
2009-01-01,0.0
2009-02-01,0.0
2009-03-01,0.0
2009-04-01,0.0
2009-05-01,0.0
2009-06-01,0.0
2009-07-01,0.0
2009-08-01,0.0
2009-09-01,0.0
2009-10-01,0.0
2009-11-01,0.0
2009-12-01,0.0
2010-01-01,0.0
2010-02-01,0.0
2010-03-01,0.0
2010-04-01,0.0
2010-05-01,0.0
2010-06-01,0.0
2010-07-01,0.0
2010-08-01,0.0
2010-09-01,0.0
2010-10-01,0.0
2010-11-01,0.0
2010-12-01,0.0
2011-01-01,0.0
2011-02-01,0.0
2011-03-01,0.0
2011-04-01,0.0
2011-05-01,0.0
2011-06-01,0.0
2011-07-01,0.0
2011-08-01,0.0
2011-09-01,0.0
2011-10-01,0.0
2011-11-01,0.0
2011-12-01,0.0
2012-01-01,0.0
2012-02-01,0.0
2012-03-01,0.0
2012-04-01,0.0
2012-05-01,0.0
2012-06-01,0.0
2012-07-01,0.0
2012-08-01,0.0
2012-09-01,0.0
2012-10-01,0.0
2012-11-01,0.0
2012-12-01,0.0
2013-01-01,0.0
2013-02-01,0.0
2013-03-01,0.0
2013-04-01,0.0
2013-05-01,0.0
2013-06-01,0.0
2013-07-01,0.0
2013-08-01,0.0
2013-09-01,0.0
2013-10-01,0.0
2013-11-01,0.0
2013-12-01,0.0
2014-01-01,0.0
2014-02-01,0.0
2014-03-01,0.0
2014-04-01,0.0
2014-05-01,0.0
2014-06-01,0.0
2014-07-01,0.0
2014-08-01,0.0
2014-09-01,0.0
2014-10-01,0.0
2014-11-01,0.0
2014-12-01,0.0
2015-01-01,0.0
2015-02-01,1.0089070048309179
2015-03-01,1.010738052026618
2015-04-01,1.0034534534534534
2015-05-01,0.9980585424133811
2015-06-01,0.9962731067382229
2015-07-01,1.9506713368359603
2015-08-01,2.0178140096618358
2015-09-01,2.078047263681592
2015-10-01,2.066481137909709
2015-11-01,2.994175627240143
2015-12-01,1.8170201196302338
2016-01-01,2.066481137909709
2016-02-01,2.0178140096618358
2016-03-01,3.032214156079854
2016-04-01,3.01036036036036
2016-05-01,2.994175627240143
2016-06-01,3.9850924269528916
2016-07-01,3.9013426736719206
2016-08-01,4.0356280193236715
2016-09-01,4.156094527363184
2016-10-01,5.166202844774272
2016-11-01,4.990292712066905
2016-12-01,4.542550299075584
2017-01-01,5.166202844774272
2017-02-01,6.053442028985508
2017-03-01,6.064428312159708
2017-04-01,7.024174174174174
2017-05-01,7.984468339307049
2017-06-01,6.97391174716756
2017-07-01,6.827349678925861
2017-08-01,7.062349033816425
2017-09-01,8.312189054726367
2017-10-01,8.265924551638836
2017-11-01,8.98252688172043
2017-12-01,9.085100598151168
2018-01-01,11.3656462585034
2018-02-01,12.106884057971016
2018-03-01,14.150332728372653
2018-04-01,14.048348348348348
2018-05-01,16.966995221027478
2018-06-01,18.929189028026236
2018-07-01,19.506713368359602
2018-08-01,23.20486111111111
2018-09-01,24.936567164179102
2018-10-01,26.864254792826216
2018-11-01,28.943697729988052
2018-12-01,29.07232191408374
2019-01-01,39.26314162028447
2019-02-01,44.39190821256039
2019-03-01,48.515426497277666
2019-04-01,44.15195195195195
2019-05-01,48.90486857825567
2019-06-01,46.82483601669647
2019-07-01,44.86544074722708
2019-08-01,45.400815217391305
2019-09-01,48.834110696517406
2019-10-01,48.562306740878164
2019-11-01,43.91457586618877
2019-12-01,41.79146275149538
2020-01-01,50.62878787878787
2020-02-01,48.42753623188406
2020-03-01,59.63354506957047
2020-04-01,86.296996996997
2020-05-01,74.85439068100358
2020-06-01,64.7577519379845
2020-07-01,70.22416812609457
2020-08-01,76.67693236714976
2020-09-01,74.8097014925373
2020-10-01,74.39332096474952
2020-11-01,73.8563321385902
2020-12-01,80.8573953235454
2021-01-01,87.82544836116263
2021-02-01,85.75709541062803
2021-03-01,84.90199637023592
2021-04-01,83.28663663663663
2021-05-01,82.83885902031064
2021-06-01,81.69439475253428
2021-07-01,74.12551079976649
2021-08-01,77.68583937198068
2021-09-01,75.8487251243781
2021-10-01,72.32683982683982
2021-11-01,72.85827359617682
2021-12-01,76.31484502446982
2022-01-01,100.22433518862088
2022-02-01,90.80163043478261
2022-03-01,81.86978221415606
2022-04-01,81.27972972972972
2022-05-01,83.83691756272401
2022-06-01,83.68694096601072
2022-07-01,86.80487448920023
2022-08-01,77.68583937198068
2022-09-01,78.9657960199005
2022-10-01,77.49304267161409
2022-11-01,74.85439068100358
2022-12-01,74.49782490483959
2023-01-01,87.82544836116263
2023-02-01,87.77490942028986
2023-03-01,89.955686630369
2023-04-01,80.27627627627626
2023-05-01,77.84856630824373
2023-06-01,85.67948717948717
2023-07-01,78.02685347343841
2023-08-01,75.66802536231884
2023-09-01,76.8877487562189
2023-10-01,75.42656153370437
2023-11-01,76.85050776583034
2023-12-01,73.58931484502448
2024-01-01,84.72572665429807
2024-02-01,91.81053743961353
2024-03-01,83.8912583182093
2024-04-01,76.26246246246245
2024-05-01,76.85050776583034
2024-06-01,79.70184853905783
2024-07-01,77.05151780502042
2024-08-01,75.66802536231884
2024-09-01,75.8487251243781
2024-10-01,75.42656153370437
2024-11-01,73.8563321385902
2024-12-01,74.49782490483959
2025-01-01,87.82544836116263
2025-02-01,86.76600241545894
2025-03-01,83.8912583182093
2025-04-01,80.27627627627626
2025-05-01,82.83885902031064
2025-06-01,83.68694096601072
2025-07-01,93.6322241681261
2025-08-01,91.81053743961353
2025-09-01,86.23896144278606
2025-10-01,90.9251700680272
2025-11-01,94.8155615292712
2025-12-01,90.85100598151169
