date,Fiverr
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,0.0
2007-07-01,0.0
2007-08-01,0.0
2007-09-01,0.0
2007-10-01,0.0
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,0.0
2008-02-01,0.0
2008-03-01,0.0
2008-04-01,0.0
2008-05-01,0.0
2008-06-01,0.0
2008-07-01,0.0
2008-08-01,0.0
2008-09-01,0.0
2008-10-01,0.0
2008-11-01,0.0
2008-12-01,0.0
2009-01-01,0.0
2009-02-01,0.0
2009-03-01,0.0
2009-04-01,0.0
2009-05-01,0.0
2009-06-01,0.0
2009-07-01,0.0
2009-08-01,0.0
2009-09-01,0.0
2009-10-01,0.0
2009-11-01,0.0
2009-12-01,0.0
2010-01-01,0.0
2010-02-01,0.0
2010-03-01,4.889049686444766
2010-04-01,1.9872549019607841
2010-05-01,1.9872549019607841
2010-06-01,2.91235632183908
2010-07-01,3.6621499548328815
2010-08-01,2.8670438472418676
2010-09-01,4.126208651399491
2010-10-01,5.197435897435897
2010-11-01,4.229525299947835
2010-12-01,4.452498627127952
2011-01-01,4.9754540991654395
2011-02-01,4.924684159378037
2011-03-01,4.889049686444766
2011-04-01,5.961764705882352
2011-05-01,5.961764705882352
2011-06-01,5.82471264367816
2011-07-01,7.324299909665763
2011-08-01,8.601131541725602
2011-09-01,8.252417302798982
2011-10-01,9.355384615384615
2011-11-01,9.51643192488263
2011-12-01,10.018121911037891
2012-01-01,10.945999018163967
2012-02-01,9.849368318756074
2012-03-01,11.733719247467437
2012-04-01,13.91078431372549
2012-05-01,12.917156862745097
2012-06-01,12.620210727969347
2012-07-01,28.38166214995483
2012-08-01,16.246581801037248
2012-09-01,20.631043256997454
2012-10-01,15.59230769230769
2012-11-01,16.91810119979134
2012-12-01,17.809994508511807
2013-01-01,18.90672557682867
2013-02-01,17.728862973760933
2013-03-01,17.600578871201158
2013-04-01,16.891666666666666
2013-05-01,20.866176470588233
2013-06-01,20.38649425287356
2013-07-01,18.310749774164407
2013-08-01,18.15794436586516
2013-09-01,19.59949109414758
2013-10-01,21.82923076923077
2013-11-01,20.090245174752216
2013-12-01,21.14936847885777
2014-01-01,19.901816396661758
2014-02-01,23.638483965014576
2014-03-01,21.51181862035697
2014-04-01,22.853431372549018
2014-05-01,23.84705882352941
2014-06-01,23.29885057471264
2014-07-01,22.88843721770551
2014-08-01,23.892032060348896
2014-09-01,25.78880407124682
2014-10-01,25.987179487179485
2014-11-01,24.319770474700054
2014-12-01,24.488742449203734
2015-01-01,23.88217967599411
2015-02-01,25.60835762876579
2015-03-01,26.400868306801737
2015-04-01,26.827941176470585
2015-05-01,27.82156862745098
2015-06-01,32.035919540229884
2015-07-01,29.297199638663052
2015-08-01,28.670438472418674
2015-09-01,28.883460559796436
2015-10-01,32.22410256410256
2015-11-01,27.49191444966093
2015-12-01,30.054365733113674
2016-01-01,25.872361315660285
2016-02-01,26.5932944606414
2016-03-01,28.356488181379643
2016-04-01,27.82156862745098
2016-05-01,29.80882352941176
2016-06-01,31.065134099616856
2016-07-01,23.80397470641373
2016-08-01,24.84771334276285
2016-09-01,24.757251908396945
2016-10-01,24.947692307692307
2016-11-01,26.43453312467397
2016-12-01,26.71499176276771
2017-01-01,37.81345115365734
2017-02-01,38.41253644314869
2017-03-01,38.134587554269174
2017-04-01,36.764215686274504
2017-05-01,34.77696078431372
2017-06-01,33.97749042145593
2017-07-01,33.874887082204154
2017-08-01,33.44884488448845
2017-09-01,31.978117048346054
2017-10-01,33.26358974358974
2017-11-01,32.778821074595726
2017-12-01,30.054365733113674
2018-01-01,37.81345115365734
2018-02-01,37.42759961127308
2018-03-01,37.15677761698022
2018-04-01,37.7578431372549
2018-05-01,35.77058823529411
2018-06-01,35.91906130268199
2018-07-01,33.874887082204154
2018-08-01,42.04997642621405
2018-09-01,40.23053435114504
2018-10-01,39.50051282051282
2018-11-01,45.467396974439225
2018-12-01,40.072487644151565
2019-01-01,43.78399607265587
2019-02-01,41.367346938775505
2019-03-01,37.15677761698022
2019-04-01,37.7578431372549
2019-05-01,43.719607843137254
2019-06-01,57.27634099616858
2019-07-01,44.8613369467028
2019-08-01,43.96133899104196
2019-09-01,44.356743002544526
2019-10-01,45.737435897435894
2019-11-01,41.237871674491394
2019-12-01,42.29873695771554
2020-01-01,46.76926853215513
2020-02-01,46.292031098153544
2020-03-01,46.93487698986975
2020-04-01,60.61127450980391
2020-05-01,65.57941176470588
2020-06-01,62.13026819923371
2020-07-01,62.25654923215899
2020-08-01,66.8976897689769
2020-09-01,69.11399491094147
2020-10-01,63.40871794871794
2020-11-01,58.15597287428273
2020-12-01,65.67435475013728
2021-01-01,63.685812469317625
2021-02-01,79.7798833819242
2021-03-01,88.98070429329474
2021-04-01,65.57941176470588
2021-05-01,66.57303921568626
2021-06-01,61.15948275862068
2021-07-01,55.847786811201445
2021-08-01,57.34087694483735
2021-09-01,59.83002544529262
2021-10-01,61.329743589743586
2021-11-01,70.84454877412624
2021-12-01,66.78747940691927
2022-01-01,99.50908198330879
2022-02-01,93.5689990281827
2022-03-01,89.95851423058369
2022-04-01,91.41372549019607
2022-05-01,84.45833333333333
2022-06-01,82.51676245210727
2022-07-01,75.98961156278229
2022-08-01,82.18859028760019
2022-09-01,86.65038167938931
2022-10-01,85.23794871794871
2022-11-01,84.5905059989567
2022-12-01,89.04997254255903
2023-01-01,93.53853706431026
2023-02-01,86.67444120505344
2023-03-01,84.09165460684997
2023-04-01,89.42647058823529
2023-05-01,84.45833333333333
2023-06-01,80.57519157088122
2023-07-01,81.48283649503162
2023-08-01,81.23290900518624
2023-09-01,78.39796437659032
2023-10-01,80.04051282051282
2023-11-01,78.24621804903495
2023-12-01,75.69247666117518
2024-01-01,75.62690230731468
2024-02-01,75.84013605442176
2024-03-01,72.35793535938254
2024-04-01,72.53480392156862
2024-05-01,69.55392156862744
2024-06-01,66.01340996168582
2024-07-01,71.41192411924119
2024-08-01,69.76473361621878
2024-09-01,66.01933842239185
2024-10-01,66.52717948717948
2024-11-01,64.50026082420449
2024-12-01,65.67435475013728
2025-01-01,72.64162984781541
2025-02-01,67.9606413994169
2025-03-01,65.51326579835987
2025-04-01,67.56666666666666
2025-05-01,67.56666666666666
2025-06-01,67.95498084291187
2025-07-01,82.39837398373983
2025-08-01,75.49882131070251
2025-09-01,67.05089058524173
2025-10-01,65.4876923076923
2025-11-01,70.84454877412624
2025-12-01,65.67435475013728
