date,internship
2004-01-01,52.783941780004774
2004-02-01,50.758205307262564
2004-03-01,50.314821834723276
2004-04-01,48.56489242805253
2004-05-01,46.3040293040293
2004-06-01,44.63629943502825
2004-07-01,46.59886058981233
2004-08-01,42.72412336290663
2004-09-01,41.62436676798379
2004-10-01,40.5921835839599
2004-11-01,47.744053359048536
2004-12-01,48.13699964576692
2005-01-01,48.259603913147224
2005-02-01,47.815700651769085
2005-03-01,47.918877937831695
2005-04-01,49.447890472198935
2005-05-01,46.3040293040293
2005-06-01,40.810330912025826
2005-07-01,40.95051385165326
2005-08-01,38.718736797634136
2005-09-01,37.35520094562647
2005-10-01,37.62202380952381
2005-11-01,40.6332369013179
2005-12-01,41.42020899752037
2006-01-01,42.22715342400382
2006-02-01,42.66631750465549
2006-03-01,41.52969421278747
2006-04-01,37.96891589829561
2006-05-01,37.04322344322344
2006-06-01,45.91162227602906
2006-07-01,39.5384271671135
2006-08-01,36.04847908745247
2006-09-01,33.08603512326916
2006-10-01,33.66181077694235
2006-11-01,36.56991321118611
2006-12-01,39.18127878143819
2007-01-01,44.4893223574326
2007-02-01,43.401943668528865
2007-03-01,43.12699014404852
2007-04-01,41.50090807488125
2007-05-01,39.35842490842491
2007-06-01,30.60774818401937
2007-07-01,33.89008042895443
2007-08-01,36.04847908745247
2007-09-01,33.08603512326916
2007-10-01,38.61207706766917
2007-11-01,40.6332369013179
2007-12-01,41.42020899752037
2008-01-01,46.751491290861374
2008-02-01,43.401943668528865
2008-03-01,45.52293404094011
2008-04-01,45.03290025146689
2008-05-01,42.831227106227104
2008-06-01,36.9843623890234
2008-07-01,38.12634048257373
2008-08-01,34.71335023236164
2008-09-01,37.35520094562647
2008-10-01,39.602130325814535
2008-11-01,39.61740597878496
2008-12-01,44.77860432164364
2009-01-01,46.751491290861374
2009-02-01,51.49383147113594
2009-03-01,49.516173869092746
2009-04-01,46.79889633975971
2009-05-01,47.461630036630034
2009-06-01,40.810330912025826
2009-07-01,40.95051385165326
2009-08-01,41.3889945078158
2009-09-01,40.55707531239446
2009-10-01,39.602130325814535
2009-11-01,44.696560591449696
2009-12-01,44.77860432164364
2010-01-01,48.259603913147224
2010-02-01,50.022579143389194
2010-03-01,51.113469800353805
2010-04-01,50.33088851634535
2010-05-01,46.3040293040293
2010-06-01,40.810330912025826
2010-07-01,36.71425379803396
2010-08-01,38.718736797634136
2010-09-01,36.287909490037144
2010-10-01,35.64191729323308
2010-11-01,40.6332369013179
2010-12-01,42.53967410556146
2011-01-01,48.259603913147224
2011-02-01,48.551326815642454
2011-03-01,51.113469800353805
2011-04-01,46.79889633975971
2011-05-01,48.61923076923077
2011-06-01,43.36097659402744
2011-07-01,42.36260053619303
2011-08-01,44.05925221799746
2011-09-01,41.62436676798379
2011-10-01,41.58223684210526
2011-11-01,42.6648987463838
2011-12-01,44.77860432164364
2012-01-01,49.01366022429015
2012-02-01,48.551326815642454
2012-03-01,45.52293404094011
2012-04-01,49.447890472198935
2012-05-01,48.61923076923077
2012-06-01,45.91162227602906
2012-07-01,45.18677390527257
2012-08-01,45.3943810730883
2012-09-01,44.82624113475177
2012-10-01,43.56234335839599
2012-11-01,46.72822243651559
2012-12-01,44.77860432164364
2013-01-01,49.01366022429015
2013-02-01,53.70070996275605
2013-03-01,51.912117765984334
2013-04-01,52.09688460463816
2013-05-01,59.037637362637355
2013-06-01,127.5322841000807
2013-07-01,69.19224754244861
2013-08-01,61.415927334178285
