date,child care assistance
2004-01-01,33.598981077147016
2004-02-01,29.846823324630112
2004-03-01,27.102739726027394
2004-04-01,27.391373801916934
2004-05-01,26.817018072289155
2004-06-01,31.44880785413745
2004-07-01,27.372243839169908
2004-08-01,21.61029842012873
2004-09-01,25.383464005702066
2004-10-01,28.387394312067638
2004-11-01,36.92738407699038
2004-12-01,31.921587608906098
2005-01-01,30.719068413391557
2005-02-01,29.846823324630112
2005-03-01,35.00770547945205
2005-04-01,43.19408945686901
2005-05-01,32.776355421686745
2005-06-01,41.6234221598878
2005-07-01,41.05836575875486
2005-08-01,32.41544763019309
2005-09-01,34.78474697077691
2005-10-01,40.553420445810914
2005-11-01,38.08136482939633
2005-12-01,28.090997095837366
2006-01-01,36.47889374090247
2006-02-01,41.32637075718016
2006-03-01,37.26626712328767
2006-04-01,38.98003194888179
2006-05-01,49.66114457831325
2006-06-01,36.07363253856943
2006-07-01,37.63683527885863
2006-08-01,38.58981860737273
2006-09-01,35.72487526728439
2006-10-01,49.677940046118366
2006-11-01,43.85126859142608
2006-12-01,34.47531461761859
2007-01-01,45.11863173216885
2007-02-01,39.030461270670145
2007-03-01,50.817636986301366
2007-04-01,47.40814696485623
2007-05-01,52.64081325301204
2007-06-01,48.09817671809257
2007-07-01,49.61219195849546
2007-08-01,54.02574605032182
2007-09-01,47.0064148253742
2007-10-01,48.66410453497309
2007-11-01,46.15923009623798
2007-12-01,57.458857696030975
2008-01-01,55.6783114992722
2008-02-01,47.066144473455175
2008-03-01,50.817636986301366
2008-04-01,56.88977635782748
2008-05-01,51.64759036144578
2008-06-01,51.798036465638155
2008-07-01,53.0337224383917
2008-08-01,52.48215330602691
2008-09-01,57.34782608695652
2008-10-01,54.747117601844735
2008-11-01,57.69903762029747
2008-12-01,57.458857696030975
2009-01-01,57.59825327510917
2009-02-01,51.65796344647519
2009-03-01,62.110445205479444
2009-04-01,58.99680511182109
2009-05-01,61.57981927710843
2009-06-01,70.29733520336606
2009-07-01,72.70752269779507
2009-08-01,69.46167349327091
2009-09-01,67.68923734853885
2009-10-01,60.83013066871637
2009-11-01,71.54680664916886
2009-12-01,61.28944820909971
2010-01-01,71.99781659388647
2010-02-01,65.43342036553524
2010-03-01,70.0154109589041
2010-04-01,73.74600638977637
2010-05-01,65.55271084337349
2010-06-01,73.07223001402525
2010-07-01,66.71984435797665
2010-08-01,71.77706260971327
2010-09-01,73.33000712758376
2010-10-01,60.83013066871637
2010-11-01,75.0087489063867
2010-12-01,70.22749273959342
2011-01-01,78.71761280931587
2011-02-01,71.17319408181027
2011-03-01,75.66181506849314
2011-04-01,68.47843450479233
2011-05-01,65.55271084337349
2011-06-01,66.59747545582049
2011-07-01,72.70752269779507
2011-08-01,72.54885898186073
2011-09-01,73.33000712758376
2011-10-01,67.92697924673328
2011-11-01,63.468941382327216
2011-12-01,68.95062923523717
2012-01-01,78.71761280931587
2012-02-01,79.2088772845953
2012-03-01,77.92037671232876
2012-04-01,81.120607028754
2012-05-01,79.4578313253012
2012-06-01,75.84712482468444
2012-07-01,76.98443579766537
2012-08-01,77.17963721474545
2012-09-01,76.1503920171062
2012-10-01,75.02382782475019
2012-11-01,72.70078740157481
2012-12-01,61.28944820909971
2013-01-01,72.95778748180494
2013-02-01,71.17319408181027
2013-03-01,71.14469178082192
2013-04-01,77.96006389776358
2013-05-01,74.49171686746988
2013-06-01,67.52244039270688
2013-07-01,72.70752269779507
2013-08-01,76.407840842598
2013-09-01,75.21026372059872
2013-10-01,69.95465026902383
2013-11-01,69.23884514435696
2013-12-01,72.7812197483059
2014-01-01,74.87772925764192
2014-02-01,71.17319408181027
2014-03-01,66.62756849315068
2014-04-01,72.69249201277955
2014-05-01,71.51204819277108
2014-06-01,67.52244039270688
2014-07-01,72.70752269779507
2014-08-01,74.8642480983031
2014-09-01,73.33000712758376
2014-10-01,70.9684857801691
2014-11-01,66.93088363954506
2014-12-01,71.50435624394966
2015-01-01,71.99781659388647
2015-02-01,68.87728459530027
2015-03-01,73.40325342465752
2015-04-01,69.53194888178913
2015-05-01,68.53237951807229
2015-06-01,67.52244039270688
2015-07-01,76.98443579766537
2015-08-01,72.54885898186073
2015-09-01,78.03064861012118
2015-10-01,75.02382782475019
2015-11-01,68.08486439195102
2015-12-01,74.05808325266214
2016-01-01,65.27802037845706
2016-02-01,71.17319408181027
2016-03-01,65.49828767123287
2016-04-01,70.58546325878595
2016-05-01,77.47138554216866
2016-06-01,74.92215988779805
2016-07-01,64.15369649805447
2016-08-01,67.918080748976
2016-09-01,65.80898075552388
2016-10-01,60.83013066871637
2016-11-01,62.314960629921266
2016-12-01,62.56631171345595
2017-01-01,65.27802037845706
2017-02-01,60.84160139251523
2017-03-01,67.75684931506848
2017-04-01,68.47843450479233
2017-05-01,71.51204819277108
2017-06-01,73.07223001402525
2017-07-01,59.021400778210115
2017-08-01,62.51550614394382
2017-09-01,58.287954383464005
2017-10-01,68.94081475787856
2017-11-01,65.77690288713912
2017-12-01,61.28944820909971
2018-01-01,60.47816593886463
2018-02-01,61.989556135770236
2018-03-01,66.62756849315068
2018-04-01,61.1038338658147
2018-05-01,62.5730421686747
2018-06-01,61.04768583450211
2018-07-01,57.310635538262
2018-08-01,62.51550614394382
2018-09-01,58.287954383464005
2018-10-01,63.871637202152186
2018-11-01,56.54505686789152
2018-12-01,61.28944820909971
