date,housing assistance
2004-01-01,48.724611708482676
2004-02-01,42.312250598563445
2004-03-01,44.48623795027905
2004-04-01,51.33748741188319
2004-05-01,56.6002478314746
2004-06-01,60.68824404761904
2004-07-01,45.792767503302514
2004-08-01,51.78730158730159
2004-09-01,46.50890947968638
2004-10-01,44.168772563176894
2004-11-01,41.35935414998666
2004-12-01,41.741424619640384
2005-01-01,54.5715651135006
2005-02-01,50.991686618781586
2005-03-01,51.72818366311517
2005-04-01,48.25723816717019
2005-05-01,46.49306071871128
2005-06-01,52.2852564102564
2005-07-01,46.69066490532805
2005-08-01,47.163435374149664
2005-09-01,70.73229983368971
2005-10-01,51.03947051744886
2005-11-01,51.15499065919402
2005-12-01,46.254011065006914
2006-01-01,46.77562724014337
2006-02-01,49.90675711625432
2006-03-01,49.659056316590565
2006-04-01,49.28398791540786
2006-05-01,51.54665427509293
2006-06-01,52.2852564102564
2006-07-01,52.97594671950683
2006-08-01,54.561621315192745
2006-09-01,44.57103825136612
2006-10-01,52.020998796630565
2006-11-01,48.97818254603683
2006-12-01,41.741424619640384
2007-01-01,50.67359617682199
2007-02-01,46.65196860867252
2007-03-01,50.69361998985286
2007-04-01,52.36423716012085
2007-05-01,54.57881040892193
2007-06-01,49.484260531135526
2007-07-01,52.97594671950683
2007-08-01,51.78730158730159
2007-09-01,52.32252316464718
2007-10-01,51.03947051744886
2007-11-01,52.24339471577262
2007-12-01,46.254011065006914
2008-01-01,51.64808841099164
2008-02-01,50.991686618781586
2008-03-01,51.72818366311517
2008-04-01,56.47123615307151
2008-05-01,52.557372986369266
2008-06-01,54.152586996336986
2008-07-01,62.852818141787765
2008-08-01,65.65890022675737
2008-09-01,67.8254929912093
2008-10-01,67.7254512635379
2008-11-01,66.39264745129437
2008-12-01,72.20138312586445
2009-01-01,68.21445639187576
2009-02-01,75.94506517690874
2009-03-01,81.73053018772197
2009-04-01,74.95273162134946
2009-05-01,75.8039033457249
2009-06-01,76.56055402930401
2009-07-01,76.32127917217086
2009-08-01,74.90663265306122
2009-09-01,75.57697790449038
2009-10-01,78.5222623345367
2009-11-01,77.27668801708033
2009-12-01,71.07323651452282
2010-01-01,76.98488649940263
2010-02-01,73.77520617185421
2010-03-01,82.76509386098427
2010-04-01,74.95273162134946
2010-05-01,73.78246592317224
2010-06-01,70.95856227106226
2010-07-01,62.852818141787765
2010-08-01,61.03503401360545
2010-09-01,58.13613684960798
2010-10-01,53.984055354993984
2010-11-01,53.33179877235121
2010-12-01,50.766597510373444
2011-01-01,62.36750298685783
2011-02-01,59.671122638999734
2011-03-01,61.0392567224759
2011-04-01,57.49798590130917
2011-05-01,61.653841387856254
2011-06-01,60.68824404761904
2011-07-01,62.852818141787765
2011-08-01,64.73412698412699
2011-09-01,57.16720123544785
2011-10-01,59.873225030084235
2011-11-01,57.6854149986656
2011-12-01,68.81694329183955
2012-01-01,64.31648745519713
2012-02-01,62.925911146581534
2012-03-01,60.00469304921359
2012-04-01,62.63173464249749
2012-05-01,61.653841387856254
2012-06-01,63.48923992673991
2012-07-01,59.2612285336856
2012-08-01,60.11026077097506
2012-09-01,58.13613684960798
2012-10-01,58.891696750902526
2012-11-01,62.03903122497998
2012-12-01,53.022890733056705
2013-01-01,58.46953405017921
2013-02-01,56.416334131417926
2013-03-01,54.831874682902075
2013-04-01,56.47123615307151
2013-05-01,55.589529120198264
2013-06-01,55.08625228937728
2013-07-01,57.465433729634526
2013-08-01,60.11026077097506
2013-09-01,56.19826562128771
2013-10-01,51.03947051744886
2013-11-01,53.33179877235121
2013-12-01,56.4073305670816
2014-01-01,58.46953405017921
2014-02-01,59.671122638999734
2014-03-01,54.831874682902075
2014-04-01,63.658484390735154
2014-05-01,58.62168525402726
2014-06-01,57.88724816849816
2014-07-01,60.159125935711145
2014-08-01,53.63684807256236
2014-09-01,57.16720123544785
2014-10-01,54.965583634175694
2014-11-01,53.33179877235121
2014-12-01,53.022890733056705
2015-01-01,53.597072879330945
2015-02-01,52.07661612130886
2015-03-01,53.79731100963978
2015-04-01,53.390986908358514
2015-05-01,53.5680916976456
2015-06-01,55.08625228937728
2015-07-01,61.05702333773668
2015-08-01,53.63684807256236
2015-09-01,55.22933000712758
2015-10-01,52.020998796630565
2015-11-01,51.15499065919402
2015-12-01,50.766597510373444
2016-01-01,50.67359617682199
2016-02-01,49.90675711625432
2016-03-01,51.72818366311517
2016-04-01,51.33748741188319
2016-05-01,51.54665427509293
2016-06-01,52.2852564102564
2016-07-01,51.18015191545575
2016-08-01,50.862528344671205
2016-09-01,47.47784509384652
2016-10-01,47.11335740072202
2016-11-01,50.06658660261542
2016-12-01,48.51030428769018
2017-01-01,47.750119474313024
2017-02-01,49.90675711625432
2017-03-01,46.55536529680365
2017-04-01,50.310737663645526
2017-05-01,49.52521685254027
2017-06-01,47.616929945054935
2017-07-01,46.69066490532805
2017-08-01,49.93775510204082
2017-09-01,55.22933000712758
2017-10-01,53.002527075812274
2017-11-01,52.24339471577262
2017-12-01,49.63845089903181
2018-01-01,54.5715651135006
2018-02-01,52.07661612130886
2018-03-01,50.69361998985286
2018-04-01,47.23048841893253
2018-05-01,50.5359355638166
2018-06-01,48.55059523809523
2018-07-01,48.48645970937913
2018-08-01,46.23866213151928
2018-09-01,49.41571632216678
2018-10-01,50.05794223826715
2018-11-01,54.42020282892981
2018-12-01,54.15103734439834
2019-01-01,52.62258064516129
2019-02-01,58.58619313647246
2019-03-01,50.69361998985286
2019-04-01,53.390986908358514
2019-05-01,51.54665427509293
2019-06-01,53.218921703296694
2019-07-01,51.18015191545575
2019-08-01,51.78730158730159
2019-09-01,55.22933000712758
2019-10-01,53.002527075812274
2019-11-01,50.06658660261542
2019-12-01,53.022890733056705
2020-01-01,52.62258064516129
2020-02-01,54.24647512636339
2020-03-01,48.62449264332826
2020-04-01,52.36423716012085
2020-05-01,55.589529120198264
2020-06-01,56.95358287545787
2020-07-01,67.34230515191545
2020-08-01,64.73412698412699
2020-09-01,64.91868614872891
2020-10-01,70.67003610108304
2020-11-01,74.01147584734454
2020-12-01,87.9954356846473
2021-01-01,76.01039426523297
2021-02-01,75.94506517690874
2021-03-01,85.86878488077117
2021-04-01,83.16672960725076
2021-05-01,78.8360594795539
2021-06-01,82.16254578754578
2021-07-01,79.01497137824748
2021-08-01,84.15436507936508
2021-09-01,82.35952720361131
2021-10-01,88.33754512635379
2021-11-01,83.80711235655191
2021-12-01,90.25172890733057
2022-01-01,91.60227001194744
2022-02-01,101.98337323756317
2022-03-01,101.38723997970573
2022-04-01,96.51447633434039
2022-05-01,93.99684014869888
2022-06-01,93.36652930402929
2022-07-01,87.99394539850287
2022-08-01,91.55255102040816
2022-09-01,92.04888334521263
2022-10-01,93.24518652226234
2022-11-01,92.51434480918067
2022-12-01,87.9954356846473
2023-01-01,86.72980884109917
2023-02-01,92.21900771481776
2023-03-01,88.9724759005581
2023-04-01,83.16672960725076
2023-05-01,86.92180916976456
2023-06-01,85.89720695970695
2023-07-01,85.30025319242625
2023-08-01,81.38004535147392
2023-09-01,78.48378474697077
2023-10-01,85.39296028880867
2023-11-01,83.80711235655191
2023-12-01,74.45767634854772
2024-01-01,77.9593787335723
2024-02-01,69.43548816174514
2024-03-01,64.1429477422628
2024-04-01,71.87248237663646
2024-05-01,68.72887236679058
2024-06-01,65.3565705128205
2024-07-01,66.44440774988992
2024-08-01,71.20753968253969
2024-09-01,68.79442860536945
2024-10-01,71.65156438026474
2024-11-01,68.56945556445156
2024-12-01,67.68879668049793
2025-01-01,74.06140979689367
2025-02-01,73.77520617185421
2025-03-01,73.45402080162354
2025-04-01,68.79223313192347
2025-05-01,69.73959107806691
2025-06-01,65.3565705128205
2025-07-01,74.52548436811978
2025-08-01,68.43321995464852
2025-09-01,65.88762176288904
2025-10-01,71.65156438026474
2025-11-01,81.63030424339472
