date,GI bill
2004-01-01,32.6950276243094
2004-02-01,31.429026651216684
2004-03-01,32.19257445940433
2004-04-01,30.514271457085826
2004-05-01,28.4434168655529
2004-06-01,30.875107944732296
2004-07-01,31.57422969187675
2004-08-01,31.37751855779427
2004-09-01,39.326156299840505
2004-10-01,37.31273644388398
2004-11-01,39.304031879981245
2004-12-01,36.68247326824732
2005-01-01,36.32780847145489
2005-02-01,37.143395133256085
2005-03-01,35.210628314973484
2005-04-01,32.48293413173653
2005-05-01,34.328261734287985
2005-06-01,36.198402417962
2005-07-01,31.57422969187675
2005-08-01,31.37751855779427
2005-09-01,39.326156299840505
2005-10-01,42.49506094997898
2005-11-01,36.99203000468823
2005-12-01,36.68247326824732
2006-01-01,37.23600368324126
2006-02-01,41.90536886828892
2006-03-01,37.222664218686255
2006-04-01,33.46726546906188
2006-05-01,38.25149164677804
2006-06-01,30.875107944732296
2006-07-01,31.57422969187675
2006-08-01,32.24911629551078
2006-09-01,36.376694577352474
2006-10-01,40.42213114754098
2006-11-01,36.99203000468823
2006-12-01,36.68247326824732
2007-01-01,34.51141804788214
2007-02-01,35.23860563924295
2007-03-01,33.19859241126071
2007-04-01,28.545608782435128
2007-05-01,31.385839299920445
2007-06-01,28.745790155440414
2007-07-01,28.614145658263304
2007-08-01,28.762725344644746
2007-09-01,32.44407894736842
2007-10-01,35.23980664144598
2007-11-01,32.368026254102205
2007-12-01,32.0971641097164
2008-01-01,29.970441988950277
2008-02-01,33.33381614522982
2008-03-01,33.19859241126071
2008-04-01,37.404590818363275
2008-05-01,50.02118138424821
2008-06-01,64.94419257340242
2008-07-01,67.09523809523809
2008-08-01,44.45148462354188
2008-09-01,49.15769537480064
2008-10-01,47.67738545607398
2008-11-01,45.08403656821378
2008-12-01,49.29207345420734
2009-01-01,43.59337016574586
2009-02-01,51.429316338354575
2009-03-01,49.294879640962876
2009-04-01,51.185229540918165
2009-05-01,57.86764120922832
2009-06-01,63.879533678756474
2009-07-01,72.02871148459383
2009-08-01,87.15977377165075
2009-09-01,78.65231259968101
2009-10-01,67.37021857923497
2009-11-01,68.20405532114393
2009-12-01,69.92596466759646
2010-01-01,72.65561694290977
2010-02-01,56.19129007338741
2010-03-01,54.324969400244804
2010-04-01,53.15389221556886
2010-05-01,47.078758949880665
2010-06-01,53.232944732297064
2010-07-01,49.33473389355742
2010-08-01,53.167462000706955
2010-09-01,50.14084928229665
2010-10-01,49.750315258511975
2010-11-01,47.3960384435068
2010-12-01,50.43840074384006
2011-01-01,59.032688766114184
2011-02-01,59.04847431440711
2011-03-01,54.324969400244804
2011-04-01,54.13822355289421
2011-05-01,53.94441129673827
2011-06-01,59.62089810017271
2011-07-01,58.21498599439776
2011-08-01,56.653852951572986
2011-09-01,58.00608054226475
2011-10-01,53.89617486338797
2011-11-01,60.112048757618375
2011-12-01,59.6090190609019
2012-01-01,52.67532228360958
2012-02-01,53.33410583236771
2012-03-01,47.282843737250104
2012-04-01,49.21656686626746
2012-05-01,51.00198886237072
2012-06-01,53.232944732297064
2012-07-01,48.34803921568627
2012-08-01,51.42426652527394
2012-09-01,57.02292663476874
2012-10-01,55.969104665825974
2012-11-01,53.176043131739334
2012-12-01,46.99941887494188
2013-01-01,47.22615101289135
2013-02-01,47.619737350328315
2013-03-01,56.33700530395757
