date,LIHEAP
2004-01-01,8.07653268371904
2004-02-01,11.983433734939759
2004-03-01,9.02154195011338
2004-04-01,0.0
2004-05-01,9.517942583732058
2004-06-01,9.125
2004-07-01,9.264637391882902
2004-08-01,7.816306483300589
2004-09-01,4.223460721868365
2004-10-01,14.797821466524974
2004-11-01,10.370208524992334
2004-12-01,9.416568047337279
2005-01-01,9.69183922046285
2005-02-01,6.990336345381525
2005-03-01,12.404620181405896
2005-04-01,7.665703275529866
2005-05-01,6.345295055821372
2005-06-01,12.166666666666668
2005-07-01,7.941117764471058
2005-08-01,11.724459724950883
2005-09-01,17.949708067940552
2005-10-01,24.663035777541623
2005-11-01,17.69035571910457
2005-12-01,18.048422090729783
2006-01-01,17.76837190418189
2006-02-01,16.976531124497992
2006-03-01,16.915391156462587
2006-04-01,14.05378933847142
2006-05-01,11.1042663476874
2006-06-01,12.166666666666668
2006-07-01,11.911676646706587
2006-08-01,14.329895219384413
2006-09-01,13.726247346072187
2006-10-01,11.274530641161885
2006-11-01,12.810257589696413
2006-12-01,11.770710059171599
2007-01-01,11.307145757206657
2007-02-01,13.98067269076305
2007-03-01,13.532312925170068
2007-04-01,14.05378933847142
2007-05-01,11.1042663476874
2007-06-01,12.166666666666668
2007-07-01,10.588157019294744
2007-08-01,13.027177472167647
2007-09-01,14.78211252653928
2007-10-01,12.683846971307121
2007-11-01,17.69035571910457
2007-12-01,17.26370808678501
2008-01-01,20.191331709297604
2008-02-01,21.96962851405622
2008-03-01,14.660005668934241
2008-04-01,16.609023763648043
2008-05-01,12.690590111642743
2008-06-01,16.729166666666668
2008-07-01,21.17631403858949
2008-08-01,23.448919449901766
2008-09-01,28.508359872611464
2008-10-01,27.481668437832095
2008-11-01,31.110625574977004
2008-12-01,28.249704142011836
2009-01-01,29.883170929760453
2009-02-01,33.953062248995984
2009-03-01,32.703089569161
2009-04-01,24.274727039177908
2009-05-01,19.035885167464116
2009-06-01,21.291666666666668
2009-07-01,22.499833666001333
2009-08-01,22.146201702685
2009-09-01,26.396629511677283
2009-10-01,25.367693942614242
2009-11-01,23.790478380864766
2009-12-01,26.680276134122288
2010-01-01,29.07551766138855
2010-02-01,26.962725903614455
2010-03-01,25.936933106575964
2010-04-01,21.719492614001286
2010-05-01,20.622208931419458
2010-06-01,21.291666666666668
2010-07-01,23.823353293413174
2010-08-01,19.540766208251473
2010-09-01,23.22903397027601
2010-10-01,19.730428622033298
2010-11-01,23.790478380864766
2010-12-01,22.756706114398423
2011-01-01,28.267864393016644
2011-02-01,32.95444277108434
2011-03-01,30.447704081632654
2011-04-01,24.274727039177908
2011-05-01,23.794856459330145
2011-06-01,25.854166666666668
2011-07-01,23.823353293413174
2011-08-01,27.357072691552062
2011-09-01,28.508359872611464
2011-10-01,26.777010272759476
2011-11-01,29.280588776448944
2011-12-01,26.680276134122288
2012-01-01,29.07551766138855
2012-02-01,21.96962851405622
2012-03-01,21.426162131519277
2012-04-01,21.719492614001286
2012-05-01,20.622208931419458
2012-06-01,19.770833333333336
2012-07-01,23.823353293413174
2012-08-01,23.448919449901766
2012-09-01,24.2848991507431
2012-10-01,24.663035777541623
2012-11-01,26.230527445568846
2012-12-01,21.971992110453648
2013-01-01,25.037251319529027
2013-02-01,23.966867469879517
2013-03-01,24.809240362811792
2013-04-01,26.82996146435453
2013-05-01,22.2085326953748
2013-06-01,18.25
2013-07-01,19.852794411177644
2013-08-01,20.843483955468237
2013-09-01,23.22903397027601
2013-10-01,25.367693942614242
2013-11-01,28.670576510272923
2013-12-01,25.895562130177517
2014-01-01,30.690824198132354
2014-02-01,29.958584337349397
2014-03-01,31.575396825396826
2014-04-01,26.82996146435453
2014-05-01,30.140151515151516
2014-06-01,24.333333333333336
2014-07-01,22.499833666001333
2014-08-01,20.843483955468237
2014-09-01,25.340764331210192
2014-10-01,24.663035777541623
2014-11-01,29.280588776448944
2014-12-01,23.541420118343197
2015-01-01,25.037251319529027
2015-02-01,23.966867469879517
2015-03-01,28.19231859410431
2015-04-01,25.55234425176622
2015-05-01,19.035885167464116
2015-06-01,22.812500000000004
2015-07-01,21.17631403858949
2015-08-01,22.146201702685
2015-09-01,21.117303609341825
2015-10-01,23.958377612469004
2015-11-01,25.010502913216808
2015-12-01,21.971992110453648
2016-01-01,24.229598051157122
2016-02-01,20.971009036144576
2016-03-01,23.68154761904762
2016-04-01,20.441875401412975
2016-05-01,19.035885167464116
2016-06-01,21.291666666666668
2016-07-01,18.529274783765803
2016-08-01,22.146201702685
2016-09-01,23.22903397027601
2016-10-01,22.54906128232377
2016-11-01,25.010502913216808
2016-12-01,25.895562130177517
2017-01-01,24.229598051157122
2017-02-01,23.966867469879517
2017-03-01,30.447704081632654
2017-04-01,22.997109826589597
2017-05-01,23.794856459330145
2017-06-01,25.854166666666668
2017-07-01,23.823353293413174
