date,pell grant
2004-01-01,16.20164884135472
2004-02-01,15.096646942800788
2004-03-01,14.63879781420765
2004-04-01,13.996342737722049
2004-05-01,14.78421633554084
2004-06-01,17.474885844748858
2004-07-01,16.87859795728877
2004-08-01,12.022652116402115
2004-09-01,16.382705479452053
2004-10-01,20.15458488228005
2004-11-01,18.918785310734464
2004-12-01,17.493319268635723
2005-01-01,16.20164884135472
2005-02-01,18.870808678500985
2005-03-01,15.684426229508196
2005-04-01,14.996081504702195
2005-05-01,14.78421633554084
2005-06-01,16.382705479452053
2005-07-01,15.990250696378832
2005-08-01,11.38988095238095
2005-09-01,14.198344748858448
2005-10-01,13.041201982651797
2005-11-01,13.513418079096047
2005-12-01,14.802039381153303
2006-01-01,12.790775401069517
2006-02-01,14.153106508875739
2006-03-01,13.593169398907103
2006-04-01,13.996342737722049
2006-05-01,13.728200883002208
2006-06-01,14.198344748858448
2006-07-01,14.213556174558962
2006-08-01,12.022652116402115
2006-09-01,12.01398401826484
2006-10-01,11.85563816604709
2006-11-01,14.86475988700565
2006-12-01,12.110759493670885
2007-01-01,14.496212121212121
2007-02-01,15.096646942800788
2007-03-01,15.684426229508196
2007-04-01,14.996081504702195
2007-05-01,13.728200883002208
2007-06-01,15.290525114155251
2007-07-01,14.213556174558962
2007-08-01,11.38988095238095
2007-09-01,14.198344748858448
2007-10-01,13.041201982651797
2007-11-01,14.86475988700565
2007-12-01,13.456399437412095
2008-01-01,15.348930481283421
2008-02-01,17.927268244575934
2008-03-01,17.775683060109287
2008-04-01,15.99582027168234
2008-05-01,15.840231788079471
2008-06-01,15.290525114155251
2008-07-01,15.990250696378832
2008-08-01,12.655423280423278
2008-09-01,15.290525114155251
2008-10-01,15.412329615861216
2008-11-01,16.216101694915256
2008-12-01,17.493319268635723
2009-01-01,18.759803921568626
2009-02-01,25.47559171597633
2009-03-01,25.095081967213112
2009-04-01,21.99425287356322
2009-05-01,22.17632450331126
2009-06-01,24.02796803652968
2009-07-01,23.98537604456825
2009-08-01,17.084821428571427
2009-09-01,21.84360730593607
2009-10-01,22.52571251548947
2009-11-01,28.3781779661017
2009-12-01,33.640998593530234
2010-01-01,26.434269162210338
2010-02-01,26.41913214990138
2010-03-01,29.2775956284153
2010-04-01,25.993207941483803
2010-05-01,26.400386313465784
2010-06-01,24.02796803652968
2010-07-01,22.20868152274838
2010-08-01,16.452050264550262
2010-09-01,20.75142694063927
2010-10-01,18.969021065675342
2010-11-01,20.27012711864407
2010-12-01,20.184599156118143
2011-01-01,21.31795900178253
2011-02-01,23.588510848126234
2011-03-01,21.958196721311474
2011-04-01,21.99425287356322
2011-05-01,22.17632450331126
2011-06-01,20.75142694063927
2011-07-01,20.43198700092851
2011-08-01,18.350363756613756
2011-09-01,19.659246575342465
2011-10-01,17.783457249070633
2011-11-01,17.56744350282486
2011-12-01,18.83895921237693
2012-01-01,19.612522281639926
2012-02-01,16.983727810650887
2012-03-01,16.730054644808742
2012-04-01,17.995297805642632
2012-05-01,16.896247240618102
2012-06-01,17.474885844748858
2012-07-01,17.766945218198703
2012-08-01,17.084821428571427
2012-09-01,18.567066210045663
2012-10-01,17.783457249070633
2012-11-01,18.918785310734464
2012-12-01,16.14767932489451
2013-01-01,17.054367201426025
2013-02-01,16.04018737672584
2013-03-01,15.684426229508196
2013-04-01,15.99582027168234
2013-05-01,14.78421633554084
2013-06-01,14.198344748858448
2013-07-01,15.101903435468897
2013-08-01,14.55373677248677
2013-09-01,14.198344748858448
2013-10-01,13.041201982651797
2013-11-01,13.513418079096047
2013-12-01,14.802039381153303
2014-01-01,16.20164884135472
2014-02-01,13.20956607495069
2014-03-01,15.684426229508196
2014-04-01,14.996081504702195
2014-05-01,13.728200883002208
2014-06-01,15.290525114155251
2014-07-01,14.213556174558962
