date,free school lunch
2004-01-01,0.0
2004-02-01,17.462365591397848
2004-03-01,0.0
2004-04-01,19.241706161137436
2004-05-01,0.0
2004-06-01,13.338809034907598
2004-07-01,0.0
2004-08-01,7.106306306306306
2004-09-01,12.104347826086956
2004-10-01,10.748495788206979
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,22.853122251539137
2005-02-01,13.432588916459885
2005-03-01,20.18958818958819
2005-04-01,17.95892575039494
2005-05-01,15.506944444444446
2005-06-01,11.11567419575633
2005-07-01,14.492388451443569
2005-08-01,8.778378378378378
2005-09-01,11.431884057971015
2005-10-01,12.702767749699158
2005-11-01,16.404040404040405
2005-12-01,15.86970684039088
2006-01-01,12.854881266490764
2006-02-01,10.746071133167908
2006-03-01,15.142191142191141
2006-04-01,15.39336492890995
2006-05-01,12.6875
2006-06-01,12.227241615331964
2006-07-01,8.5249343832021
2006-08-01,10.868468468468468
2006-09-01,9.414492753623188
2006-10-01,14.657039711191334
2006-11-01,10.936026936026936
2006-12-01,15.86970684039088
2007-01-01,12.854881266490764
2007-02-01,17.462365591397848
2007-03-01,10.094794094794095
2007-04-01,11.545023696682463
2007-05-01,15.506944444444446
2007-06-01,13.338809034907598
2007-07-01,11.08241469816273
2007-08-01,10.450450450450449
2007-09-01,15.466666666666665
2007-10-01,15.634175691937424
2007-11-01,10.936026936026936
2007-12-01,17.63300760043431
2008-01-01,15.711521547933156
2008-02-01,20.148883374689827
2008-03-01,12.618492618492619
2008-04-01,15.39336492890995
2008-05-01,21.145833333333336
2008-06-01,16.673511293634498
2008-07-01,13.63989501312336
2008-08-01,12.122522522522521
2008-09-01,15.466666666666665
2008-10-01,16.611311672683513
2008-11-01,19.13804713804714
2008-12-01,22.922909880564603
2009-01-01,18.568161829375548
2009-02-01,20.148883374689827
2009-03-01,18.92773892773893
2009-04-01,16.676145339652447
2009-05-01,18.32638888888889
2009-06-01,17.78507871321013
2009-07-01,16.19737532808399
2009-08-01,14.212612612612611
2009-09-01,19.50144927536232
2009-10-01,18.56558363417569
2009-11-01,23.23905723905724
2009-12-01,19.39630836047774
2010-01-01,19.996481970096745
2010-02-01,18.80562448304384
2010-03-01,23.975135975135974
2010-04-01,19.241706161137436
2010-05-01,18.32638888888889
2010-06-01,18.89664613278576
2010-07-01,18.754855643044618
2010-08-01,20.900900900900897
2010-09-01,20.8463768115942
2010-10-01,18.56558363417569
2010-11-01,21.872053872053872
2010-12-01,21.15960912052117
2011-01-01,24.281442392260335
2011-02-01,21.492142266335815
2011-03-01,21.45143745143745
2011-04-01,17.95892575039494
2011-05-01,22.555555555555557
2011-06-01,20.008213552361397
2011-07-01,17.0498687664042
2011-08-01,21.318918918918918
2011-09-01,22.86376811594203
2011-10-01,22.474127557160045
2011-11-01,25.973063973063972
2011-12-01,21.15960912052117
2012-01-01,24.281442392260335
2012-02-01,24.17866004962779
2012-03-01,18.92773892773893
2012-04-01,21.80726698262243
2012-05-01,16.916666666666668
2012-06-01,22.23134839151266
2012-07-01,21.31233595800525
2012-08-01,25.499099099099094
2012-09-01,26.226086956521737
2012-10-01,24.428399518652224
2012-11-01,25.973063973063972
2012-12-01,21.15960912052117
2013-01-01,22.853122251539137
2013-02-01,21.492142266335815
2013-03-01,20.18958818958819
2013-04-01,21.80726698262243
2013-05-01,21.145833333333336
2013-06-01,21.11978097193703
2013-07-01,23.017322834645668
2013-08-01,28.007207207207205
2013-09-01,27.571014492753623
2013-10-01,29.31407942238267
2013-11-01,27.34006734006734
2013-12-01,24.68621064060803
2014-01-01,28.56640281442392
2014-02-01,24.17866004962779
2014-03-01,25.236985236985237
2014-04-01,24.37282780410742
2014-05-01,28.194444444444446
2014-06-01,25.56605065023956
2014-07-01,28.132283464566928
2014-08-01,30.93333333333333
2014-09-01,29.588405797101448
2014-10-01,28.33694344163658
2014-11-01,24.606060606060606
2014-12-01,24.68621064060803
2015-01-01,24.281442392260335
2015-02-01,26.86517783291977
2015-03-01,22.713286713286713
2015-04-01,24.37282780410742
2015-05-01,25.375
2015-06-01,31.123887748117728
2015-07-01,27.27979002624672
2015-08-01,31.769369369369365
2015-09-01,28.915942028985505
2015-10-01,29.31407942238267
2015-11-01,30.074074074074073
2015-12-01,28.212812160694895
2016-01-01,25.70976253298153
2016-02-01,25.521918941273782
2016-03-01,22.713286713286713
2016-04-01,24.37282780410742
2016-05-01,22.555555555555557
2016-06-01,26.677618069815196
2016-07-01,24.72230971128609
2016-08-01,29.679279279279275
