date,SSDI application
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,22.144414775255896
2007-05-01,0.0
2007-06-01,0.0
2007-07-01,0.0
2007-08-01,0.0
2007-09-01,0.0
2007-10-01,0.0
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,0.0
2008-02-01,0.0
2008-03-01,0.0
2008-04-01,0.0
2008-05-01,0.0
2008-06-01,0.0
2008-07-01,0.0
2008-08-01,0.0
2008-09-01,19.99778956675508
2008-10-01,20.32618464052287
2008-11-01,17.97417218543046
2008-12-01,0.0
2009-01-01,15.883075842696625
2009-02-01,18.000819288389508
2009-03-01,15.728442280945757
2009-04-01,15.098464619492656
2009-05-01,0.0
2009-06-01,20.614908854166664
2009-07-01,12.343723761544918
2009-08-01,17.300020128824478
2009-09-01,0.0
2009-10-01,0.0
2009-11-01,12.981346578366445
2009-12-01,27.80401891252955
2010-01-01,20.118562734082392
2010-02-01,26.47179307116104
2010-03-01,13.631316643486322
2010-04-01,23.150979083222072
2010-05-01,21.54047619047619
2010-06-01,30.431532118055554
2010-07-01,16.14179261125105
2010-08-01,12.747383252818036
2010-09-01,26.99701591511936
2010-10-01,20.32618464052287
2010-11-01,25.96269315673289
2010-12-01,12.832624113475177
2011-01-01,27.530664794007485
2011-02-01,29.648408239700366
2011-03-01,28.31119610570236
2011-04-01,33.216622162883844
2011-05-01,37.95226757369615
2011-06-01,29.449869791666664
2011-07-01,29.4350335852225
2011-08-01,29.136876006441224
2011-09-01,25.997126436781606
2011-10-01,29.56535947712418
2011-11-01,33.95121412803532
2011-12-01,27.80401891252955
2012-01-01,38.1193820224719
2012-02-01,28.589536516853926
2012-03-01,32.505447380621234
2012-04-01,31.20349354695149
2012-05-01,40.00374149659864
2012-06-01,36.321506076388886
2012-07-01,42.72827455919395
2012-08-01,30.9579307568438
2012-09-01,25.997126436781606
2012-10-01,34.18494689542483
2012-11-01,28.958388520971297
2012-12-01,29.942789598108746
2013-01-01,30.70727996254681
2013-02-01,20.118562734082392
2013-03-01,32.505447380621234
2013-04-01,39.2560080106809
2013-05-01,35.90079365079365
2013-06-01,31.413194444444443
2013-07-01,25.63696473551637
2013-08-01,34.600040257648956
2013-09-01,24.997236958443853
2013-10-01,29.56535947712418
2013-11-01,32.952649006622515
2013-12-01,42.77541371158392
2014-01-01,44.47261235955055
2014-02-01,44.47261235955055
2014-03-01,46.136764024107556
2014-04-01,36.23631508678237
2014-05-01,40.00374149659864
2014-06-01,41.22981770833333
2014-07-01,41.778757346767414
2014-08-01,41.88425925925926
2014-09-01,49.994473916887706
2014-10-01,36.95669934640522
2014-11-01,40.941169977924936
2014-12-01,44.91418439716312
2015-01-01,40.237125468164784
2015-02-01,45.53148408239699
2015-03-01,42.9910755679184
2015-04-01,41.26913662661326
2015-05-01,40.00374149659864
2015-06-01,40.24815538194444
2015-07-01,37.03117128463476
2015-08-01,43.70531400966183
2015-09-01,45.99491600353669
2015-10-01,42.50020424836601
2015-11-01,37.94547461368653
2015-12-01,41.70602836879432
2016-01-01,37.06051029962546
2016-02-01,40.237125468164784
2016-03-01,50.33101529902642
2016-04-01,38.24944370271473
2016-05-01,27.694897959183677
2016-06-01,24.54155815972222
2016-07-01,36.081654072208224
2016-08-01,27.315821256038646
2016-09-01,27.996905393457116
2016-10-01,30.48927696078431
2016-11-01,27.959823399558495
2016-12-01,26.73463356973995
2017-01-01,31.76615168539325
2017-02-01,28.589536516853926
2017-03-01,27.262633286972644
2017-04-01,32.210057854917665
2017-05-01,33.84931972789116
2017-06-01,27.486545138888886
2017-07-01,32.2835852225021
2017-08-01,27.315821256038646
2017-09-01,27.996905393457116
2017-10-01,34.18494689542483
2017-11-01,41.939735099337746
2017-12-01,37.42848699763593
2018-01-01,36.001638576779015
2018-02-01,36.001638576779015
2018-03-01,40.893949930458966
2018-04-01,50.32821539830885
2018-05-01,41.029478458049894
2018-06-01,33.37651909722222
2018-07-01,41.778757346767414
2018-08-01,44.615841384863124
2018-09-01,37.995800176834656
2018-10-01,38.80453431372548
2018-11-01,33.95121412803532
2018-12-01,34.22033096926714
2019-01-01,42.35486891385767
2019-02-01,44.47261235955055
2019-03-01,40.893949930458966
2019-04-01,40.26257231864708
2019-05-01,50.26111111111111
2019-06-01,43.19314236111111
2019-07-01,46.526343408900075
2019-08-01,40.063204508856685
2019-09-01,40.99546861184792
2019-10-01,39.72845179738562
2019-11-01,42.93830022075055
2019-12-01,34.22033096926714
2020-01-01,45.53148408239699
2020-02-01,47.649227528089874
2020-03-01,42.9910755679184
2020-04-01,41.26913662661326
2020-05-01,38.9780045351474
2020-06-01,39.26649305555556
2020-07-01,39.87972292191435
2020-08-01,40.97373188405797
2020-09-01,41.995358090185675
2020-10-01,38.80453431372548
2020-11-01,38.94403973509933
2020-12-01,43.844799054373524
2021-01-01,46.59035580524343
2021-02-01,41.295997191011224
2021-03-01,46.136764024107556
2021-04-01,51.33477970627503
2021-05-01,45.13242630385488
2021-06-01,37.30316840277778
2021-07-01,43.677791771620484
2021-08-01,53.72111513687601
2021-09-01,44.99502652519894
2021-10-01,51.73937908496731
2021-11-01,45.933995584988956
2021-12-01,47.052955082742315
2022-01-01,58.23794475655429
2022-02-01,61.41455992509362
2022-03-01,71.30227167362077
2022-04-01,57.37416555407209
2022-05-01,59.49274376417234
2022-06-01,65.77137586805556
2022-07-01,56.0215155331654
2022-08-01,64.64744363929147
2022-09-01,65.99270557029178
2022-10-01,63.75030637254901
2022-11-01,57.916777041942595
2022-12-01,64.16312056737588
2023-01-01,68.82666198501872
2023-02-01,82.59199438202245
2023-03-01,72.35083449235049
2023-04-01,64.42011570983533
2023-05-01,82.05895691609979
2023-06-01,91.29459635416666
2023-07-01,78.80992863140217
2023-08-01,86.50010064412238
2023-09-01,77.99137931034483
2023-10-01,85.00040849673202
2023-11-01,75.89094922737306
2023-12-01,70.57943262411348
2024-01-01,80.47425093632957
2024-02-01,77.29763576779024
2024-03-01,74.44796012980991
2024-04-01,62.40698709390298
2024-05-01,77.9560090702948
2024-06-01,79.5146484375
2024-07-01,78.80992863140217
2024-08-01,76.48429951690821
2024-09-01,73.9918213969938
2024-10-01,72.0655637254902
2024-11-01,69.89955849889624
2024-12-01,66.30189125295507
2025-01-01,90.00409644194754
2025-02-01,81.53312265917602
2025-03-01,75.49652294853963
2025-04-01,74.4857587894971
2025-05-01,82.05895691609979
2025-06-01,82.45963541666666
2025-07-01,94.95172124265322
2025-08-01,81.94746376811594
2025-09-01,93.98961096374889
2025-10-01,85.92432598039214
2025-11-01,86.87516556291389
2025-12-01,101.59160756501181
