date,utility assistance
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,15.519525801952577
2004-07-01,0.0
2004-08-01,11.060347887823927
2004-09-01,9.847345132743362
2004-10-01,0.0
2004-11-01,13.297908664105847
2004-12-01,0.0
2005-01-01,12.111564625850342
2005-02-01,0.0
2005-03-01,14.266025641025642
2005-04-01,15.940220385674932
2005-05-01,13.098180845371857
2005-06-01,0.0
2005-07-01,15.212505026135908
2005-08-01,15.010472133475329
2005-09-01,13.129793510324482
2005-10-01,15.660925925925925
2005-11-01,14.24775928297055
2005-12-01,11.574704491725768
2006-01-01,13.120861678004536
2006-02-01,10.024774774774775
2006-03-01,6.48455710955711
2006-04-01,13.487878787878788
2006-05-01,16.670411985018728
2006-06-01,8.277080427708041
2006-07-01,14.317651789304383
2006-08-01,15.010472133475329
2006-09-01,11.488569321533923
2006-10-01,9.891111111111112
2006-11-01,13.297908664105847
2006-12-01,14.73144208037825
2007-01-01,12.111564625850342
2007-02-01,15.037162162162161
2007-03-01,7.781468531468532
2007-04-01,8.583195592286502
2007-05-01,13.098180845371857
2007-06-01,12.415620641562061
2007-07-01,15.212505026135908
2007-08-01,14.220447284345049
2007-09-01,13.129793510324482
2007-10-01,14.836666666666666
2007-11-01,13.297908664105847
2007-12-01,12.626950354609928
2008-01-01,18.167346938775513
2008-02-01,12.530968468468469
2008-03-01,18.15675990675991
2008-04-01,18.392561983471076
2008-05-01,13.098180845371857
2008-06-01,16.554160855416082
2008-07-01,18.791917973462002
2008-08-01,17.38054668086617
2008-09-01,20.515302359882003
2008-10-01,22.255
2008-11-01,19.94686299615877
2008-12-01,21.044917257683213
2009-01-01,20.1859410430839
2009-02-01,21.302646396396398
2009-03-01,22.047494172494172
2009-04-01,23.297245179063363
2009-05-01,22.624130551096844
2009-06-01,22.761971176197115
2009-07-01,24.161037394451146
2009-08-01,24.490770323038696
2009-09-01,22.156526548672563
2009-10-01,25.552037037037035
2009-11-01,22.796414852752882
2009-12-01,23.149408983451536
2010-01-01,29.26961451247166
2010-02-01,25.061936936936938
2010-03-01,29.828962703962706
2010-04-01,28.201928374655648
2010-05-01,22.624130551096844
2010-06-01,28.969781496978143
2010-07-01,23.266184157619623
2010-08-01,25.280795172168975
2010-09-01,24.618362831858406
2010-10-01,25.552037037037035
2010-11-01,23.746265471617583
2010-12-01,17.88817966903073
2011-01-01,27.251020408163267
2011-02-01,25.061936936936938
2011-03-01,25.93822843822844
2011-04-01,25.749586776859505
2011-05-01,26.196361690743714
2011-06-01,28.969781496978143
2011-07-01,25.950743868114195
2011-08-01,32.3910188143415
2011-09-01,30.362647492625367
2011-10-01,25.552037037037035
2011-11-01,24.69611609048229
2011-12-01,27.358392434988176
2012-01-01,23.213832199546488
2012-02-01,20.04954954954955
2012-03-01,19.45367132867133
2012-04-01,24.523415977961434
2012-05-01,27.387105403959335
2012-06-01,26.900511390051133
2012-07-01,27.740450341777244
2012-08-01,26.860844870429535
2012-09-01,26.259587020648965
2012-10-01,28.024814814814814
2012-11-01,26.595817328211695
2012-12-01,23.149408983451536
2013-01-01,24.223129251700684
2013-02-01,22.555743243243242
2013-03-01,25.93822843822844
2013-04-01,30.654269972451793
2013-05-01,29.768592830390585
2013-06-01,25.86587633658763
2013-07-01,29.53015681544029
2013-08-01,29.230919417820378
2013-09-01,27.900811209439524
2013-10-01,28.024814814814814
2013-11-01,25.64596670934699
2013-12-01,26.306146572104016
2014-01-01,32.29750566893424
2014-02-01,30.074324324324323
2014-03-01,32.42278554778555
2014-04-01,35.55895316804408
2014-05-01,33.340823970037455
2014-06-01,32.07368665736866
2014-07-01,30.425010052271816
2014-08-01,25.280795172168975
2014-09-01,27.900811209439524
2014-10-01,27.200555555555557
2014-11-01,26.595817328211695
2014-12-01,27.358392434988176
2015-01-01,26.24172335600907
2015-02-01,26.315033783783782
2015-03-01,27.23513986013986
2015-04-01,30.654269972451793
2015-05-01,28.57784911717496
2015-06-01,27.93514644351464
2015-07-01,27.740450341777244
2015-08-01,26.070820021299255
2015-09-01,29.542035398230084
2015-10-01,24.727777777777778
2015-11-01,23.746265471617583
2015-12-01,21.044917257683213
2016-01-01,23.213832199546488
2016-02-01,21.302646396396398
2016-03-01,24.641317016317018
2016-04-01,26.975757575757576
2016-05-01,25.00561797752809
2016-06-01,25.86587633658763
2016-07-01,25.055890631282672
2016-08-01,26.860844870429535
2016-09-01,25.438974926253685
2016-10-01,25.552037037037035
2016-11-01,24.69611609048229
2016-12-01,24.201654846335696
2017-01-01,26.24172335600907
2017-02-01,30.074324324324323
2017-03-01,24.641317016317018
2017-04-01,26.975757575757576
2017-05-01,29.768592830390585
2017-06-01,30.00441655044165
2017-07-01,27.740450341777244
2017-08-01,27.650869719559818
2017-09-01,27.900811209439524
2017-10-01,30.497592592592593
2017-11-01,31.345070422535212
2017-12-01,25.253900709219856
2018-01-01,31.288208616780047
2018-02-01,31.32742117117117
2018-03-01,28.532051282051285
2018-04-01,30.654269972451793
2018-05-01,29.768592830390585
2018-06-01,28.969781496978143
2018-07-01,31.31986328910334
2018-08-01,29.230919417820378
2018-09-01,28.721423303834804
2018-10-01,31.32185185185185
2018-11-01,26.595817328211695
2018-12-01,25.253900709219856
2019-01-01,33.30680272108844
2019-02-01,30.074324324324323
2019-03-01,29.828962703962706
2019-04-01,29.42809917355372
2019-05-01,32.15008025682183
2019-06-01,30.00441655044165
2019-07-01,28.635303578608767
2019-08-01,27.650869719559818
2019-09-01,30.362647492625367
2019-10-01,29.673333333333332
2019-11-01,30.395219803670507
2019-12-01,27.358392434988176
2020-01-01,29.26961451247166
2020-02-01,27.56813063063063
2020-03-01,28.532051282051285
2020-04-01,26.975757575757576
2020-05-01,28.57784911717496
2020-06-01,27.93514644351464
2020-07-01,31.31986328910334
2020-08-01,33.18104366347178
2020-09-01,36.92754424778761
2020-10-01,46.15851851851852
2020-11-01,52.24178403755868
2020-12-01,69.44822695035461
2021-01-01,50.46485260770975
2021-02-01,67.66722972972973
2021-03-01,71.3301282051282
2021-04-01,49.04683195592287
2021-05-01,54.77421080791867
2021-06-01,62.07810320781031
2021-07-01,58.165460394049056
2021-08-01,63.99201277955272
2021-09-01,68.93141592920354
2021-10-01,65.11648148148149
2021-11-01,63.639991463935125
2021-12-01,69.44822695035461
2022-01-01,78.72517006802721
2022-02-01,86.46368243243244
2022-03-01,90.78379953379954
2022-04-01,74.79641873278237
2022-05-01,76.2075976457999
2022-06-01,77.59762900976288
2022-07-01,82.3264977885002
2022-08-01,79.00248491302804
2022-09-01,73.03447640117993
2022-10-01,74.18333333333334
2022-11-01,74.08834827144686
2022-12-01,75.76170212765956
2023-01-01,82.762358276644
2023-02-01,95.23536036036036
2023-03-01,83.002331002331
2023-04-01,78.47493112947659
2023-05-01,85.73354735152488
2023-06-01,81.73616922361691
2023-07-01,72.48311218335344
2023-08-01,70.31221157259496
2023-09-01,71.39325221238937
2023-10-01,70.06203703703703
2023-11-01,67.43939393939394
2023-12-01,68.39598108747045
2024-01-01,80.7437641723356
2024-02-01,71.42652027027027
2024-03-01,63.54865967365968
2024-04-01,69.89173553719009
2024-05-01,69.06313536650616
2024-06-01,61.043468154346805
2024-07-01,64.42943305186972
2024-08-01,60.8319133830316
2024-09-01,59.904682890855455
2024-10-01,60.17092592592593
2024-11-01,56.0411865130175
2024-12-01,55.769030732860514
2025-01-01,67.62290249433107
2025-02-01,72.67961711711712
2025-03-01,67.43939393939394
2025-04-01,73.5702479338843
2025-05-01,64.30016051364366
2025-06-01,70.35518363551834
2025-07-01,68.00884599919583
2025-08-01,60.8319133830316
2025-09-01,62.366519174041294
2025-10-01,61.81944444444444
2025-11-01,67.43939393939394
2025-12-01,74.70945626477541
