date,rental assistance program
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,4.193914623069936
2006-08-01,3.5383141762452106
2006-09-01,2.824159021406728
2006-10-01,0.0
2006-11-01,7.15891472868217
2006-12-01,0.0
2007-01-01,3.997835497835498
2007-02-01,6.012369791666666
2007-03-01,4.335680751173709
2007-04-01,4.735897435897436
2007-05-01,5.289232531500573
2007-06-01,5.580060422960726
2007-07-01,5.87148047229791
2007-08-01,2.653735632183908
2007-09-01,2.824159021406728
2007-10-01,3.824016563146998
2007-11-01,3.0681063122923584
2007-12-01,4.1181716833890745
2008-01-01,2.9983766233766236
2008-02-01,3.607421875
2008-03-01,5.419600938967136
2008-04-01,4.735897435897436
2008-05-01,5.289232531500573
2008-06-01,3.7200402819738168
2008-07-01,5.032697547683923
2008-08-01,3.5383141762452106
2008-09-01,7.531090723751274
2008-10-01,8.604037267080745
2008-11-01,7.15891472868217
2008-12-01,8.236343366778149
2009-01-01,5.996753246753247
2009-02-01,8.417317708333332
2009-03-01,7.587441314553991
2009-04-01,5.919871794871795
2009-05-01,6.347079037800688
2009-06-01,6.5100704934541795
2009-07-01,10.065395095367846
2009-08-01,7.076628352490421
2009-09-01,11.296636085626911
2009-10-01,11.472049689440993
2009-11-01,9.204318936877076
2009-12-01,7.20680044593088
2010-01-01,8.99512987012987
2010-02-01,6.012369791666666
2010-03-01,8.671361502347418
2010-04-01,8.287820512820513
2010-05-01,9.52061855670103
2010-06-01,5.580060422960726
2010-07-01,5.87148047229791
2010-08-01,6.192049808429118
2010-09-01,6.589704383282364
2010-10-01,4.780020703933747
2010-11-01,5.113510520487265
2010-12-01,5.147714604236343
2011-01-01,4.997294372294372
2011-02-01,6.012369791666666
2011-03-01,5.419600938967136
2011-04-01,7.103846153846154
2011-05-01,7.404925544100802
2011-06-01,6.5100704934541795
2011-07-01,5.87148047229791
2011-08-01,7.076628352490421
2011-09-01,4.706931702344546
2011-10-01,3.824016563146998
2011-11-01,5.113510520487265
2011-12-01,5.147714604236343
2012-01-01,4.997294372294372
2012-02-01,6.012369791666666
2012-03-01,4.335680751173709
2012-04-01,7.103846153846154
2012-05-01,4.231386025200458
2012-06-01,5.580060422960726
2012-07-01,4.193914623069936
2012-08-01,5.307471264367816
2012-09-01,5.648318042813456
2012-10-01,4.780020703933747
2012-11-01,5.113510520487265
2012-12-01,4.1181716833890745
2013-01-01,4.997294372294372
2013-02-01,4.809895833333333
2013-03-01,4.335680751173709
2013-04-01,4.735897435897436
2013-05-01,5.289232531500573
2013-06-01,4.650050352467271
2013-07-01,6.710263396911897
2013-08-01,6.192049808429118
2013-09-01,4.706931702344546
2013-10-01,4.780020703933747
2013-11-01,5.113510520487265
2013-12-01,4.1181716833890745
2014-01-01,4.997294372294372
2014-02-01,6.012369791666666
2014-03-01,5.419600938967136
2014-04-01,7.103846153846154
2014-05-01,5.289232531500573
2014-06-01,5.580060422960726
2014-07-01,4.193914623069936
2014-08-01,3.5383141762452106
2014-09-01,5.648318042813456
2014-10-01,4.780020703933747
2014-11-01,4.0908084163898115
2014-12-01,4.1181716833890745
2015-01-01,3.997835497835498
2015-02-01,6.012369791666666
2015-03-01,5.419600938967136
2015-04-01,5.919871794871795
2015-05-01,5.289232531500573
2015-06-01,4.650050352467271
2015-07-01,4.193914623069936
2015-08-01,3.5383141762452106
2015-09-01,4.706931702344546
2015-10-01,4.780020703933747
2015-11-01,4.0908084163898115
2015-12-01,5.147714604236343
2016-01-01,3.997835497835498
2016-02-01,3.607421875
2016-03-01,3.251760563380282
2016-04-01,4.735897435897436
2016-05-01,7.404925544100802
2016-06-01,4.650050352467271
2016-07-01,4.193914623069936
2016-08-01,3.5383141762452106
2016-09-01,4.706931702344546
2016-10-01,5.736024844720497
2016-11-01,3.0681063122923584
2016-12-01,3.0886287625418056
2017-01-01,4.997294372294372
2017-02-01,7.21484375
2017-03-01,6.503521126760564
2017-04-01,5.919871794871795
2017-05-01,5.289232531500573
2017-06-01,5.580060422960726
2017-07-01,7.549046321525885
2017-08-01,5.307471264367816
2017-09-01,4.706931702344546
2017-10-01,4.780020703933747
2017-11-01,6.136212624584717
2017-12-01,5.147714604236343
2018-01-01,4.997294372294372
2018-02-01,4.809895833333333
2018-03-01,4.335680751173709
2018-04-01,7.103846153846154
2018-05-01,6.347079037800688
2018-06-01,4.650050352467271
2018-07-01,4.193914623069936
2018-08-01,6.192049808429118
2018-09-01,3.765545361875637
2018-10-01,5.736024844720497
2018-11-01,4.0908084163898115
2018-12-01,6.177257525083611
2019-01-01,4.997294372294372
2019-02-01,4.809895833333333
2019-03-01,4.335680751173709
2019-04-01,7.103846153846154
2019-05-01,5.289232531500573
2019-06-01,4.650050352467271
2019-07-01,5.032697547683923
2019-08-01,4.422892720306513
2019-09-01,5.648318042813456
2019-10-01,4.780020703933747
2019-11-01,5.113510520487265
2019-12-01,5.147714604236343
2020-01-01,5.996753246753247
2020-02-01,6.012369791666666
2020-03-01,8.671361502347418
2020-04-01,15.391666666666667
2020-05-01,29.61970217640321
2020-06-01,22.320241691842902
2020-07-01,43.61671207992733
2020-08-01,36.26772030651341
2020-09-01,25.417431192660548
2020-10-01,25.812111801242235
2020-11-01,28.63565891472868
2020-12-01,47.35897435897436
2021-01-01,57.968614718614724
2021-02-01,63.731119791666664
2021-03-01,82.37793427230046
2021-04-01,68.67051282051283
2021-05-01,66.64432989690722
2021-06-01,88.35095669687814
2021-07-01,68.78019981834694
2021-08-01,79.61206896551724
2021-09-01,94.13863404689093
2021-10-01,94.6444099378882
2021-11-01,99.20210409745293
2021-12-01,91.62931995540691
2022-01-01,93.9491341991342
2022-02-01,93.79296875
2022-03-01,78.04225352112677
2022-04-01,74.59038461538462
2022-05-01,67.70217640320733
2022-06-01,68.8207452165156
2022-07-01,62.06993642143505
2022-08-01,61.035919540229884
2022-09-01,56.48318042813455
2022-10-01,51.62422360248447
2022-11-01,44.99889258028793
2022-12-01,41.181716833890746
2023-01-01,37.97943722943723
2023-02-01,33.66927083333333
2023-03-01,30.349765258215964
2023-04-01,30.783333333333335
2023-05-01,29.61970217640321
2023-06-01,25.110271903323262
2023-07-01,21.808356039963666
2023-08-01,26.53735632183908
2023-09-01,25.417431192660548
2023-10-01,24.856107660455486
2023-11-01,25.567552602436322
2023-12-01,23.67948717948718
2024-01-01,24.986471861471863
2024-02-01,20.442057291666664
2024-03-01,16.258802816901408
2024-04-01,17.759615384615383
2024-05-01,17.98339060710195
2024-06-01,14.880161127895267
2024-07-01,15.09809264305177
2024-08-01,14.153256704980842
2024-09-01,15.062181447502548
2024-10-01,19.12008281573499
2024-11-01,15.340531561461793
2024-12-01,15.44314381270903
2025-01-01,21.988095238095237
2025-02-01,16.834635416666664
2025-03-01,22.762323943661972
2025-04-01,20.127564102564104
2025-05-01,17.98339060710195
2025-06-01,20.46022155085599
2025-07-01,19.292007266121704
2025-08-01,22.114463601532567
2025-09-01,16.003567787971456
2025-10-01,19.12008281573499
2025-11-01,20.45404208194906
2025-12-01,21.62040133779264
