date,where is my refund
2004-01-01,0.0
2004-02-01,0.2032674772036474
2004-03-01,0.8573717948717948
2004-04-01,0.6524390243902438
2004-05-01,1.0873983739837398
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.4065349544072948
2005-03-01,0.8573717948717948
2005-04-01,1.3048780487804876
2005-05-01,1.0873983739837398
2005-06-01,1.8576388888888886
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.6098024316109423
2006-03-01,1.7147435897435896
2006-04-01,1.9573170731707314
2006-05-01,2.1747967479674797
2006-06-01,1.8576388888888886
2006-07-01,2.729591836734694
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,1.5028089887640448
2007-02-01,1.2196048632218845
2007-03-01,2.1434294871794872
2007-04-01,2.6097560975609753
2007-05-01,2.1747967479674797
2007-06-01,1.8576388888888886
2007-07-01,2.729591836734694
2007-08-01,0.0
2007-09-01,0.0
2007-10-01,0.0
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,1.5028089887640448
2008-02-01,1.422872340425532
2008-03-01,2.5721153846153846
2008-04-01,3.262195121951219
2008-05-01,6.524390243902439
2008-06-01,5.572916666666666
2008-07-01,5.459183673469388
2008-08-01,4.1796875
2008-09-01,0.0
2008-10-01,0.0
2008-11-01,0.0
2008-12-01,0.0
2009-01-01,4.508426966292134
2009-02-01,3.862082066869301
2009-03-01,6.001602564102564
2009-04-01,6.524390243902438
2009-05-01,5.4369918699187
2009-06-01,5.572916666666666
2009-07-01,2.729591836734694
2009-08-01,4.1796875
2009-09-01,6.369047619047619
2009-10-01,6.6875
2009-11-01,9.553571428571429
2009-12-01,0.0
2010-01-01,4.508426966292134
2010-02-01,3.455547112462006
2010-03-01,6.001602564102564
2010-04-01,6.524390243902438
2010-05-01,7.611788617886178
2010-06-01,9.288194444444443
2010-07-01,5.459183673469388
2010-08-01,4.1796875
2010-09-01,12.738095238095237
2010-10-01,13.375
2010-11-01,9.553571428571429
2010-12-01,0.0
2011-01-01,7.514044943820224
2011-02-01,5.081686930091185
2011-03-01,9.431089743589743
2011-04-01,12.396341463414632
2011-05-01,16.3109756097561
2011-06-01,20.434027777777775
2011-07-01,24.566326530612248
2011-08-01,20.8984375
2011-09-01,6.369047619047619
2011-10-01,6.6875
2011-11-01,9.553571428571429
2011-12-01,13.375
2012-01-01,24.044943820224717
2012-02-01,20.32674772036474
2012-03-01,11.145833333333332
2012-04-01,5.871951219512194
2012-05-01,4.349593495934959
2012-06-01,3.7152777777777772
2012-07-01,5.459183673469388
2012-08-01,4.1796875
2012-09-01,6.369047619047619
2012-10-01,6.6875
2012-11-01,0.0
2012-12-01,0.0
2013-01-01,3.0056179775280896
2013-02-01,7.114361702127659
2013-03-01,6.430288461538461
2013-04-01,6.524390243902438
2013-05-01,6.524390243902439
2013-06-01,5.572916666666666
2013-07-01,5.459183673469388
2013-08-01,4.1796875
2013-09-01,6.369047619047619
2013-10-01,6.6875
2013-11-01,9.553571428571429
2013-12-01,13.375
2014-01-01,3.0056179775280896
2014-02-01,9.960106382978722
2014-03-01,5.572916666666666
2014-04-01,5.871951219512194
2014-05-01,5.4369918699187
2014-06-01,5.572916666666666
2014-07-01,5.459183673469388
2014-08-01,8.359375
2014-09-01,6.369047619047619
2014-10-01,13.375
2014-11-01,9.553571428571429
2014-12-01,13.375
2015-01-01,25.54775280898876
2015-02-01,14.635258358662613
2015-03-01,15.861378205128204
2015-04-01,17.615853658536583
2015-05-01,13.048780487804878
2015-06-01,9.288194444444443
2015-07-01,8.188775510204081
2015-08-01,12.5390625
2015-09-01,12.738095238095237
2015-10-01,13.375
2015-11-01,9.553571428571429
2015-12-01,13.375
2016-01-01,21.039325842696627
2016-02-01,15.448328267477203
2016-03-01,11.57451923076923
2016-04-01,10.439024390243901
2016-05-01,9.786585365853659
2016-06-01,9.288194444444443
2016-07-01,8.188775510204081
2016-08-01,8.359375
2016-09-01,6.369047619047619
2016-10-01,6.6875
2016-11-01,9.553571428571429
2016-12-01,0.0
2017-01-01,7.514044943820224
2017-02-01,11.382978723404255
2017-03-01,8.145032051282051
2017-04-01,7.829268292682926
2017-05-01,6.524390243902439
2017-06-01,5.572916666666666
2017-07-01,5.459183673469388
2017-08-01,8.359375
2017-09-01,6.369047619047619
2017-10-01,6.6875
2017-11-01,9.553571428571429
2017-12-01,0.0
2018-01-01,6.011235955056179
2018-02-01,10.97644376899696
2018-03-01,11.145833333333332
2018-04-01,7.176829268292682
2018-05-01,6.524390243902439
2018-06-01,5.572916666666666
2018-07-01,5.459183673469388
2018-08-01,4.1796875
2018-09-01,6.369047619047619
2018-10-01,6.6875
2018-11-01,0.0
2018-12-01,0.0
2019-01-01,4.508426966292134
2019-02-01,7.724164133738602
2019-03-01,6.858974358974359
2019-04-01,5.871951219512194
