date,WIC program
2004-01-01,29.64934210526316
2004-02-01,24.633237133237134
2004-03-01,33.007049345417926
2004-04-01,21.614868105515587
2004-05-01,30.140284119736176
2004-06-01,27.952241715399612
2004-07-01,29.306151645207443
2004-08-01,31.083455702398435
2004-09-01,33.284342688330874
2004-10-01,27.23819348922513
2004-11-01,31.132218844984802
2004-12-01,27.267886855241265
2005-01-01,26.055482456140354
2005-02-01,30.545214045214045
2005-03-01,30.944108761329304
2005-04-01,35.36978417266187
2005-05-01,38.45484525621512
2005-06-01,30.947124756335285
2005-07-01,35.167381974248926
2005-08-01,36.096916299559474
2005-09-01,36.31019202363368
2005-10-01,29.11668959193031
2005-11-01,35.28318135764944
2005-12-01,30.676372712146424
2006-01-01,34.141666666666666
2006-02-01,31.530543530543532
2006-03-01,30.944108761329304
2006-04-01,31.43980815347722
2006-05-01,36.37620497209539
2006-06-01,31.945419103313842
2006-07-01,31.25989508822127
2006-08-01,40.107684777288306
2006-09-01,31.267109798129006
2006-10-01,35.69142595139844
2006-11-01,35.28318135764944
2006-12-01,37.49334442595674
2007-01-01,31.44627192982456
2007-02-01,32.51587301587302
2007-03-01,31.975579053373615
2007-04-01,31.43980815347722
2007-05-01,37.41552511415525
2007-06-01,35.938596491228076
2007-07-01,36.14425369575584
2007-08-01,39.104992657856094
2007-09-01,41.35327424913836
2007-10-01,36.630674002751036
2007-11-01,38.396403242147926
2007-12-01,38.62950637825846
2008-01-01,36.83706140350878
2008-02-01,33.501202501202506
2008-03-01,37.13293051359517
2008-04-01,42.247242206235015
2008-05-01,40.53348554033486
2008-06-01,38.933479532163744
2008-07-01,39.07486886027659
2008-08-01,39.104992657856094
2008-09-01,44.37912358444117
2008-10-01,46.96240256762953
2008-11-01,45.660587639311046
2008-12-01,46.5826400443705
2009-01-01,40.43092105263158
2009-02-01,45.32515632515633
2009-03-01,46.416163141993955
2009-04-01,61.89712230215827
2009-05-01,61.319888381532216
2009-06-01,81.86013645224172
2009-07-01,77.17286599904627
2009-08-01,82.22075379344102
2009-09-01,79.68069916297391
2009-10-01,77.01834021091243
2009-11-01,80.94376899696049
2009-12-01,96.57376594564616
2010-01-01,89.84649122807018
2010-02-01,90.65031265031266
2010-03-01,93.86379657603223
2010-04-01,75.65203836930456
2010-05-01,50.92668696093354
2010-06-01,43.924951267056535
2010-07-01,42.00548402479733
2010-08-01,39.104992657856094
2010-09-01,41.35327424913836
2010-10-01,34.75217790004585
2010-11-01,40.47188449848024
2010-12-01,39.76566833056018
2011-01-01,42.227850877192985
2011-02-01,46.310485810485815
2011-03-01,48.47910372608258
2011-04-01,47.15971223021583
2011-05-01,43.65144596651446
2011-06-01,47.918128654970765
2011-07-01,45.91297091082499
2011-08-01,46.12383749388155
2011-09-01,43.37050713934023
2011-10-01,46.02315451627694
2011-11-01,49.81155015197568
2011-12-01,52.2634498058791
2012-01-01,49.415570175438596
2012-02-01,46.310485810485815
2012-03-01,43.32175226586103
2012-04-01,47.15971223021583
2012-05-01,46.769406392694066
2012-06-01,47.918128654970765
2012-07-01,48.84358607534573
2012-08-01,45.12114537444934
2012-09-01,46.39635647464304
2012-10-01,38.509170105456214
2012-11-01,41.509625126646405
2012-12-01,40.9018302828619
2013-01-01,44.02478070175439
2013-02-01,33.501202501202506
2013-03-01,30.944108761329304
2013-04-01,38.317266187050365
2013-05-01,42.612125824454594
2013-06-01,40.93006822612086
2013-07-01,42.00548402479733
2013-08-01,32.08614782183064
2013-09-01,30.25849335302807
2013-10-01,71.38285190279689
2013-11-01,39.43414387031408
2013-12-01,38.62950637825846
2014-01-01,39.53245614035088
2014-02-01,34.486531986531986
2014-03-01,34.03851963746224
2014-04-01,33.40479616306955
2014-05-01,33.25824454591578
2014-06-01,33.94200779727096
2014-07-01,33.2136385312351
2014-08-01,31.083455702398435
2014-09-01,32.27572624322994
2014-10-01,28.177441540577718
2014-11-01,32.16995947315096
2014-12-01,32.948696616749864
2015-01-01,31.44627192982456
2015-02-01,28.574555074555075
2015-03-01,27.849697885196374
2015-04-01,26.527338129496403
2015-05-01,28.06164383561644
2015-06-01,28.95053606237817
2015-07-01,29.306151645207443
2015-08-01,29.07807146353402
2015-09-01,29.24987690792713
2015-10-01,24.420449335167355
2015-11-01,22.830293819655523
2015-12-01,23.85940099833611
2016-01-01,22.461622807017545
2016-02-01,27.58922558922559
2016-03-01,24.755287009063444
2016-04-01,27.509832134292566
2016-05-01,23.904363267376965
2016-06-01,27.952241715399612
2016-07-01,24.421793037672867
2016-08-01,24.06461086637298
2016-09-01,23.19817823732152
2016-10-01,20.663457129756992
2016-11-01,23.86803444782168
2016-12-01,22.72323904603439
2017-01-01,23.360087719298246
2017-02-01,26.603896103896105
2017-03-01,24.755287009063444
2017-04-01,21.614868105515587
2017-05-01,23.904363267376965
2017-06-01,23.959064327485383
2017-07-01,24.421793037672867
2017-08-01,25.06730298580519
2017-09-01,24.206794682422455
2017-10-01,21.602705181109584
2017-11-01,23.86803444782168
2017-12-01,21.58707709373267
2018-01-01,21.563157894736843
2018-02-01,23.64790764790765
2018-03-01,20.629405840886204
2018-04-01,21.614868105515587
2018-05-01,22.865043125317097
2018-06-01,20.96418128654971
2018-07-01,21.491177873152125
2018-08-01,20.053842388644153
2018-09-01,20.172328902018712
2018-10-01,18.78496102705181
2018-11-01,18.679331306990882
2018-12-01,17.04242928452579
2019-01-01,23.360087719298246
2019-02-01,17.735930735930737
2019-03-01,20.629405840886204
2019-04-01,19.649880095923262
2019-05-01,19.747082699137493
2019-06-01,17.969298245614038
2019-07-01,19.537434430138294
2019-08-01,21.05653450807636
2019-09-01,21.180945347119646
2019-10-01,18.78496102705181
2019-11-01,18.679331306990882
2019-12-01,19.31475318912923
2020-01-01,19.76622807017544
2020-02-01,20.691919191919194
2020-03-01,21.660876132930515
2020-04-01,21.614868105515587
2020-05-01,17.668442415017758
2020-06-01,17.969298245614038
2020-07-01,18.56056270863138
2020-08-01,18.048458149779737
2020-09-01,17.146479566715904
2020-10-01,15.96721687299404
2020-11-01,16.60385005065856
2020-12-01,15.906267332224072
2021-01-01,12.578508771929826
2021-02-01,15.765271765271766
2021-03-01,14.440584088620342
2021-04-01,14.737410071942447
2021-05-01,14.550481988838154
2021-06-01,15.972709551656921
2021-07-01,14.653075822603721
2021-08-01,16.04307391091532
2021-09-01,16.13786312161497
2021-10-01,15.96721687299404
2021-11-01,16.60385005065856
2021-12-01,17.04242928452579
2022-01-01,15.27390350877193
2022-02-01,17.735930735930737
2022-03-01,17.534994964753274
2022-04-01,15.71990407673861
2022-05-01,22.865043125317097
2022-06-01,17.969298245614038
2022-07-01,17.583690987124463
2022-08-01,18.048458149779737
2022-09-01,18.15509601181684
2022-10-01,15.02796882164145
2022-11-01,16.60385005065856
2022-12-01,14.770105379922352
2023-01-01,15.27390350877193
2023-02-01,18.721260221260223
2023-03-01,17.534994964753274
2023-04-01,16.702398081534774
2023-05-01,17.668442415017758
2023-06-01,17.969298245614038
2023-07-01,17.583690987124463
2023-08-01,18.048458149779737
2023-09-01,20.172328902018712
2023-10-01,16.90646492434663
2023-11-01,18.679331306990882
2023-12-01,18.17859123682751
2024-01-01,16.17236842105263
2024-02-01,17.735930735930737
2024-03-01,16.503524672708963
2024-04-01,16.702398081534774
2024-05-01,15.589802130898022
2024-06-01,13.976120857699806
2024-07-01,17.583690987124463
2024-08-01,17.04576603034753
2024-09-01,16.13786312161497
2024-10-01,15.02796882164145
2024-11-01,15.566109422492401
2024-12-01,14.770105379922352
2025-01-01,17.969298245614034
2025-02-01,18.721260221260223
2025-03-01,15.472054380664652
2025-04-01,14.737410071942447
2025-05-01,14.550481988838154
2025-06-01,16.97100389863548
2025-07-01,17.583690987124463
2025-08-01,15.040381791483114
2025-09-01,17.146479566715904
2025-10-01,28.177441540577718
2025-11-01,20.754812563323203
2025-12-01,15.906267332224072
