date,SBA loan
2004-01-01,2.346296296296296
2004-02-01,2.5138888888888884
2004-03-01,1.7597222222222222
2004-04-01,1.1539162112932604
2004-05-01,1.8854166666666665
2004-06-01,1.78954802259887
2004-07-01,1.5413625304136251
2004-08-01,2.0501618122977345
2004-09-01,2.399621212121212
2004-10-01,1.2720883534136544
2004-11-01,2.853603603603603
2004-12-01,2.815555555555555
2005-01-01,2.346296296296296
2005-02-01,2.5138888888888884
2005-03-01,1.7597222222222222
2005-04-01,0.5769581056466302
2005-05-01,1.8854166666666665
2005-06-01,1.78954802259887
2005-07-01,1.5413625304136251
2005-08-01,2.0501618122977345
2005-09-01,2.399621212121212
2005-10-01,2.544176706827309
2005-11-01,2.853603603603603
2005-12-01,2.815555555555555
2006-01-01,2.346296296296296
2006-02-01,2.5138888888888884
2006-03-01,1.7597222222222222
2006-04-01,1.1539162112932604
2006-05-01,1.8854166666666665
2006-06-01,1.78954802259887
2006-07-01,1.5413625304136251
2006-08-01,2.0501618122977345
2006-09-01,2.399621212121212
2006-10-01,2.544176706827309
2006-11-01,2.853603603603603
2006-12-01,1.4077777777777776
2007-01-01,2.346296296296296
2007-02-01,2.5138888888888884
2007-03-01,1.7597222222222222
2007-04-01,1.1539162112932604
2007-05-01,1.8854166666666665
2007-06-01,1.78954802259887
2007-07-01,1.5413625304136251
2007-08-01,2.0501618122977345
2007-09-01,2.399621212121212
2007-10-01,2.544176706827309
2007-11-01,2.853603603603603
2007-12-01,2.815555555555555
2008-01-01,2.346296296296296
2008-02-01,2.5138888888888884
2008-03-01,1.7597222222222222
2008-04-01,1.1539162112932604
2008-05-01,1.8854166666666665
2008-06-01,1.78954802259887
2008-07-01,1.5413625304136251
2008-08-01,2.0501618122977345
2008-09-01,2.399621212121212
2008-10-01,2.544176706827309
2008-11-01,2.853603603603603
2008-12-01,1.4077777777777776
2009-01-01,1.173148148148148
2009-02-01,2.5138888888888884
2009-03-01,2.6395833333333334
2009-04-01,1.1539162112932604
2009-05-01,1.8854166666666665
2009-06-01,2.684322033898305
2009-07-01,1.5413625304136251
2009-08-01,2.0501618122977345
2009-09-01,2.399621212121212
2009-10-01,2.544176706827309
2009-11-01,2.853603603603603
2009-12-01,2.815555555555555
2010-01-01,2.346296296296296
2010-02-01,2.5138888888888884
2010-03-01,1.7597222222222222
2010-04-01,1.1539162112932604
2010-05-01,1.8854166666666665
2010-06-01,1.78954802259887
2010-07-01,1.5413625304136251
2010-08-01,2.0501618122977345
2010-09-01,2.399621212121212
2010-10-01,2.544176706827309
2010-11-01,1.4268018018018016
2010-12-01,1.4077777777777776
2011-01-01,2.346296296296296
2011-02-01,2.5138888888888884
2011-03-01,1.7597222222222222
2011-04-01,1.1539162112932604
2011-05-01,0.9427083333333333
2011-06-01,0.894774011299435
2011-07-01,0.7706812652068126
2011-08-01,1.0250809061488673
2011-09-01,1.199810606060606
2011-10-01,1.2720883534136544
2011-11-01,1.4268018018018016
2011-12-01,1.4077777777777776
2012-01-01,1.173148148148148
2012-02-01,1.2569444444444442
2012-03-01,0.8798611111111111
2012-04-01,0.5769581056466302
2012-05-01,0.9427083333333333
2012-06-01,0.894774011299435
2012-07-01,0.7706812652068126
2012-08-01,1.0250809061488673
2012-09-01,2.399621212121212
2012-10-01,1.2720883534136544
2012-11-01,2.853603603603603
2012-12-01,1.4077777777777776
2013-01-01,1.173148148148148
2013-02-01,1.2569444444444442
2013-03-01,0.8798611111111111
2013-04-01,0.5769581056466302
2013-05-01,0.9427083333333333
2013-06-01,0.894774011299435
2013-07-01,0.7706812652068126
2013-08-01,1.0250809061488673
2013-09-01,1.199810606060606
2013-10-01,1.2720883534136544
2013-11-01,1.4268018018018016
2013-12-01,1.4077777777777776
2014-01-01,1.173148148148148
2014-02-01,1.2569444444444442
2014-03-01,0.8798611111111111
2014-04-01,0.5769581056466302
2014-05-01,0.9427083333333333
2014-06-01,0.894774011299435
2014-07-01,0.7706812652068126
2014-08-01,1.0250809061488673
2014-09-01,1.199810606060606
2014-10-01,1.2720883534136544
2014-11-01,1.4268018018018016
2014-12-01,1.4077777777777776
2015-01-01,1.173148148148148
2015-02-01,1.2569444444444442
2015-03-01,0.8798611111111111
2015-04-01,0.5769581056466302
2015-05-01,0.9427083333333333
2015-06-01,0.894774011299435
2015-07-01,0.7706812652068126
2015-08-01,1.0250809061488673
2015-09-01,1.199810606060606
2015-10-01,1.2720883534136544
2015-11-01,1.4268018018018016
2015-12-01,1.4077777777777776
2016-01-01,1.173148148148148
2016-02-01,1.2569444444444442
2016-03-01,0.8798611111111111
2016-04-01,0.5769581056466302
2016-05-01,0.9427083333333333
2016-06-01,0.894774011299435
2016-07-01,0.7706812652068126
2016-08-01,1.0250809061488673
2016-09-01,1.199810606060606
2016-10-01,1.2720883534136544
2016-11-01,1.4268018018018016
2016-12-01,1.4077777777777776
