date,TANF benefits
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,42.87778603268946
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,27.991803278688526
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,0.0
2007-07-01,0.0
2007-08-01,0.0
2007-09-01,0.0
2007-10-01,17.88060989643268
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,15.122384428223844
2008-02-01,19.411394032921812
2008-03-01,14.292595344229818
2008-04-01,19.30217391304348
2008-05-01,0.0
2008-06-01,16.038656069364162
2008-07-01,11.516212710765238
2008-08-01,13.868338846012497
2008-09-01,11.787888071895424
2008-10-01,13.623321825853472
2008-11-01,0.0
2008-12-01,12.488045007032348
2009-01-01,23.76374695863747
2009-02-01,30.82986111111111
2009-03-01,29.68462109955424
2009-04-01,23.591545893719807
2009-05-01,22.52951388888889
2009-06-01,35.28504335260116
2009-07-01,28.7905317769131
2009-08-01,20.394615950018377
2009-09-01,23.575776143790847
2009-10-01,23.840813195243577
2009-11-01,30.790983606557376
2009-12-01,23.935419596812
2010-01-01,30.24476885644769
2010-02-01,33.11355452674897
2010-03-01,36.281203566121846
2010-04-01,25.736231884057972
2010-05-01,24.901041666666664
2010-06-01,12.830924855491329
2010-07-01,25.911478599221788
2010-08-01,26.92089305402426
2010-09-01,25.389297385620914
2010-10-01,21.28644035289605
2010-11-01,25.192622950819672
2010-12-01,24.976090014064695
2011-01-01,20.523236009732358
2011-02-01,23.97878086419753
2011-03-01,24.18746904408123
2011-04-01,25.736231884057972
2011-05-01,24.901041666666664
2011-06-01,32.077312138728324
2011-07-01,24.95179420665802
2011-08-01,26.92089305402426
2011-09-01,25.389297385620914
2011-10-01,24.692270809359417
2011-11-01,21.4603825136612
2011-12-01,24.976090014064695
2012-01-01,30.24476885644769
2012-02-01,27.404320987654323
2012-03-01,26.386329866270433
2012-04-01,34.31497584541063
2012-05-01,32.015625
2012-06-01,37.42353082851638
2012-07-01,34.548638132295714
2012-08-01,32.631385520029404
2012-09-01,35.36366421568627
2012-10-01,33.206846950517836
2012-11-01,40.12158469945355
2012-12-01,36.42346460384435
2013-01-01,41.046472019464716
2013-02-01,30.82986111111111
2013-03-01,31.88348192174344
2013-04-01,30.0256038647343
2013-05-01,40.31597222222222
2013-06-01,36.35428709055876
2013-07-01,28.7905317769131
2013-08-01,23.657754502021316
2013-09-01,37.17718545751634
2013-10-01,38.31559263521289
2013-11-01,27.991803278688526
2013-12-01,33.30145335208626
2014-01-01,36.72579075425791
2014-02-01,34.2554012345679
2014-03-01,30.784051510648837
2014-04-01,41.821376811594206
2014-05-01,40.31597222222222
2014-06-01,37.42353082851638
2014-07-01,25.911478599221788
2014-08-01,34.262954796030876
2014-09-01,31.73662173202614
2014-10-01,33.206846950517836
2014-11-01,29.85792349726776
2014-12-01,23.935419596812
2015-01-01,29.164598540145985
2015-02-01,33.11355452674897
2015-03-01,30.784051510648837
2015-04-01,39.67669082125604
2015-05-01,37.94444444444444
2015-06-01,38.49277456647398
2015-07-01,31.669584954604407
2015-08-01,29.36824696802646
2015-09-01,30.82986111111111
2015-10-01,28.94955887993863
2015-11-01,31.724043715846992
2015-12-01,33.30145335208626
2016-01-01,28.08442822384428
2016-02-01,33.11355452674897
2016-03-01,30.784051510648837
2016-04-01,34.31497584541063
2016-05-01,42.6875
2016-06-01,56.66991811175337
2016-07-01,33.58895373973195
2016-08-01,39.15766262403528
2016-09-01,45.338031045751634
2016-10-01,35.76121979286536
2016-11-01,34.52322404371585
2016-12-01,32.260782934833564
2017-01-01,43.20681265206812
2017-02-01,50.24125514403292
2017-03-01,42.87778603268946
2017-04-01,37.53200483091788
2017-05-01,40.31597222222222
2017-06-01,50.2544556840077
2017-07-01,62.37948551664505
2017-08-01,48.13129364204337
2017-09-01,35.36366421568627
2017-10-01,34.909762178749524
2017-11-01,48.51912568306011
2017-12-01,46.83016877637131
2018-01-01,42.12664233576642
2018-02-01,35.397247942386834
2018-03-01,32.98291233283804
2018-04-01,50.40012077294686
2018-05-01,48.61631944444444
2018-06-01,33.14655587668593
2018-07-01,36.46800691742326
2018-08-01,53.02600147004778
2018-09-01,43.52450980392157
2018-10-01,40.86996547756041
2018-11-01,35.45628415300546
2018-12-01,42.66748710736052
2019-01-01,64.81021897810218
2019-02-01,47.95756172839506
2019-03-01,42.87778603268946
2019-04-01,37.53200483091788
2019-05-01,39.13020833333333
2019-06-01,39.5620183044316
2019-07-01,45.10516645049719
2019-08-01,47.31550900404263
2019-09-01,49.87183415032679
2019-10-01,39.16705024932873
2019-11-01,39.18852459016394
2019-12-01,39.54547585560244
2020-01-01,41.046472019464716
2020-02-01,45.6738683127572
2020-03-01,62.667533432392275
2020-04-01,75.06400966183575
2020-05-01,50.98784722222222
2020-06-01,47.046724470134876
2020-07-01,50.8632728058798
2020-08-01,44.86815509004043
2020-09-01,50.77859477124183
2020-10-01,49.384541618718835
2020-11-01,48.51912568306011
2020-12-01,66.60290670417253
2021-01-01,48.60766423357664
2021-02-01,61.65972222222222
2021-03-01,47.27550767706786
2021-04-01,49.32777777777778
2021-05-01,52.17361111111111
2021-06-01,49.185211946050096
2021-07-01,55.66169476869865
2021-08-01,60.368063212054395
2021-09-01,59.846200980392155
2021-10-01,54.49328730341389
2021-11-01,55.98360655737705
2021-12-01,65.56223628691983
2022-01-01,68.0507299270073
2022-02-01,67.36895576131687
2022-03-01,59.36924219910848
2022-04-01,68.62995169082126
2022-05-01,66.40277777777777
2022-06-01,64.15462427745665
2022-07-01,75.81506701253782
2022-08-01,72.60483278206543
2022-09-01,71.63408905228758
2022-10-01,59.60203298810894
2022-11-01,57.849726775956285
2022-12-01,61.39955461790905
2023-01-01,64.81021897810218
2023-02-01,65.08526234567901
2023-03-01,58.269811788013875
2023-04-01,48.255434782608695
2023-05-01,74.703125
2023-06-01,57.73916184971098
2023-07-01,62.37948551664505
2023-08-01,60.368063212054395
2023-09-01,59.846200980392155
2023-10-01,58.750575373993094
2023-11-01,53.1844262295082
2023-12-01,59.31821378340366
2024-01-01,60.48953771289538
2024-02-01,53.66679526748971
2024-03-01,49.47436849925706
2024-04-01,50.40012077294686
2024-05-01,49.80208333333333
2024-06-01,51.323699421965316
2024-07-01,52.78264159100735
2024-08-01,49.76286291804484
2024-09-01,55.31239787581699
2024-10-01,46.83016877637131
2024-11-01,50.385245901639344
2024-12-01,45.78949835911861
2025-01-01,51.848175182481754
2025-02-01,46.815715020576135
2025-03-01,46.176077265973255
2025-04-01,48.255434782608695
2025-05-01,52.17361111111111
2025-06-01,44.90823699421965
2025-07-01,52.78264159100735
2025-08-01,56.289140022050724
2025-09-01,47.151552287581694
2025-10-01,85.1457614115842
2025-11-01,81.17622950819673
2025-12-01,66.60290670417253
