date,medicaid
2004-01-01,21.227953074433657
2004-02-01,20.53720787207872
2004-03-01,20.741304347826084
2004-04-01,20.705295138888893
2004-05-01,21.145833333333336
2004-06-01,22.91593567251462
2004-07-01,21.692665085013836
2004-08-01,21.48873873873874
2004-09-01,22.339506172839503
2004-10-01,20.140832328106153
2004-11-01,20.36064874093043
2004-12-01,20.6656406748746
2005-01-01,20.263046116504857
2005-02-01,22.493132431324312
2005-03-01,20.741304347826084
2005-04-01,21.740559895833336
2005-05-01,22.203125
2005-06-01,20.92324561403509
2005-07-01,20.749505733491496
2005-08-01,22.46549959049959
2005-09-01,23.354938271604937
2005-10-01,22.059006835544835
2005-11-01,21.37868117797695
2005-12-01,19.57797537619699
2006-01-01,23.157766990291265
2006-02-01,21.51517015170152
2006-03-01,21.728985507246374
2006-04-01,20.705295138888893
2006-05-01,23.260416666666668
2006-06-01,21.919590643274855
2006-07-01,20.749505733491496
2006-08-01,23.442260442260444
2006-09-01,21.32407407407407
2006-10-01,21.099919581825496
2006-11-01,19.342616303883908
2006-12-01,19.57797537619699
2007-01-01,22.19286003236246
2007-02-01,20.53720787207872
2007-03-01,22.716666666666665
2007-04-01,21.740559895833336
2007-05-01,23.260416666666668
2007-06-01,21.919590643274855
2007-07-01,22.63582443653618
2007-08-01,23.442260442260444
2007-09-01,22.339506172839503
2007-10-01,22.059006835544835
2007-11-01,21.37868117797695
2007-12-01,20.6656406748746
2008-01-01,22.19286003236246
2008-02-01,21.51517015170152
2008-03-01,22.716666666666665
2008-04-01,23.81108940972223
2008-05-01,23.260416666666668
2008-06-01,22.91593567251462
2008-07-01,23.57898378805852
2008-08-01,23.442260442260444
2008-09-01,24.370370370370367
2008-10-01,23.018094089264174
2008-11-01,22.396713615023472
2008-12-01,23.928636570907432
2009-01-01,26.052487864077673
2009-02-01,25.4270192701927
2009-03-01,26.667391304347824
2009-04-01,26.91688368055556
2009-05-01,25.375
2009-06-01,28.894005847953217
2009-07-01,26.40846184262554
2009-08-01,29.302825552825553
2009-09-01,29.447530864197525
2009-10-01,26.854443104141538
2009-11-01,27.48687580025608
2009-12-01,27.191632466940263
2010-01-01,26.052487864077673
2010-02-01,26.4049815498155
2010-03-01,31.605797101449273
2010-04-01,30.022677951388893
2010-05-01,26.432291666666668
2010-06-01,28.894005847953217
2010-07-01,25.465302491103202
2010-08-01,26.372542997543
2010-09-01,27.416666666666664
2010-10-01,24.936268596702856
2010-11-01,26.468843363209558
2010-12-01,26.103967168262653
2011-01-01,29.91211569579288
2011-02-01,30.316830668306682
2011-03-01,30.618115942028982
2011-04-01,33.12847222222223
2011-05-01,30.661458333333336
2011-06-01,33.87573099415205
2011-07-01,30.181099248714904
2011-08-01,31.256347256347258
2011-09-01,31.478395061728392
2011-10-01,28.77261761158022
2011-11-01,28.5049082373026
2011-12-01,28.279297765617873
2012-01-01,29.91211569579288
2012-02-01,28.36090610906109
2012-03-01,29.630434782608692
2012-04-01,31.05794270833334
2012-05-01,29.604166666666668
2012-06-01,32.87938596491228
2012-07-01,31.124258600237244
2012-08-01,32.23310810810811
2012-09-01,31.478395061728392
2012-10-01,30.6907921190189
2012-11-01,30.540973111395644
2012-12-01,28.279297765617873
2013-01-01,30.877022653721685
2013-02-01,31.29479294792948
2013-03-01,30.618115942028982
2013-04-01,33.12847222222223
2013-05-01,32.77604166666667
2013-06-01,30.88669590643275
2013-07-01,31.124258600237244
2013-08-01,34.186629811629814
2013-09-01,36.55555555555555
2013-10-01,41.240751909931646
