date,energy assistance program
2004-01-01,23.92607174103237
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,35.6983682983683
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,34.227158948685855
2004-08-01,27.29291417165669
2004-09-01,23.324093816631134
2004-10-01,32.448744481236204
2004-11-01,35.26289437585734
2004-12-01,29.75249320036265
2005-01-01,33.49650043744532
2005-02-01,26.994495064540622
2005-03-01,20.770253164556962
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,49.62774594078319
2005-07-01,28.522632457238213
2005-08-01,25.109481037924155
2005-09-01,52.47921108742005
2005-10-01,75.46219646799118
2005-11-01,57.02085048010974
2005-12-01,50.4139468117256
2006-01-01,43.864464858559344
2006-02-01,35.30049354593774
2006-03-01,40.38660337552743
2006-04-01,28.04871794871795
2006-05-01,29.54889249054565
2006-06-01,31.34383954154728
2006-07-01,22.81810596579057
2006-08-01,31.65978043912176
2006-09-01,21.38041933191187
2006-10-01,28.675634657836646
2006-11-01,30.761248285322363
2006-12-01,29.75249320036265
2007-01-01,33.49650043744532
2007-02-01,26.994495064540622
2007-03-01,28.84757383966245
2007-04-01,30.5986013986014
2007-05-01,41.36844948676391
2007-06-01,31.34383954154728
2007-07-01,23.959011264080097
2007-08-01,26.201197604790423
2007-09-01,29.155117270788917
2007-10-01,34.712610375275936
2007-11-01,44.2661865569273
2007-12-01,32.2318676337262
2008-01-01,40.674321959755034
2008-02-01,34.2622437357631
2008-03-01,46.15611814345992
2008-04-01,34.423426573426575
2008-05-01,28.071447866018367
2008-06-01,36.56781279847183
2008-07-01,42.213496036712556
2008-08-01,49.12724550898204
2008-09-01,66.08493248045488
2008-10-01,58.86051324503311
2008-11-01,64.52359396433471
2008-12-01,57.85207011181626
2009-01-01,51.839822105570136
2009-02-01,67.48623766135155
2009-03-01,72.69588607594937
2009-04-01,56.0974358974359
2009-05-01,48.75567260940032
2009-06-01,50.93373925501433
2009-07-01,62.749791405924064
2009-08-01,52.402395209580845
2009-09-01,65.11309523809524
2009-10-01,56.59664735099338
2009-11-01,52.51920438957477
2009-12-01,57.02561196736175
2010-01-01,64.60039370078741
2010-02-01,58.14198936977981
2010-03-01,58.8490506329114
2010-04-01,57.37237762237763
2010-05-01,45.80078336034576
2010-06-01,48.321752626552055
2010-07-01,50.19983312473925
2010-08-01,55.67754491017965
2010-09-01,56.366560056858575
2010-10-01,43.76807395143488
2010-11-01,43.5159122085048
2010-12-01,42.975823511634935
2011-01-01,48.64967920676582
2011-02-01,51.91249050873197
2011-03-01,53.07953586497891
2011-04-01,45.8979020979021
2011-05-01,41.36844948676391
2011-06-01,45.70976599808978
2011-07-01,50.19983312473925
2011-08-01,50.21896207584831
2011-09-01,42.76083866382374
2011-10-01,37.73109823399559
2011-11-01,42.76563786008231
2011-12-01,40.49644907827138
2012-01-01,39.87678623505395
2012-02-01,33.22399392558846
2012-03-01,38.07879746835443
2012-04-01,40.7981351981352
2012-05-01,39.89100486223663
2012-06-01,37.873806112702965
2012-07-01,41.072590738423024
2012-08-01,41.48522954091817
2012-09-01,38.87348969438522
2012-10-01,35.46723233995585
2012-11-01,38.26399176954733
2012-12-01,32.2318676337262
2013-01-01,43.06692913385827
2013-02-01,46.721241457858774
2013-03-01,39.23270042194093
2013-04-01,42.073076923076925
2013-05-01,51.71056185845489
2013-06-01,43.09777936962751
2013-07-01,42.213496036712556
2013-08-01,37.1183632734531
2013-09-01,34.9861407249467
2013-10-01,35.46723233995585
2013-11-01,36.013168724279836
2013-12-01,39.66999093381686
2014-01-01,41.47185768445611
2014-02-01,42.56824221716021
2014-03-01,41.540506329113924
2014-04-01,43.34801864801865
2014-05-01,45.80078336034576
2014-06-01,39.179799426934096
2014-07-01,38.79078014184397
2014-08-01,38.210079840319366
2014-09-01,39.845326936744854
2014-10-01,33.95798841059603
2014-11-01,35.26289437585734
2014-12-01,37.19061650045331
2015-01-01,35.091571886847476
2015-02-01,36.338743356112374
2015-03-01,34.61708860759494
2015-04-01,33.14848484848485
2015-05-01,36.93611561318206
2015-06-01,36.56781279847183
2015-07-01,31.945348352106798
2015-08-01,31.65978043912176
2015-09-01,34.9861407249467
2015-10-01,30.93950055187638
2015-11-01,32.261796982167354
2015-12-01,33.05832577818072
2016-01-01,32.69896471274424
2016-02-01,28.032744874715263
2016-03-01,27.69367088607595
2016-04-01,36.97331002331003
2016-05-01,31.026337115072934
2016-06-01,35.26181948424069
2016-07-01,29.66353775552774
2016-08-01,28.384630738522958
2016-09-01,28.183280028429287
2016-10-01,29.430256622516556
2016-11-01,24.75905349794239
2016-12-01,26.446660622544577
2017-01-01,29.508821813939925
2017-02-01,34.2622437357631
2017-03-01,36.924894514767935
2017-04-01,31.873543123543126
2017-05-01,33.9812263641275
2017-06-01,33.95582617000955
2017-07-01,34.227158948685855
2017-08-01,38.210079840319366
2017-09-01,31.098791755508177
2017-10-01,30.18487858719647
2017-11-01,29.26069958847737
2017-12-01,42.14936536718042
2018-01-01,38.28171478565179
2018-02-01,40.49174259681094
2018-03-01,34.61708860759494
2018-04-01,35.6983682983683
2018-05-01,45.80078336034576
2018-06-01,33.95582617000955
2018-07-01,33.08625365039632
2018-08-01,36.02664670658683
2018-09-01,34.01430348258707
2018-10-01,28.675634657836646
2018-11-01,28.51042524005487
2018-12-01,33.884783922635236
2019-01-01,29.508821813939925
2019-02-01,30.10924449506454
2019-03-01,32.309282700421946
2019-04-01,40.7981351981352
2019-05-01,41.36844948676391
2019-06-01,33.95582617000955
2019-07-01,36.50896954526491
2019-08-01,32.75149700598803
2019-09-01,33.04246624022744
2019-10-01,31.69412251655629
2019-11-01,30.010973936899866
2019-12-01,31.405409489271687
2020-01-01,27.913750364537766
2020-02-01,31.14749430523918
2020-03-01,32.309282700421946
2020-04-01,35.6983682983683
2020-05-01,39.89100486223663
2020-06-01,40.485792741165234
2020-07-01,44.49530663329161
2020-08-01,42.57694610778444
2020-09-01,34.9861407249467
2020-10-01,36.976476269315675
2020-11-01,35.26289437585734
2020-12-01,44.628739800543975
2021-01-01,39.87678623505395
2021-02-01,47.75949126803341
2021-03-01,46.15611814345992
2021-04-01,40.7981351981352
2021-05-01,50.23311723392761
2021-06-01,50.93373925501433
2021-07-01,46.77711722987067
2021-08-01,45.85209580838324
2021-09-01,43.732675906183374
2021-10-01,40.749586092715234
2021-11-01,42.76563786008231
2021-12-01,46.28165608945301
2022-01-01,53.4348935549723
2022-02-01,70.60098709187548
2022-03-01,63.46466244725739
