date,housing voucher
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,14.206476897689768
2004-05-01,15.580364212193189
2004-06-01,0.0
2004-07-01,21.888765294771964
2004-08-01,16.32577433628318
2004-09-01,13.255003849114702
2004-10-01,16.47586682427108
2004-11-01,14.811397849462365
2004-12-01,12.440114942528735
2005-01-01,13.682819854514335
2005-02-01,20.470981165133594
2005-03-01,14.92696142175986
2005-04-01,13.191728547854785
2005-05-01,17.527909738717337
2005-06-01,14.218208092485547
2005-07-01,8.208286985539488
2005-08-01,9.97686209439528
2005-09-01,15.14857582755966
2005-10-01,10.66085500394011
2005-11-01,15.869354838709675
2005-12-01,16.963793103448275
2006-01-01,15.787869062901157
2006-02-01,12.929040735873848
2006-03-01,15.993172951885564
2006-04-01,19.280218646864686
2006-05-01,16.554136975455265
2006-06-01,13.270327552986512
2006-07-01,13.680478309232479
2006-08-01,16.32577433628318
2006-09-01,17.042147806004618
2006-10-01,11.630023640661939
2006-11-01,14.811397849462365
2006-12-01,12.440114942528735
2007-01-01,18.945442875481387
2007-02-01,11.851620674551027
2007-03-01,13.860749891634155
2007-04-01,15.221225247524751
2007-05-01,15.580364212193189
2007-06-01,16.11396917148362
2007-07-01,17.32860585836114
2007-08-01,16.32577433628318
2007-09-01,15.14857582755966
2007-10-01,17.44503546099291
2007-11-01,16.927311827956988
2007-12-01,12.440114942528735
2008-01-01,18.945442875481387
2008-02-01,17.23872098116513
2008-03-01,19.191807542262676
2008-04-01,23.33921204620462
2008-05-01,20.449228028503562
2008-06-01,18.009730250481695
2008-07-01,20.064701520207635
2008-08-01,21.767699115044245
2008-09-01,21.77607775211701
2008-10-01,17.44503546099291
2008-11-01,19.043225806451613
2008-12-01,22.618390804597702
2009-01-01,18.945442875481387
2009-02-01,21.548401226456413
2009-03-01,21.324230602514085
2009-04-01,22.324463696369634
2009-05-01,22.396773555027707
2009-06-01,22.749132947976875
2009-07-01,19.15266963292547
2009-08-01,24.488661504424776
2009-09-01,23.669649730561968
2009-10-01,20.35254137115839
2009-11-01,21.159139784946234
2009-12-01,13.57103448275862
2010-01-01,22.10301668806162
2010-02-01,25.858081471747695
2010-03-01,23.456653662765493
2010-04-01,24.353960396039604
2010-05-01,22.396773555027707
2010-06-01,24.64489402697495
2010-07-01,20.064701520207635
2010-08-01,21.767699115044245
2010-09-01,21.77607775211701
2010-10-01,19.383372734436563
2010-11-01,20.10118279569892
2010-12-01,21.487471264367816
2011-01-01,25.26059050064185
2011-02-01,21.548401226456413
2011-03-01,24.522865192891196
2011-04-01,22.324463696369634
2011-05-01,25.31809184481393
2011-06-01,25.592774566473985
2011-07-01,28.272988505747122
2011-08-01,22.674686578171087
2011-09-01,26.510007698229405
2011-10-01,22.29087864460205
2011-11-01,21.159139784946234
2011-12-01,28.272988505747126
2012-01-01,26.313115104835262
2012-02-01,23.703241349102054
2012-03-01,24.522865192891196
2012-04-01,25.368708745874585
2012-05-01,22.396773555027707
2012-06-01,25.592774566473985
2012-07-01,25.536892843900628
2012-08-01,27.209623893805308
2012-09-01,26.510007698229405
2012-10-01,25.198384554767532
2012-11-01,23.27505376344086
2012-12-01,21.487471264367816
2013-01-01,30.523213521608902
2013-02-01,24.780661410424877
2013-03-01,25.589076723016902
2013-04-01,23.33921204620462
2013-05-01,25.31809184481393
2013-06-01,24.64489402697495
2013-07-01,24.624860956618463
2013-08-01,26.30263643067846
2013-09-01,21.77607775211701
2013-10-01,21.32171000788022
2013-11-01,21.159139784946234
2013-12-01,22.618390804597702
2014-01-01,27.36563970902867
2014-02-01,25.858081471747695
2014-03-01,25.589076723016902
2014-04-01,28.412953795379536
2014-05-01,25.31809184481393
2014-06-01,28.436416184971094
2014-07-01,33.74517982944011
2014-08-01,28.11661135693215
2014-09-01,29.350365665896838
2014-10-01,29.075059101654844
2014-11-01,26.448924731182792
2014-12-01,29.403908045977012
2015-01-01,28.418164313222082
2015-02-01,26.935501533070514
2015-03-01,29.85392284351972
2015-04-01,30.442450495049503
2015-05-01,31.160728424386377
2015-06-01,32.22793834296724
2015-07-01,30.097052280311452
2015-08-01,28.11661135693215
2015-09-01,29.350365665896838
2015-10-01,30.044227738376673
2015-11-01,27.506881720430105
2015-12-01,26.011149425287357
2016-01-01,30.523213521608902
2016-02-01,30.167761717038978
2016-03-01,30.920134373645425
2016-04-01,31.457198844884484
2016-05-01,32.13450118764845
2016-06-01,35.07157996146435
2016-07-01,29.185020393029287
2016-08-01,31.744561209439524
2016-09-01,34.084295612009235
2016-10-01,31.98256501182033
2016-11-01,27.506881720430105
2016-12-01,28.272988505747126
2017-01-01,34.73331193838254
2017-02-01,35.55486202365308
2017-03-01,35.18498049414824
2017-04-01,34.50144389438944
2017-05-01,33.10827395091053
2017-06-01,33.17581888246628
2017-07-01,31.009084167593617
2017-08-01,33.55853613569321
2017-09-01,30.29715165511932
2017-10-01,32.95173364854216
2017-11-01,38.086451612903225
2017-12-01,35.05850574712644
2018-01-01,38.94341035515619
2018-02-01,38.78712220762154
2018-03-01,37.31740355439965
2018-04-01,35.51619224422442
2018-05-01,36.02959224069675
2018-06-01,36.01946050096339
2018-07-01,34.65721171672228
2018-08-01,39.00046091445427
2018-09-01,36.92465357967667
2018-10-01,38.766745468873125
2018-11-01,39.144408602150534
2018-12-01,39.58218390804598
2019-01-01,44.20603337612324
2019-02-01,42.01938239159001
2019-03-01,41.582249674902464
2019-04-01,41.60468234323432
2019-05-01,38.95091053048297
2019-06-01,40.75886319845857
2019-07-01,40.12940304041527
2019-08-01,44.442385693215336
2019-09-01,42.60536951501154
2019-10-01,41.67425137903861
2019-11-01,38.086451612903225
2019-12-01,41.84402298850575
2020-01-01,49.46865639709029
2020-02-01,47.40648269820411
2020-03-01,36.25119202427395
2020-04-01,32.47194719471947
2020-05-01,34.0820467141726
2020-06-01,41.70674373795761
2020-07-01,38.30533926585094
2020-08-01,39.90744837758112
2020-09-01,36.92465357967667
2020-10-01,43.612588652482266
2020-11-01,39.144408602150534
2020-12-01,38.451264367816094
2021-01-01,44.20603337612324
2021-02-01,60.335523434077956
2021-03-01,60.774057217165144
2021-04-01,59.870152640264024
2021-05-01,69.13786619160727
2021-06-01,66.35163776493256
2021-07-01,59.28207267334074
2021-08-01,59.86117256637167
2021-09-01,61.54108929946111
2021-10-01,58.15011820330969
2021-11-01,68.76720430107527
2021-12-01,62.20057471264368
2022-01-01,71.57167308515191
2022-02-01,79.72908453788872
2022-03-01,85.29692241005634
2022-04-01,72.04713283828382
2022-05-01,71.08541171813143
2022-06-01,74.88256262042388
2022-07-01,72.96255098257322
2022-08-01,71.65200958702064
2022-09-01,68.16859122401847
2022-10-01,68.8109732072498
2022-11-01,68.76720430107527
2022-12-01,67.8551724137931
2023-01-01,84.20196833547283
2023-02-01,84.03876478318001
2023-03-01,84.23071087993064
2023-04-01,81.17986798679867
2023-05-01,77.90182106096594
2023-06-01,76.77832369942196
2023-07-01,77.52271041898405
2023-08-01,78.00092182890855
2023-09-01,88.997882986913
2023-10-01,96.91686367218281
2023-11-01,89.9263440860215
2023-12-01,78.03344827586207
2024-01-01,90.51711596063329
2024-02-01,85.11618484450283
2024-03-01,83.16449934980493
2024-04-01,81.17986798679867
2024-05-01,85.69200316706254
2024-06-01,85.30924855491328
2024-07-01,82.99490174267703
2024-08-01,81.62887168141592
2024-09-01,73.84930715935334
2024-10-01,78.50265957446808
2024-11-01,78.28881720430107
2024-12-01,75.7716091954023
2025-01-01,85.25449293966625
2025-02-01,84.03876478318001
2025-03-01,86.36313394018204
2025-04-01,88.28310643564356
2025-05-01,81.79691211401425
2025-06-01,84.36136801541424
2025-07-01,91.20318872821652
2025-08-01,80.72188421828908
2025-09-01,85.21073903002308
2025-10-01,87.22517730496453
2025-11-01,89.9263440860215
2025-12-01,113.0919540229885
