date,file for unemployment
2004-01-01,1.0097087378640777
2004-02-01,1.223529411764706
2004-03-01,0.6842105263157895
2004-04-01,0.6011560693641619
2004-05-01,0.8813559322033899
2004-06-01,0.9811320754716981
2004-07-01,1.0097087378640777
2004-08-01,1.2093023255813953
2004-09-01,1.3333333333333335
2004-10-01,1.2839506172839508
2004-11-01,1.3333333333333335
2004-12-01,1.223529411764706
2005-01-01,2.0194174757281553
2005-02-01,1.223529411764706
2005-03-01,0.6842105263157895
2005-04-01,0.6011560693641619
2005-05-01,0.8813559322033899
2005-06-01,0.9811320754716981
2005-07-01,1.0097087378640777
2005-08-01,1.2093023255813953
2005-09-01,1.3333333333333335
2005-10-01,1.2839506172839508
2005-11-01,1.3333333333333335
2005-12-01,1.223529411764706
2006-01-01,1.0097087378640777
2006-02-01,1.223529411764706
2006-03-01,0.6842105263157895
2006-04-01,0.6011560693641619
2006-05-01,0.8813559322033899
2006-06-01,0.9811320754716981
2006-07-01,1.0097087378640777
2006-08-01,1.2093023255813953
2006-09-01,1.3333333333333335
2006-10-01,1.2839506172839508
2006-11-01,1.3333333333333335
2006-12-01,1.223529411764706
2007-01-01,2.0194174757281553
2007-02-01,1.223529411764706
2007-03-01,0.6842105263157895
2007-04-01,0.6011560693641619
2007-05-01,0.8813559322033899
2007-06-01,0.9811320754716981
2007-07-01,1.0097087378640777
2007-08-01,1.2093023255813953
2007-09-01,1.3333333333333335
2007-10-01,1.2839506172839508
2007-11-01,2.666666666666667
2007-12-01,2.447058823529412
2008-01-01,2.0194174757281553
2008-02-01,2.447058823529412
2008-03-01,1.368421052631579
2008-04-01,1.2023121387283238
2008-05-01,1.7627118644067798
2008-06-01,1.9622641509433962
2008-07-01,3.029126213592233
2008-08-01,2.4186046511627906
2008-09-01,4.0
2008-10-01,3.851851851851852
2008-11-01,5.333333333333334
2008-12-01,6.11764705882353
2009-01-01,6.058252427184466
2009-02-01,7.341176470588236
2009-03-01,3.4210526315789473
2009-04-01,3.0057803468208095
2009-05-01,4.40677966101695
2009-06-01,4.90566037735849
2009-07-01,5.048543689320388
2009-08-01,6.046511627906977
2009-09-01,5.333333333333334
2009-10-01,6.419753086419754
2009-11-01,6.666666666666668
2009-12-01,4.894117647058824
2010-01-01,6.058252427184466
2010-02-01,4.894117647058824
2010-03-01,2.736842105263158
2010-04-01,2.4046242774566475
2010-05-01,3.5254237288135597
2010-06-01,3.9245283018867925
2010-07-01,4.038834951456311
2010-08-01,4.837209302325581
2010-09-01,5.333333333333334
2010-10-01,5.135802469135803
2010-11-01,5.333333333333334
2010-12-01,4.894117647058824
2011-01-01,7.067961165048544
2011-02-01,6.11764705882353
2011-03-01,2.736842105263158
2011-04-01,3.0057803468208095
2011-05-01,3.5254237288135597
2011-06-01,4.90566037735849
2011-07-01,5.048543689320388
2011-08-01,6.046511627906977
2011-09-01,5.333333333333334
2011-10-01,6.419753086419754
2011-11-01,5.333333333333334
2011-12-01,6.11764705882353
2012-01-01,6.058252427184466
2012-02-01,6.11764705882353
2012-03-01,2.736842105263158
2012-04-01,2.4046242774566475
2012-05-01,3.5254237288135597
2012-06-01,3.9245283018867925
2012-07-01,5.048543689320388
2012-08-01,4.837209302325581
2012-09-01,5.333333333333334
2012-10-01,5.135802469135803
2012-11-01,6.666666666666668
2012-12-01,4.894117647058824
2013-01-01,5.048543689320388
2013-02-01,4.894117647058824
2013-03-01,2.736842105263158
2013-04-01,2.4046242774566475
2013-05-01,3.5254237288135597
2013-06-01,3.9245283018867925
2013-07-01,4.038834951456311
2013-08-01,4.837209302325581
2013-09-01,5.333333333333334
2013-10-01,6.419753086419754
2013-11-01,5.333333333333334
2013-12-01,4.894117647058824
2014-01-01,5.048543689320388
2014-02-01,4.894117647058824
2014-03-01,2.736842105263158
2014-04-01,2.4046242774566475
2014-05-01,2.6440677966101696
2014-06-01,3.9245283018867925
2014-07-01,4.038834951456311
2014-08-01,3.627906976744186
2014-09-01,4.0
2014-10-01,3.851851851851852
2014-11-01,4.0
2014-12-01,3.670588235294118
2015-01-01,4.038834951456311
2015-02-01,3.670588235294118
2015-03-01,2.0526315789473686
2015-04-01,1.8034682080924855
2015-05-01,2.6440677966101696
2015-06-01,2.9433962264150946
2015-07-01,4.038834951456311
2015-08-01,3.627906976744186
2015-09-01,4.0
2015-10-01,3.851851851851852
2015-11-01,4.0
2015-12-01,3.670588235294118
2016-01-01,4.038834951456311
2016-02-01,4.894117647058824
2016-03-01,2.0526315789473686
2016-04-01,1.8034682080924855
2016-05-01,2.6440677966101696
2016-06-01,3.9245283018867925
2016-07-01,3.029126213592233
2016-08-01,3.627906976744186
2016-09-01,4.0
2016-10-01,3.851851851851852
2016-11-01,4.0
2016-12-01,3.670588235294118
2017-01-01,4.038834951456311
2017-02-01,3.670588235294118
2017-03-01,2.0526315789473686
2017-04-01,1.8034682080924855
2017-05-01,2.6440677966101696
2017-06-01,2.9433962264150946
2017-07-01,3.029126213592233
2017-08-01,3.627906976744186
2017-09-01,4.0
2017-10-01,3.851851851851852
2017-11-01,4.0
2017-12-01,4.894117647058824
2018-01-01,4.038834951456311
2018-02-01,4.894117647058824
2018-03-01,2.0526315789473686
2018-04-01,1.8034682080924855
2018-05-01,2.6440677966101696
2018-06-01,2.9433962264150946
2018-07-01,3.029126213592233
2018-08-01,3.627906976744186
2018-09-01,4.0
2018-10-01,3.851851851851852
2018-11-01,4.0
2018-12-01,3.670588235294118
2019-01-01,4.038834951456311
2019-02-01,4.894117647058824
2019-03-01,2.0526315789473686
2019-04-01,1.8034682080924855
2019-05-01,2.6440677966101696
2019-06-01,2.9433962264150946
2019-07-01,3.029126213592233
2019-08-01,3.627906976744186
2019-09-01,4.0
2019-10-01,3.851851851851852
2019-11-01,4.0
2019-12-01,4.894117647058824
2020-01-01,4.038834951456311
2020-02-01,3.670588235294118
2020-03-01,53.36842105263158
2020-04-01,60.115606936416185
2020-05-01,42.30508474576271
2020-06-01,33.35849056603774
2020-07-01,30.29126213592233
2020-08-01,21.767441860465116
2020-09-01,18.666666666666668
2020-10-01,15.407407407407408
2020-11-01,14.666666666666668
2020-12-01,17.129411764705885
2021-01-01,18.174757281553397
2021-02-01,15.905882352941177
2021-03-01,8.894736842105264
2021-04-01,6.612716763005781
2021-05-01,8.8135593220339
2021-06-01,7.849056603773585
2021-07-01,7.067961165048544
2021-08-01,8.465116279069766
2021-09-01,6.666666666666668
2021-10-01,5.135802469135803
2021-11-01,5.333333333333334
2021-12-01,4.894117647058824
2022-01-01,5.048543689320388
2022-02-01,4.894117647058824
2022-03-01,2.0526315789473686
2022-04-01,1.8034682080924855
2022-05-01,2.6440677966101696
2022-06-01,2.9433962264150946
2022-07-01,4.038834951456311
2022-08-01,3.627906976744186
2022-09-01,4.0
2022-10-01,5.135802469135803
2022-11-01,4.0
2022-12-01,3.670588235294118
2023-01-01,4.038834951456311
2023-02-01,4.894117647058824
2023-03-01,2.736842105263158
2023-04-01,2.4046242774566475
2023-05-01,3.5254237288135597
2023-06-01,3.9245283018867925
2023-07-01,4.038834951456311
2023-08-01,4.837209302325581
2023-09-01,5.333333333333334
2023-10-01,5.135802469135803
2023-11-01,5.333333333333334
2023-12-01,4.894117647058824
2024-01-01,4.038834951456311
2024-02-01,4.894117647058824
2024-03-01,2.736842105263158
2024-04-01,2.4046242774566475
2024-05-01,3.5254237288135597
2024-06-01,3.9245283018867925
2024-07-01,4.038834951456311
2024-08-01,4.837209302325581
2024-09-01,4.0
2024-10-01,5.135802469135803
2024-11-01,4.0
2024-12-01,4.894117647058824
2025-01-01,5.048543689320388
2025-02-01,6.11764705882353
2025-03-01,2.736842105263158
2025-04-01,2.4046242774566475
2025-05-01,3.5254237288135597
2025-06-01,4.90566037735849
2025-07-01,4.038834951456311
2025-08-01,4.837209302325581
2025-09-01,5.333333333333334
2025-10-01,6.419753086419754
2025-11-01,5.333333333333334
2025-12-01,6.11764705882353
