date,government grants
2004-01-01,44.42433414043583
2004-02-01,36.626131221719454
2004-03-01,45.78636363636363
2004-04-01,48.23463687150837
2004-05-01,43.25439882697947
2004-06-01,47.22974860335195
2004-07-01,47.13302139037433
2004-08-01,48.42788461538461
2004-09-01,43.08983286908078
2004-10-01,47.33552631578947
2004-11-01,49.05681818181819
2004-12-01,43.48626373626374
2005-01-01,42.682203389830505
2005-02-01,38.2539592760181
2005-03-01,43.91753246753247
2005-04-01,40.195530726256976
2005-05-01,46.41935483870967
2005-06-01,47.22974860335195
2005-07-01,42.32352941176471
2005-08-01,41.50961538461538
2005-09-01,34.071030640668525
2005-10-01,34.71271929824561
2005-11-01,35.04058441558442
2005-12-01,34.26190476190476
2006-01-01,32.229418886198545
2006-02-01,26.8591628959276
2006-03-01,31.770129870129868
2006-04-01,29.141759776536308
2006-05-01,31.64956011730205
2006-06-01,31.151536312849156
2006-07-01,33.66644385026738
2006-08-01,34.59134615384615
2006-09-01,28.058495821727018
2006-10-01,29.453216374269005
2006-11-01,30.368506493506494
2006-12-01,28.99084249084249
2007-01-01,26.1319612590799
2007-02-01,23.603506787330318
2007-03-01,26.163636363636364
2007-04-01,28.136871508379883
2007-05-01,27.429618768328446
2007-06-01,27.13198324022346
2007-07-01,27.89505347593583
2007-08-01,27.67307692307692
2007-09-01,26.054317548746518
2007-10-01,28.40131578947368
2007-11-01,32.70454545454545
2007-12-01,31.626373626373628
2008-01-01,29.616222760290555
2008-02-01,26.04524886877828
2008-03-01,30.835714285714285
2008-04-01,31.151536312849156
2008-05-01,29.53958944281525
2008-06-01,32.15642458100558
2008-07-01,34.6283422459893
2008-08-01,33.60302197802198
2008-09-01,36.07520891364902
2008-10-01,32.60891812865497
2008-11-01,36.208603896103895
2008-12-01,47.43956043956044
2009-01-01,44.42433414043583
2009-02-01,81.39140271493213
2009-03-01,48.589610389610385
2009-04-01,36.17597765363128
2009-05-01,40.089442815249264
2009-06-01,42.205307262569825
2009-07-01,44.24732620320856
2009-08-01,41.50961538461538
2009-09-01,38.079387186629525
2009-10-01,34.71271929824561
2009-11-01,35.04058441558442
2009-12-01,34.26190476190476
2010-01-01,28.74515738498789
2010-02-01,22.789592760180994
2010-03-01,24.294805194805193
2010-04-01,25.12220670391061
2010-05-01,25.319648093841643
2010-06-01,23.11243016759776
2010-07-01,21.161764705882355
2010-08-01,22.731456043956044
2010-09-01,21.043871866295262
2010-10-01,17.882309941520468
2010-11-01,18.68831168831169
2010-12-01,17.13095238095238
2011-01-01,15.67917675544794
2011-02-01,13.836538461538462
2011-03-01,14.95064935064935
2011-04-01,16.07821229050279
2011-05-01,15.824780058651026
2011-06-01,15.073324022346366
2011-07-01,14.428475935828878
2011-08-01,14.824862637362637
2011-09-01,15.03133704735376
2011-10-01,16.830409356725145
2011-11-01,16.352272727272727
2011-12-01,15.813186813186814
2012-01-01,13.937046004842614
2012-02-01,11.394796380090497
2012-03-01,11.212987012987012
2012-04-01,13.063547486033517
2012-05-01,12.659824046920821
2012-06-01,12.058659217877093
2012-07-01,12.504679144385026
2012-08-01,11.85989010989011
2012-09-01,13.027158774373259
2012-10-01,12.62280701754386
2012-11-01,11.680194805194805
2012-12-01,10.542124542124542
2013-01-01,8.710653753026634
2013-02-01,8.139140271493213
2013-03-01,8.409740259740259
2013-04-01,9.04399441340782
2013-05-01,8.439882697947214
2013-06-01,8.039106145251395
2013-07-01,8.657085561497325
2013-08-01,9.883241758241757
2013-09-01,10.020891364902507
2013-10-01,11.570906432748536
2013-11-01,9.344155844155845
2013-12-01,9.224358974358974
2014-01-01,7.83958837772397
2014-02-01,6.51131221719457
2014-03-01,7.475324675324675
2014-04-01,8.039106145251395
2014-05-01,7.384897360703812
2014-06-01,7.034217877094971
2014-07-01,6.733288770053476
2014-08-01,6.91826923076923
2014-09-01,8.016713091922005
2014-10-01,8.415204678362572
2014-11-01,7.008116883116884
2014-12-01,6.5888278388278385
2015-01-01,6.097457627118644
2015-02-01,5.697398190045249
2015-03-01,6.540909090909091
2015-04-01,6.029329608938546
2015-05-01,7.384897360703812
2015-06-01,6.029329608938546
2015-07-01,6.733288770053476
2015-08-01,6.91826923076923
2015-09-01,9.018802228412255
2015-10-01,8.415204678362572
2015-11-01,7.008116883116884
2015-12-01,6.5888278388278385
2016-01-01,6.097457627118644
2016-02-01,5.697398190045249
2016-03-01,5.606493506493506
2016-04-01,7.034217877094971
2016-05-01,6.329912023460411
2016-06-01,7.034217877094971
2016-07-01,6.733288770053476
2016-08-01,6.91826923076923
2016-09-01,7.014623955431754
2016-10-01,6.31140350877193
2016-11-01,5.840097402597403
2016-12-01,6.5888278388278385
2017-01-01,5.22639225181598
2017-02-01,5.697398190045249
2017-03-01,5.606493506493506
2017-04-01,6.029329608938546
2017-05-01,6.329912023460411
2017-06-01,6.029329608938546
2017-07-01,5.771390374331551
2017-08-01,4.941620879120879
2017-09-01,7.014623955431754
2017-10-01,7.363304093567251
2017-11-01,5.840097402597403
2017-12-01,6.5888278388278385
2018-01-01,5.22639225181598
2018-02-01,4.883484162895927
2018-03-01,4.672077922077921
2018-04-01,6.029329608938546
2018-05-01,5.274926686217008
2018-06-01,5.024441340782122
2018-07-01,3.8475935828877006
2018-08-01,4.941620879120879
2018-09-01,6.0125348189415035
2018-10-01,6.31140350877193
2018-11-01,5.840097402597403
2018-12-01,5.271062271062271
2019-01-01,5.22639225181598
2019-02-01,4.883484162895927
2019-03-01,4.672077922077921
2019-04-01,5.024441340782122
2019-05-01,5.274926686217008
2019-06-01,5.024441340782122
2019-07-01,3.8475935828877006
2019-08-01,3.953296703296703
2019-09-01,6.0125348189415035
2019-10-01,5.259502923976608
2019-11-01,4.672077922077922
2019-12-01,5.271062271062271
2020-01-01,4.355326876513317
2020-02-01,4.0695701357466065
2020-03-01,5.606493506493506
2020-04-01,7.034217877094971
2020-05-01,5.274926686217008
2020-06-01,6.029329608938546
2020-07-01,7.695187165775401
2020-08-01,5.929945054945055
2020-09-01,8.016713091922005
2020-10-01,7.363304093567251
2020-11-01,5.840097402597403
2020-12-01,7.906593406593407
2021-01-01,5.22639225181598
2021-02-01,5.697398190045249
2021-03-01,5.606493506493506
2021-04-01,7.034217877094971
2021-05-01,7.384897360703812
2021-06-01,6.029329608938546
2021-07-01,6.733288770053476
2021-08-01,5.929945054945055
2021-09-01,8.016713091922005
2021-10-01,7.363304093567251
2021-11-01,8.176136363636363
2021-12-01,6.5888278388278385
2022-01-01,6.968523002421307
2022-02-01,7.325226244343892
2022-03-01,7.475324675324675
2022-04-01,8.039106145251395
2022-05-01,8.439882697947214
2022-06-01,7.034217877094971
2022-07-01,7.695187165775401
2022-08-01,7.906593406593406
2022-09-01,9.018802228412255
2022-10-01,8.415204678362572
2022-11-01,8.176136363636363
2022-12-01,7.906593406593407
2023-01-01,6.968523002421307
2023-02-01,6.51131221719457
2023-03-01,7.475324675324675
2023-04-01,8.039106145251395
2023-05-01,7.384897360703812
2023-06-01,7.034217877094971
2023-07-01,5.771390374331551
2023-08-01,6.91826923076923
2023-09-01,10.020891364902507
2023-10-01,9.467105263157894
2023-11-01,8.176136363636363
2023-12-01,9.224358974358974
2024-01-01,6.968523002421307
2024-02-01,6.51131221719457
2024-03-01,6.540909090909091
2024-04-01,8.039106145251395
2024-05-01,6.329912023460411
2024-06-01,6.029329608938546
2024-07-01,5.771390374331551
2024-08-01,5.929945054945055
2024-09-01,9.018802228412255
2024-10-01,9.467105263157894
2024-11-01,8.176136363636363
2024-12-01,7.906593406593407
2025-01-01,6.968523002421307
2025-02-01,7.325226244343892
2025-03-01,6.540909090909091
