date,disaster relief
2004-01-01,2.308823529411765
2004-02-01,1.3083333333333336
2004-03-01,0.0
2004-04-01,1.2265625
2004-05-01,2.803571428571429
2004-06-01,3.488888888888889
2004-07-01,3.270833333333334
2004-08-01,5.68840579710145
2004-09-01,3.226027397260274
2004-10-01,2.532258064516129
2004-11-01,2.4153846153846152
2004-12-01,17.29661016949153
2005-01-01,15.007352941176473
2005-02-01,5.233333333333334
2005-03-01,2.4153846153846152
2005-04-01,2.453125
2005-05-01,1.4017857142857144
2005-06-01,3.488888888888889
2005-07-01,3.270833333333334
2005-08-01,10.23913043478261
2005-09-01,15.771689497716896
2005-10-01,5.69758064516129
2005-11-01,7.246153846153845
2005-12-01,5.322033898305086
2006-01-01,3.4632352941176476
2006-02-01,5.233333333333334
2006-03-01,3.6230769230769226
2006-04-01,3.6796875
2006-05-01,4.205357142857143
2006-06-01,3.488888888888889
2006-07-01,4.906250000000001
2006-08-01,2.27536231884058
2006-09-01,0.7168949771689498
2006-10-01,1.2661290322580645
2006-11-01,2.4153846153846152
2006-12-01,2.661016949152543
2007-01-01,2.308823529411765
2007-02-01,2.616666666666667
2007-03-01,2.4153846153846152
2007-04-01,2.453125
2007-05-01,2.803571428571429
2007-06-01,3.488888888888889
2007-07-01,1.635416666666667
2007-08-01,2.27536231884058
2007-09-01,0.7168949771689498
2007-10-01,1.2661290322580645
2007-11-01,2.4153846153846152
2007-12-01,2.661016949152543
2008-01-01,2.308823529411765
2008-02-01,2.616666666666667
2008-03-01,2.4153846153846152
2008-04-01,2.453125
2008-05-01,4.205357142857143
2008-06-01,5.233333333333333
2008-07-01,3.270833333333334
2008-08-01,2.27536231884058
2008-09-01,2.509132420091324
2008-10-01,1.8991935483870968
2008-11-01,2.4153846153846152
2008-12-01,2.661016949152543
2009-01-01,2.308823529411765
2009-02-01,3.9250000000000007
2009-03-01,2.4153846153846152
2009-04-01,2.453125
2009-05-01,1.4017857142857144
2009-06-01,1.7444444444444445
2009-07-01,1.635416666666667
2009-08-01,1.13768115942029
2009-09-01,0.7168949771689498
2009-10-01,1.2661290322580645
2009-11-01,1.2076923076923076
