date,cash assistance
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,8.371575342465754
2004-08-01,5.698135198135199
2004-09-01,5.135504201680672
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,5.017446633825945
2005-01-01,4.243923611111112
2005-02-01,4.938383838383839
2005-03-01,7.065028901734104
2005-04-01,4.345777777777777
2005-05-01,4.380824372759856
2005-06-01,7.988562091503268
2005-07-01,5.581050228310502
2005-08-01,0.0
2005-09-01,5.991421568627451
2005-10-01,5.916839557399723
2005-11-01,4.5983822422874345
2005-12-01,6.0209359605911335
2006-01-01,6.365885416666668
2006-02-01,4.938383838383839
2006-03-01,5.887524084778421
2006-04-01,4.345777777777777
2006-05-01,4.380824372759856
2006-06-01,4.992851307189542
2006-07-01,3.7207001522070016
2006-08-01,4.748445998445999
2006-09-01,3.4236694677871147
2006-10-01,4.226313969571231
2006-11-01,4.5983822422874345
2006-12-01,4.013957307060756
2007-01-01,5.304904513888889
2007-02-01,3.703787878787879
2007-03-01,5.887524084778421
2007-04-01,3.259333333333333
2007-05-01,6.571236559139784
2007-06-01,6.989991830065359
2007-07-01,8.371575342465754
2007-08-01,6.647824397824398
2007-09-01,5.135504201680672
2007-10-01,5.071576763485477
2007-11-01,6.437735139202408
2007-12-01,6.0209359605911335
2008-01-01,8.487847222222223
2008-02-01,7.407575757575758
2008-03-01,7.065028901734104
2008-04-01,7.6051111111111105
2008-05-01,6.571236559139784
2008-06-01,7.988562091503268
2008-07-01,9.301750380517504
2008-08-01,8.547202797202798
2008-09-01,8.559173669467787
2008-10-01,7.607365145228216
2008-11-01,8.277088036117382
2008-12-01,7.024425287356323
2009-01-01,11.670789930555557
2009-02-01,12.345959595959597
2009-03-01,11.775048169556841
2009-04-01,10.864444444444443
2009-05-01,12.047267025089605
2009-06-01,14.978553921568627
2009-07-01,14.882800608828006
2009-08-01,14.245337995337996
2009-09-01,11.982843137254902
2009-10-01,10.9884163208852
2009-11-01,11.955793829947329
2009-12-01,13.045361247947456
2010-01-01,13.792751736111112
2010-02-01,13.580555555555556
2010-03-01,15.307562620423893
2010-04-01,14.123777777777777
2010-05-01,14.237679211469533
2010-06-01,12.98141339869281
2010-07-01,15.812975646879757
2010-08-01,15.195027195027196
2010-09-01,12.83876050420168
2010-10-01,11.833679114799446
2010-11-01,12.875470278404816
2010-12-01,13.045361247947456
2011-01-01,18.036675347222225
2011-02-01,18.518939393939394
2011-03-01,17.662572254335263
2011-04-01,17.38311111111111
2011-05-01,16.42809139784946
2011-06-01,15.977124183006536
2011-07-01,16.743150684931507
2011-08-01,18.044094794094796
2011-09-01,14.550595238095237
2011-10-01,14.369467496542185
2011-11-01,14.71482317531979
2011-12-01,17.05931855500821
2012-01-01,16.975694444444446
2012-02-01,17.284343434343434
2012-03-01,16.485067437379577
2012-04-01,18.469555555555555
2012-05-01,18.61850358422939
2012-06-01,21.968545751633986
2012-07-01,21.39402587519026
2012-08-01,20.893162393162395
2012-09-01,17.118347338935575
2012-10-01,14.369467496542185
2012-11-01,17.47385252069225
2012-12-01,16.055829228243024
2013-01-01,19.097656250000004
2013-02-01,19.753535353535355
2013-03-01,16.485067437379577
2013-04-01,18.469555555555555
2013-05-01,19.713709677419352
2013-06-01,18.97283496732026
2013-07-01,18.603500761035008
2013-08-01,19.943473193473196
2013-09-01,28.245273109243698
2013-10-01,18.595781466113415
2013-11-01,15.634499623777277
2013-12-01,17.05931855500821
2014-01-01,21.219618055555557
2014-02-01,17.284343434343434
2014-03-01,20.017581888246628
2014-04-01,19.555999999999997
2014-05-01,20.808915770609318
2014-06-01,18.97283496732026
2014-07-01,17.673325722983257
2014-08-01,18.044094794094796
2014-09-01,16.262429971988794
2014-10-01,14.369467496542185
2014-11-01,14.71482317531979
2014-12-01,15.052339901477835
2015-01-01,18.036675347222225
2015-02-01,16.049747474747477
2015-03-01,17.662572254335263
2015-04-01,16.296666666666663
2015-05-01,18.61850358422939
2015-06-01,16.975694444444443
2015-07-01,16.743150684931507
2015-08-01,18.044094794094796
2015-09-01,15.406512605042016
2015-10-01,12.678941908713693
2015-11-01,12.875470278404816
2015-12-01,15.052339901477835
2016-01-01,18.036675347222225
2016-02-01,17.284343434343434
2016-03-01,20.017581888246628
2016-04-01,18.469555555555555
2016-05-01,18.61850358422939
2016-06-01,23.965686274509803
2016-07-01,16.743150684931507
2016-08-01,18.044094794094796
2016-09-01,15.406512605042016
2016-10-01,15.214730290456432
2016-11-01,14.71482317531979
2016-12-01,15.052339901477835
2017-01-01,18.036675347222225
2017-02-01,19.753535353535355
2017-03-01,17.662572254335263
2017-04-01,18.469555555555555
2017-05-01,19.713709677419352
2017-06-01,18.97283496732026
2017-07-01,18.603500761035008
2017-08-01,18.993783993783996
2017-09-01,17.118347338935575
2017-10-01,16.905255878284922
2017-11-01,17.47385252069225
2017-12-01,17.05931855500821
2018-01-01,19.097656250000004
2018-02-01,17.284343434343434
2018-03-01,17.662572254335263
2018-04-01,17.38311111111111
2018-05-01,19.713709677419352
2018-06-01,17.97426470588235
2018-07-01,18.603500761035008
2018-08-01,19.943473193473196
2018-09-01,16.262429971988794
2018-10-01,16.905255878284922
2018-11-01,16.554176072234764
2018-12-01,17.05931855500821
2019-01-01,26.524522569444446
2019-02-01,19.753535353535355
2019-03-01,18.840077071290946
2019-04-01,18.469555555555555
2019-05-01,19.713709677419352
2019-06-01,19.97140522875817
2019-07-01,19.533675799086758
2019-08-01,19.943473193473196
2019-09-01,16.262429971988794
2019-10-01,16.905255878284922
2019-11-01,16.554176072234764
2019-12-01,17.05931855500821
2020-01-01,20.15863715277778
2020-02-01,20.988131313131316
2020-03-01,43.56767822736031
2020-04-01,45.63066666666666
2020-05-01,37.23700716845878
2020-06-01,31.954248366013072
2020-07-01,26.97507610350076
2020-08-01,25.641608391608393
2020-09-01,21.397934173669466
2020-10-01,23.667358229598893
2020-11-01,22.99191121143717
2020-12-01,30.10467980295567
2021-01-01,25.46354166666667
2021-02-01,27.16111111111111
2021-03-01,21.195086705202314
2021-04-01,20.642444444444443
2021-05-01,24.09453405017921
2021-06-01,22.967116013071895
2021-07-01,22.32420091324201
2021-08-01,26.591297591297593
2021-09-01,25.67752100840336
2021-10-01,26.203146611341634
2021-11-01,27.590293453724605
2021-12-01,28.09770114942529
2022-01-01,32.890407986111114
2022-02-01,37.03787878787879
2022-03-01,32.970134874759154
2022-04-01,36.93911111111111
2022-05-01,32.85618279569892
2022-06-01,31.954248366013072
2022-07-01,31.625951293759513
2022-08-01,34.188811188811194
2022-09-01,70.18522408963585
2022-10-01,84.52627939142462
2022-11-01,73.57411587659895
2022-12-01,51.17795566502464
2023-01-01,39.256293402777786
2023-02-01,44.44545454545455
2023-03-01,35.325144508670526
2023-04-01,35.852666666666664
2023-05-01,35.04659498207885
2023-06-01,33.951388888888886
2023-07-01,33.486301369863014
2023-08-01,32.289432789432794
2023-09-01,28.245273109243698
2023-10-01,27.048409405255878
2023-11-01,29.42964635063958
2023-12-01,30.10467980295567
2024-01-01,32.890407986111114
2024-02-01,33.33409090909091
2024-03-01,29.437620423892103
2024-04-01,30.420444444444442
2024-05-01,29.570564516129032
2024-06-01,27.959967320261438
2024-07-01,28.835426179604262
2024-08-01,30.39005439005439
2024-09-01,26.533438375350137
2024-10-01,27.048409405255878
2024-11-01,27.590293453724605
2024-12-01,27.094211822660103
2025-01-01,31.829427083333336
2025-02-01,34.56868686868687
2025-03-01,29.437620423892103
2025-04-01,30.420444444444442
2025-05-01,28.475358422939067
2025-06-01,28.958537581699346
2025-07-01,33.486301369863014
2025-08-01,31.33974358974359
2025-09-01,25.67752100840336
2025-10-01,32.9652489626556
2025-11-01,36.787057938299476
2025-12-01,40.13957307060756
