date,SSI benefits
2004-01-01,15.152348224513174
2004-02-01,20.042424242424243
2004-03-01,0.0
2004-04-01,13.730130486358243
2004-05-01,17.645637162586315
2004-06-01,20.911472448057815
2004-07-01,18.7505222321695
2004-08-01,18.7505222321695
2004-09-01,14.40958605664488
2004-10-01,8.810834813499113
2004-11-01,21.879962192816635
2004-12-01,21.29622815087397
2005-01-01,19.887457044673543
2005-02-01,21.044545454545457
2005-03-01,22.147336377473366
2005-04-01,16.67230130486358
2005-05-01,17.645637162586315
2005-06-01,16.928334838903943
2005-07-01,11.842435094001791
2005-08-01,16.77678304983587
2005-09-01,16.468098350451292
2005-10-01,12.726761397276496
2005-11-01,13.54473850031506
2005-12-01,13.18337933149341
2006-01-01,12.311282932416955
2006-02-01,17.03606060606061
2006-03-01,16.107153729071538
2006-04-01,11.768683274021353
2006-05-01,13.493722536095419
2006-06-01,12.945197229750075
2006-07-01,18.7505222321695
2006-08-01,16.77678304983587
2006-09-01,17.497354497354497
2006-10-01,11.74777975133215
2006-11-01,17.71235034656585
2006-12-01,16.22569763876112
2007-01-01,17.993413516609394
2007-02-01,18.03818181818182
2007-03-01,18.12054794520548
2007-04-01,19.61447212336892
2007-05-01,22.835530445699938
2007-06-01,17.92411924119241
2007-07-01,22.698000596836767
2007-08-01,20.724261414503136
2007-09-01,22.643635231870526
2007-10-01,25.453522794552992
2007-11-01,21.879962192816635
2007-12-01,22.31033425329654
2008-01-01,23.675544100801833
2008-02-01,27.05727272727273
2008-03-01,26.174124809741247
2008-04-01,28.440984578884933
2008-05-01,22.835530445699938
2008-06-01,25.89039445950015
2008-07-01,23.684870188003583
2008-08-01,22.698000596836767
2008-09-01,22.643635231870526
2008-10-01,25.453522794552992
2008-11-01,25.005671077504726
2008-12-01,20.2821220484514
2009-01-01,25.569587628865982
2009-02-01,29.061515151515152
2009-03-01,33.22100456621005
2009-04-01,27.460260972716487
2009-05-01,38.4052102950408
2009-06-01,36.844022884673294
2009-07-01,39.474783646672634
2009-08-01,36.51417487317219
2009-09-01,37.05322128851541
2009-10-01,30.348431024274724
2009-11-01,39.59231253938248
2009-12-01,47.66298681386078
2010-01-01,51.139175257731964
2010-02-01,50.10606060606061
2010-03-01,52.348249619482495
2010-04-01,52.95907473309608
2010-05-01,47.74701820464533
2010-06-01,41.82294489611563
2010-07-01,37.501044464339
2010-08-01,35.52730528200537
2010-09-01,36.0239651416122
2010-10-01,31.32741267021907
2010-11-01,31.257088846880908
2010-12-01,31.437289175099668
2011-01-01,39.774914089347085
2011-02-01,41.0869696969697
2011-03-01,39.26118721461187
2011-04-01,37.26749703440095
2011-05-01,40.481167608286256
2011-06-01,42.818729298404094
2011-07-01,44.40913160250672
2011-08-01,40.46165323783946
2011-09-01,46.31652661064426
2011-10-01,45.03315571343991
2011-11-01,48.96943919344675
2011-12-01,47.66298681386078
2012-01-01,43.563001145475376
2012-02-01,39.082727272727276
2012-03-01,50.334855403348556
2012-04-01,62.766310794780544
